id,player,from,to,position,height,weight,birth_date,colleges
hachiru01,Rui Hachimura,2020,2023,F,203,230,1998-02-08,Gonzaga
hackeru01,Rudy Hackett,1976,1977,F,206,210,1953-05-10,Syracuse
haddaha01,Hamed Haddadi,2009,2013,C,218,254,1985-05-19,
hadnoji01,Jim Hadnot,1968,1968,C-F,208,235,1940-01-15,Providence
haffnsc01,Scott Haffner,1990,1991,G,190,180,1966-02-02,"Illinois, University of Evansville"
hagancl01,Cliff Hagan,1957,1970,F-G,193,210,1931-12-09,Kentucky
hagangl01,Glenn Hagan,1982,1982,G,183,170,1955-06-25,St. Bonaventure
haganto01,Tom Hagan,1970,1971,G,190,185,1947-01-29,Vanderbilt
haganas01,Ashton Hagans,2021,2021,G,190,190,1999-07-08,Kentucky
hahnro01,Robert Hahn,1950,1950,C,208,240,1925-08-25,NC State
hairsal01,Al Hairston,1969,1970,G,185,170,1945-12-11,Bowling Green
hairsha01,Happy Hairston,1965,1975,F,201,225,1942-05-31,NYU
hairsli01,Lindsay Hairston,1976,1976,F-C,201,180,1951-12-08,Michigan State
hairsma01,Malik Hairston,2009,2010,G,198,220,1987-02-23,Oregon
hairspj02,P.J. Hairston,2015,2016,G-F,198,230,1992-12-24,UNC
haislma01,Marcus Haislip,2003,2010,F,208,230,1980-12-22,Tennessee
halbech01,Chick Halbert,1947,1951,C,206,225,1919-02-27,West Texas A&M University
halbrsw01,Swede Halbrook,1961,1962,C,221,235,1933-01-30,Oregon State
halebr01,Bruce Hale,1949,1951,G-F,185,170,1918-08-30,Santa Clara
haleha01,Hal Hale,1968,1968,G,185,180,1945-09-21,Utah State University
haleyja01,Jack Haley,1989,1998,C-F,208,240,1964-01-27,UCLA
halibty01,Tyrese Haliburton,2021,2023,G,196,185,2000-02-29,Iowa State
halimsh01,Shaler Halimon,1969,1973,G-F,196,199,1945-03-30,"Imperial Valley College, Utah State University"
hallde01,Devon Hall,2020,2020,G,188,215,1995-07-07,Virginia
halldo01,Donta Hall,2020,2021,F,206,232,1997-08-07,Alabama
halljo02,Jordan Hall,2023,2023,G-F,201,215,2002-01-14,Saint Joseph's
halljo01,Josh Hall,2021,2021,F,206,190,2000-10-08,
hallmi01,Mike Hall,2007,2007,F,203,230,1984-06-05,George Washington
hallty01,Tyler Hall,2022,2022,G,196,209,1997-03-25,Montana State
hallije01,Jeff Halliburton,1972,1973,G,196,193,1949-07-03,Drake University
hamda01,Darvin Ham,1997,2005,F,201,220,1973-07-23,Texas Tech
hamerst01,Steve Hamer,1997,1997,C,213,245,1973-11-13,Tennessee
hamilda01,Dale Hamilton,1950,1950,G-F,183,180,1919-08-16,Franklin College
hamilda02,Daniel Hamilton,2018,2019,G-F,201,195,1995-08-08,UConn
hamilde01,Dennis Hamilton,1968,1971,F,203,210,1944-05-08,Arizona State
hamiljo01,Joe Hamilton,1971,1976,G,178,160,1948-07-05,"Southwestern Christian College, University of North Texas"
hamiljo02,Jordan Hamilton,2012,2016,G-F,201,220,1990-10-06,Texas
hamilju01,Justin Hamilton,2014,2017,C,213,260,1990-04-01,"Iowa State, LSU"
hamilra01,Ralph Hamilton,1949,1949,G-F,185,188,1921-06-10,Indiana
hamilri01,Richard Hamilton,2000,2013,G-F,198,185,1978-02-14,UConn
hamilro01,Roy Hamilton,1980,1981,G,188,180,1957-07-20,UCLA
hamilst01,Steve Hamilton,1959,1960,F-C,198,190,1934-11-30,Morehead State University
hamilta01,Tang Hamilton,2002,2002,F,203,220,1978-05-26,Mississippi State
hamilth01,Thomas Hamilton,1996,2000,C,218,330,1975-04-03,Pitt
hamilze01,Zendon Hamilton,2001,2006,C-F,211,250,1975-04-27,St. John's
hammige01,Geert Hammink,1994,1996,C,213,262,1969-07-12,LSU
hammoju01,Julian Hammond,1968,1972,F,196,205,1943-05-27,Tulsa
hammoto01,Tom Hammonds,1990,2001,F,206,215,1967-03-27,Georgia Tech
hammoaj01,A.J. Hammons,2017,2017,C,213,260,1992-08-27,Purdue
hamoojo01,Joe Hamood,1968,1968,G,183,180,1943-09-07,Houston
hamptrj01,R.J. Hampton,2021,2023,G,193,175,2001-02-07,
hancoda01,Darrin Hancock,1995,1997,G-F,201,205,1971-11-03,Kansas
handlbe01,Ben Handlogten,2004,2005,C,208,240,1973-11-16,Western Michigan
hankice01,Cecil Hankins,1947,1948,G,185,175,1922-01-06,Oklahoma State
hankiph01,Phil Hankinson,1974,1975,F,203,195,1951-07-26,Penn
hannadu01,Dusty Hannahs,2019,2020,G,190,210,1993-09-02,"Texas Tech, Arkansas"
hannual01,Alex Hannum,1950,1957,F-C,201,210,1923-07-19,USC
hanrado01,Don Hanrahan,1953,1953,F,201,200,1929-02-06,Loyola Chicago
hansro01,Rollen Hans,1954,1955,G,188,210,1931-04-13,Long Island University
hansbbe01,Ben Hansbrough,2013,2013,G,190,203,1987-12-23,"Mississippi State, Notre Dame"
hansbty01,Tyler Hansbrough,2010,2016,F,206,250,1985-11-03,UNC
hansebo01,Bob Hansen,1984,1992,G,198,190,1961-01-18,Iowa
hansegl01,Glenn Hansen,1976,1978,G,193,205,1952-04-21,LSU
hansela01,Lars Hansen,1979,1979,C,208,225,1954-09-14,Washington
hansetr01,Travis Hansen,2004,2004,G,198,205,1978-04-15,"Utah Valley, BYU"
hansore01,Reggie Hanson,1998,1998,F,203,195,1968-10-06,Kentucky
hanzlbi01,Bill Hanzlik,1981,1990,G-F,201,185,1957-12-06,Notre Dame
haranlu01,Luke Harangody,2011,2012,F,203,246,1988-01-02,Notre Dame
hardaan01,Anfernee Hardaway,1994,2008,G-F,201,195,1971-07-18,Memphis
hardati01,Tim Hardaway,1990,2003,G,183,175,1966-09-01,Texas-El Paso
hardati02,Tim Hardaway Jr.,2014,2023,G,196,205,1992-03-16,Michigan
hardeja01,James Harden,2010,2023,G,196,220,1989-08-26,Arizona State
hardire01,Reggie Harding,1964,1968,C,213,249,1942-05-04,
hardnch01,Charlie Hardnett,1963,1965,F-C,203,225,1938-09-13,Grambling State University
hardyal01,Alan Hardy,1981,1982,F,201,195,1957-05-25,Michigan
hardyda01,Darrell Hardy,1968,1968,F,201,220,,Baylor
hardyja02,Jaden Hardy,2023,2023,G,193,198,2002-07-05,
hardyja01,James Hardy,1979,1982,F-C,203,220,1956-12-01,San Francisco
hargeir01,Ira Harge,1968,1973,C,206,225,1941-03-14,"Southeastern Iowa Community College, West Burlington Campus, New Mexico"
hargijo01,John Hargis,1950,1951,G-F,188,180,1920-08-20,Texas
harklma01,Maurice Harkless,2013,2022,F-G,201,220,1993-05-11,St. John's
harknje01,Jerry Harkness,1964,1969,G,188,175,1940-05-07,Loyola Chicago
harlisk01,Skip Harlicka,1969,1969,G,185,185,1946-10-14,South Carolina
harmoje01,Jerome Harmon,1995,1995,G,193,190,1969-02-06,Louisville
harpede01,Derek Harper,1984,1999,G,193,185,1961-10-13,Illinois
harpeja01,Jared Harper,2020,2022,G,178,175,1997-09-14,Auburn
harpeju01,Justin Harper,2012,2017,F,208,225,1989-08-30,Richmond
harpemi01,Mike Harper,1981,1982,C-F,208,195,1957-12-09,North Park University
harpero01,Ron Harper,1987,2001,G-F,198,185,1964-01-20,Miami University
harpero02,Ron Harper Jr.,2023,2023,G-F,198,245,2000-04-12,Rutgers University
harprma01,Matt Harpring,1999,2009,F,201,231,1976-05-31,Georgia Tech
harremo01,Montrezl Harrell,2016,2023,F-C,201,240,1994-01-26,Louisville
harrejo01,Josh Harrellson,2012,2014,C,208,275,1989-02-12,Kentucky
harriad01,Adam Harrington,2003,2003,G,196,200,1980-07-05,"NC State, Auburn"
harrial01,Al Harrington,1999,2014,F,206,230,1980-02-17,
harriju01,Junior Harrington,2003,2007,G,193,180,1980-10-02,Wingate University
harriot01,Othella Harrington,1997,2008,F-C,206,235,1974-01-31,Georgetown
harriar01,Art Harris,1969,1972,G,193,185,1947-01-13,Stanford
