id,player,from,to,position,height,weight,birth_date,colleges
kabenmf01,Mfiondu Kabengele,2020,2023,F,206,250,1997-08-14,Florida State
kachawh01,Whitey Kachan,1949,1949,G,188,175,1925-09-15,DePaul
kaftage01,George Kaftan,1949,1953,F,190,190,1928-02-22,Holy Cross
kalafed01,Ed Kalafat,1955,1957,C-F,198,245,1932-10-13,Minnesota
kalaige01,Georgios Kalaitzakis,2022,2022,G-F,203,192,1999-01-02,
kamanch01,Chris Kaman,2004,2016,C,213,265,1982-04-28,Central Michigan University
kaminfr01,Frank Kaminsky,2016,2023,F-C,213,240,1993-04-04,Wisconsin
kaplora01,Ralph Kaplowitz,1947,1948,G-F,188,170,1919-05-18,NYU
kaponja01,Jason Kapono,2004,2012,F,203,213,1981-02-04,UCLA
kappeto01,Tony Kappen,1947,1947,G,178,165,1919-04-13,
karasse01,Sergey Karasev,2014,2016,G-F,201,208,1993-10-26,
karlco01,Coby Karl,2008,2010,G,196,215,1983-03-06,Boise State
karlge01,George Karl,1974,1978,G,188,190,1951-05-12,UNC
kasided01,Ed Kasid,1947,1947,G,180,185,1923-08-13,
kasunma01,Mario Kasun,2005,2006,C,216,260,1980-04-05,
katkale01,Leo Katkaveck,1949,1950,G,183,185,1923-04-17,NC State
kauffbo01,Bob Kauffman,1969,1975,F-C,203,240,1946-07-13,Guilford College
kaunsa01,Sasha Kaun,2016,2016,C,211,260,1985-05-08,Kansas
kautzwi01,Wilbert Kautz,1947,1947,G-F,183,180,1915-09-07,Loyola Chicago
keacl01,Clarence Kea,1981,1982,F,198,218,1959-02-02,Lamar
kearnmi01,Mike Kearns,1955,1955,G,188,178,1929-06-18,Princeton
kearnto01,Tommy Kearns,1959,1959,G,180,185,1936-10-06,UNC
keefead01,Adam Keefe,1993,2001,F,206,230,1970-02-22,Stanford
keeliha01,Harold Keeling,1986,1986,G,193,185,1963-09-18,Santa Clara
keelstr01,Trevor Keels,2023,2023,G,196,221,2003-08-26,Duke
kellebi01,Bill Keller,1970,1976,G,178,177,1947-08-30,Purdue
kellega01,Gary Keller,1968,1969,F-C,206,220,1944-06-13,Florida
kelleke01,Ken Keller,1947,1947,G,185,180,1922-08-16,St. John's
kelleri01,Rich Kelley,1976,1986,C-F,213,235,1953-03-23,Stanford
kellocl01,Clark Kellogg,1983,1987,F,201,225,1961-07-02,Ohio State
kellyar01,Arvesta Kelly,1968,1972,G,188,175,1945-11-20,Lincoln University of Missouri
kellyje01,Jerry Kelly,1947,1948,F,188,172,1918-06-14,
kellyry01,Ryan Kelly,2014,2017,F,211,230,1991-04-09,Duke
kellyto01,Tom Kelly,1949,1949,G,183,170,1924-03-05,NYU
kelsegr01,Greg Kelser,1980,1985,F,201,190,1957-09-17,Michigan State
kelsobe01,Ben Kelso,1974,1974,G,190,195,1949-04-11,Central Michigan University
kempsh01,Shawn Kemp,1990,2003,F-C,208,230,1969-11-26,"Trinity Valley CC, Kentucky"
kemptti01,Tim Kempton,1987,1998,F-C,208,245,1964-01-25,Notre Dame
kendrfr01,Frank Kendrick,1975,1975,F,198,198,1950-09-11,Purdue
kennalu01,Luke Kennard,2018,2023,G,196,206,1996-06-24,Duke
kennedj01,D.J. Kennedy,2012,2012,F,198,215,1989-11-05,St. John's
kennego01,Goo Kennedy,1972,1977,F-C,196,205,1949-08-23,"Fort Worth Community College, TCU"
kennejo01,Joe Kennedy,1969,1971,F,198,210,1947-01-12,Duke
kennepi01,Pickles Kennedy,1961,1961,G,180,180,1938-05-17,Temple
kenonla01,Larry Kenon,1974,1983,F,206,205,1952-12-13,"Amarillo College, Memphis"
kenvibi01,Billy Kenville,1954,1960,G-F,188,187,1930-12-01,St. Bonaventure
kernejo01,Jonathan Kerner,1999,1999,C,211,245,1974-06-06,"Florida State, East Carolina University"
kerrre01,Red Kerr,1955,1966,C-F,206,230,1932-07-17,Illinois
kerrst01,Steve Kerr,1989,2003,G,190,175,1965-09-27,Arizona
kerrija01,Jack Kerris,1950,1953,F-C,198,215,1925-01-30,Loyola Chicago
kerseje01,Jerome Kersey,1985,2001,F,201,215,1962-06-26,Longwood University
kerwito01,Tom Kerwin,1968,1968,F,201,210,1944-07-19,Centenary (LA)
kesslal01,Alec Kessler,1991,1994,F-C,211,230,1967-01-13,Georgia
kesslwa01,Walker Kessler,2023,2023,C,216,245,2001-07-26,"UNC, Auburn"
ketnela01,Lari Ketner,2000,2001,F-C,206,277,1977-02-01,UMass
keybr01,Braxton Key,2022,2023,F,203,230,1997-02-14,"Alabama, Virginia"
keyeju01,Julius Keye,1970,1975,F-C,208,200,1946-09-05,"South Carolina State, Alcorn State"
keysra01,Randolph Keys,1989,1996,F-G,201,195,1966-04-19,Southern Miss
khryavi01,Viktor Khryapa,2005,2008,F,206,210,1982-08-03,
kiddja01,Jason Kidd,1995,2013,G,193,205,1973-03-23,California
kiddst01,Stanton Kidd,2020,2020,F,198,215,1992-03-18,"South Plains College, NC Central, Colorado State"
kiddwa01,Warren Kidd,1994,1994,F,206,235,1970-09-09,Middle Tennessee
kiddgmi01,Michael Kidd-Gilchrist,2013,2020,F,198,232,1993-09-26,Kentucky
kiffiir01,Irv Kiffin,1980,1980,F,206,225,1951-08-08,Oklahoma Baptist University
kileyja01,Jack Kiley,1952,1953,G,185,170,1929-01-05,Syracuse
killuea01,Earnie Killum,1971,1971,G,190,180,1948-06-11,Stetson University
kilpaca01,Carl Kilpatrick,1980,1980,C,208,230,1956-05-16,Louisiana-Monroe
kilpase01,Sean Kilpatrick,2015,2018,G,193,210,1990-01-06,Cincinnati
kimbato01,Toby Kimball,1967,1975,F-C,198,220,1942-09-07,UConn
kimblbo01,Bo Kimble,1991,1993,G,193,190,1966-04-09,"USC, Loyola Marymount"
kimbrst01,Stan Kimbrough,1990,1993,G,180,153,1966-04-24,"Central Florida, Xavier"
kinchch01,Chad Kinch,1981,1981,G,193,190,1958-05-22,UNC Charlotte
kingal01,Albert King,1982,1992,F-G,198,190,1959-12-17,Maryland
kingbe01,Bernard King,1978,1993,F,201,205,1956-12-04,Tennessee
kingch01,Chris King,1994,1999,F,203,215,1969-07-24,Wake Forest
kingda01,Dan King,1955,1955,F,198,220,1931-01-07,Western Kentucky
kingfr01,Frankie King,1996,1997,G,185,185,1972-06-06,Western Carolina University
kingge01,George King,1952,1958,G,183,175,1928-08-16,University of Charleston
kingge03,George King,2019,2022,G-F,198,225,1994-01-15,Colorado
kingge02,Gerard King,1999,2001,F,206,230,1972-11-25,Nicholls State
kingji01,Jim King,1964,1973,G,188,175,1941-02-07,Tulsa
kingji02,Jimmy King,1996,1997,G,196,210,1973-08-09,Michigan
kinglo02,Louis King,2020,2023,F,201,205,1999-04-06,Oregon
kinglo01,Loyd King,1972,1973,G,188,180,1949-05-29,Virginia Tech
kingma01,Maurice King,1960,1963,G,188,195,1935-03-12,Kansas
kingre01,Reggie King,1980,1985,F,198,225,1957-02-14,Alabama
kingri01,Rich King,1992,1995,C,218,260,1969-04-04,Nebraska
kingro01,Ron King,1974,1974,G,193,185,1951-07-11,Florida State
kingst01,Stacey King,1990,1997,F-C,211,230,1967-01-29,Oklahoma
kingto01,Tom King,1947,1947,G,183,165,1924-03-09,Michigan
kinnebo01,Bob Kinney,1949,1950,C-F,198,215,1920-09-16,Rice University
kinseta01,Tarence Kinsey,2007,2009,G,198,185,1984-03-21,South Carolina
kirilan01,Andrei Kirilenko,2002,2015,F,206,220,1981-02-18,
kirkal01,Alex Kirk,2015,2015,C,213,245,1991-11-14,New Mexico
kirkwa01,Walt Kirk,1949,1952,G-F,190,173,1924-09-03,Illinois
kirklwi01,Wilbur Kirkland,1970,1970,F,201,190,,Cheyney (PA)
kispeco01,Corey Kispert,2022,2023,G-F,201,220,1999-03-03,Gonzaga
kissaji01,Jim Kissane,1969,1969,F,201,210,1946-08-17,Boston College
kistldo01,Doug Kistler,1962,1962,F,206,210,1938-03-21,Duke
kitchcu01,Curtis Kitchen,1987,1987,F,206,235,1964-01-30,South Florida
kitegr01,Greg Kite,1984,1995,C,211,250,1961-08-05,BYU
kittlke01,Kerry Kittles,1997,2005,G,196,179,1974-06-12,Villanova
klebima01,Maxi Kleber,2018,2023,F,208,240,1992-01-29,
kleinjo01,Joe Kleine,1986,2000,C,211,255,1962-01-04,"Notre Dame, Arkansas"
kleizli01,Linas Kleiza,2006,2013,F,203,245,1985-01-03,Missouri
klierle01,Leo Klier,1949,1950,F-G,188,170,1923-05-21,Notre Dame
klotzhe01,Red Klotz,1948,1948,G,170,150,1920-10-21,Villanova
kluehdu01,Duane Klueh,1950,1951,G,190,175,1926-01-06,Indiana State University
kluttlo01,Lonnie Kluttz,1971,1971,F,201,220,1945-09-17,North Carolina A&T
knighbi01,Billy Knight,1975,1985,G-F,198,195,1952-06-09,Pitt
knighbo01,Bob Knight,1955,1955,G-F,188,185,1929-04-30,
knighbr02,Brandin Knight,2005,2005,G,183,180,1981-12-16,Pitt
knighbr03,Brandon Knight,2012,2022,G,188,182,1991-12-02,Kentucky
knighbr01,Brevin Knight,1998,2009,G,178,173,1975-11-08,Stanford
knighna01,Nathan Knight,2021,2023,F-C,208,253,1997-09-20,William & Mary
knighne01,Negele Knight,1991,1999,G,185,175,1967-03-06,Dayton
knighro01,Ron Knight,1971,1972,F,201,215,1947-08-04,"California State University, Los Angeles"
knighto01,Toby Knight,1978,1982,F,206,210,1955-05-03,Notre Dame
knightr01,Travis Knight,1997,2003,C,213,235,1974-09-13,UConn
knorele01,Lee Knorek,1947,1950,C,201,215,1921-07-15,Detroit Mercy
knostdi01,Dick Knostman,1954,1954,C,198,215,1931-08-09,Kansas State
knowlro01,Rod Knowles,1969,1969,F-C,206,215,1946-02-27,Davidson
knoxke01,Kevin Knox,2019,2023,F,201,215,1999-08-11,Kentucky
kofoeba01,Bart Kofoed,1988,1993,G,193,210,1964-03-24,"Hastings College, University of Nebraska at Kearney"
kojisdo01,Don Kojis,1964,1975,F,196,215,1939-01-15,Marquette
kolokch01,Christian Koloko,2023,2023,C,216,230,2000-06-20,Arizona
komenmi01,Milo Komenich,1950,1950,F-C,201,212,1920-06-22,Wyoming
komivho01,Howard Komives,1965,1974,G,185,185,1941-05-09,Bowling Green
koncajo01,Jon Koncak,1986,1996,C-F,213,250,1963-05-17,SMU
konchjo01,John Konchar,2020,2023,G,196,210,1996-03-22,Purdue-Fort Wayne
kondlto01,Tom Kondla,1969,1969,C,203,225,1946-11-30,Minnesota
koperbu01,Bud Koper,1965,1965,G,198,210,1942-08-09,Oklahoma City University
kopicjo01,Joe Kopicki,1983,1985,F,206,240,1960-06-12,Detroit Mercy
korkmfu01,Furkan Korkmaz,2018,2023,G,201,202,1997-07-24,
kornefr01,Frank Kornet,1990,1991,F,206,225,1967-01-27,Vanderbilt
kornelu01,Luke Kornet,2018,2023,C-F,218,250,1995-07-15,Vanderbilt
korolya01,Yaroslav Korolev,2006,2007,F,206,203,1987-05-07,
korveky01,Kyle Korver,2004,2020,G-F,201,212,1981-03-17,Creighton
koskito01,Tony Koski,1969,1969,F,203,215,1946-06-26,Providence
kosmale01,Len Kosmalski,1975,1976,C,213,245,1951-11-29,Tennessee
kostean01,Andy Kostecka,1949,1949,F,190,203,1921-02-10,Georgetown
kottmha01,Harold Kottman,1947,1947,C,203,220,1922-08-22,Culver-Stockton College
koufoko01,Kosta Koufos,2009,2019,C,213,245,1989-02-24,Ohio State
kozelto01,Tom Kozelko,1974,1976,F,203,220,1951-07-01,Toledo
kozliro01,Ron Kozlicki,1968,1968,F,201,215,1944-12-12,Northwestern
kramear01,Arvid Kramer,1980,1980,C,206,220,1956-10-02,Augustana College (SD)
krameba01,Barry Kramer,1965,1970,F-G,193,200,1942-11-10,NYU
kramejo01,Joel Kramer,1979,1983,F-C,201,203,1955-11-30,San Diego State
kramest01,Steve Kramer,1968,1970,G-F,196,200,1945-01-01,BYU
krausda01,Dan Kraus,1949,1949,G,183,195,1923-02-13,Georgetown
krauthe01,Herb Krautblatt,1949,1949,G,185,190,1926-11-19,Rider University
kravtvi01,Viacheslav Kravtsov,2013,2014,C,213,260,1987-08-25,
krebsji01,Jim Krebs,1958,1964,C-F,203,230,1935-09-08,SMU
krejcvi01,Vit Krejci,2022,2023,G,203,195,2000-06-19,
kreklwa01,Wayne Kreklow,1981,1981,G,193,175,1957-01-04,Drake University
kronto01,Tommy Kron,1967,1970,G,196,200,1943-02-28,Kentucky
kroppto01,Tom Kropp,1976,1977,G,190,205,1953-02-12,University of Nebraska at Kearney
krstine01,Nenad Krstić,2005,2011,C,213,240,1983-07-25,
krystla01,Larry Krystkowiak,1987,1997,F-C,206,220,1964-09-23,Montana
kuberst01,Steve Kuberski,1970,1978,F-C,203,215,1947-11-06,Bradley
kubiale01,Leo Kubiak,1950,1950,G,180,160,1927-12-25,Bowling Green
kuczebr01,Bruce Kuczenski,1984,1984,F,208,230,1961-02-03,UConn
kudelfr01,Frank Kudelka,1950,1953,G-F,188,193,1925-06-25,Saint Mary's
kuestjo01,John Kuester,1978,1980,G,188,180,1955-02-06,UNC
kukara01,Ray Kuka,1948,1949,F,190,200,1922-02-17,Notre Dame
kukocto01,Toni Kukoč,1994,2006,F,208,192,1968-09-18,
kulboar01,Arnoldas Kulboka,2022,2022,F,206,198,1998-01-04,
kuminjo01,Jonathan Kuminga,2022,2023,F,203,210,2002-10-06,
kunneke01,Kevin Kunnert,1974,1982,C-F,213,230,1951-11-11,Iowa
kunzete01,Terry Kunze,1968,1968,G-F,193,210,1943-03-11,Minnesota
kupchmi01,Mitch Kupchak,1977,1986,F-C,206,230,1954-05-24,UNC
kupeccj01,C.J. Kupec,1976,1978,F-C,198,220,1953-01-26,Michigan
kurucro01,Rodions Kurucs,2019,2021,F,206,228,1998-02-05,
kurzro01,Rob Kurz,2009,2009,F,206,232,1985-03-05,Notre Dame
kutluib01,Ibo Kutluay,2005,2005,G,198,200,1974-07-01,
kuzmaky01,Kyle Kuzma,2018,2023,F,206,221,1995-07-24,Utah
kuzmiog01,Ognjen Kuzmić,2014,2015,C,216,251,1990-05-16,
kuzmimi01,Mindaugas Kuzminskas,2017,2018,F,206,215,1989-10-19,
