id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
lavinza01,Zach LaVine*,161,56,105,.348,161,56,105,.348,0,0,0,
markkla01,Lauri Markkanen*,143,51,92,.357,143,51,92,.357,0,0,0,
feliccr01,Cristiano Felício,114,31,83,.272,114,31,83,.272,0,0,0,
harrish01,Shaquille Harrison,111,33,78,.297,111,33,78,.297,0,0,0,
cartewe01,Wendell Carter Jr.,101,35,66,.347,101,35,66,.347,0,0,0,
whiteco01,Coby White*,99,40,59,.404,99,40,59,.404,0,0,0,
youngth01,Thaddeus Young,99,41,58,.414,99,41,58,.414,0,0,0,
satorto01,Tomáš Satoranský,96,38,58,.396,96,38,58,.396,0,0,0,
dunnkr01,Kris Dunn,93,33,60,.355,93,33,60,.355,0,0,0,
valende01,Denzel Valentine,92,35,57,.380,92,35,57,.380,0,0,0,
lopezro01,Robin Lopez*,89,24,65,.270,89,24,65,.270,0,0,0,
hutchch01,Chandler Hutchison*,72,18,54,.250,72,18,54,.250,0,0,0,
holidju01,Justin Holiday*,60,16,44,.267,60,16,44,.267,0,0,0,
blakean01,Antonio Blakeney,58,14,44,.241,58,14,44,.241,0,0,0,
gaffoda01,Daniel Gafford*,53,22,31,.415,53,22,31,.415,0,0,0,
kornelu01,Luke Kornet*,47,17,30,.362,47,17,30,.362,0,0,0,
portibo01,Bobby Portis,44,10,34,.227,44,10,34,.227,0,0,0,
willipa01,Patrick Williams*,43,19,24,.442,43,19,24,.442,0,0,0,
seldewa01,Wayne Selden,43,12,31,.279,43,12,31,.279,0,0,0,
payneca01,Cameron Payne,41,9,32,.220,41,9,32,.220,0,0,0,
parkeja01,Jabari Parker,38,8,30,.211,38,8,30,.211,0,0,0,
porteot01,Otto Porter Jr.,37,15,22,.405,37,15,22,.405,0,0,0,
templga01,Garrett Temple,33,15,18,.455,33,15,18,.455,0,0,0,
luwawti01,Timothé Luwawu-Cabarrot*,29,10,19,.345,29,10,19,.345,0,0,0,
nwabada01,David Nwaba,24,6,18,.250,24,6,18,.250,0,0,0,
grantje02,Jerian Grant,24,6,18,.250,24,6,18,.250,0,0,0,
mokokad01,Adam Mokoka,22,6,16,.273,22,6,16,.273,0,0,0,
quickim01,Immanuel Quickley,21,15,6,.714,21,15,6,.714,0,0,0,
simsje01,Jericho Sims,21,15,6,.714,21,15,6,.714,0,0,0,
mcbrimi01,Miles McBride,19,14,5,.737,19,14,5,.737,0,0,0,
barrerj01,RJ Barrett,18,12,6,.667,18,12,6,.667,0,0,0,
reddica01,Cam Reddish,17,7,10,.412,17,7,10,.412,0,0,0,
