id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
finlemi01,Michael Finley,584,317,267,.543,541,299,242,.553,43,18,25,.419
nowitdi01,Dirk Nowitzki,510,305,205,.598,467,287,180,.615,43,18,25,.419
nashst01,Steve Nash,392,237,155,.605,356,221,135,.621,36,16,20,.444
davishu01,Hubert Davis,237,105,132,.443,237,105,132,.443,0,0,0,
najered01,Eduardo Nájera,200,125,75,.625,168,111,57,.661,32,14,18,.438
stricer01,Erick Strickland,174,65,109,.374,174,65,109,.374,0,0,0,
reevekh01,Khalid Reeves,147,43,104,.293,147,43,104,.293,0,0,0,
greenac01,A.C. Green,146,43,103,.295,146,43,103,.295,0,0,0,
grahagr01,Greg Graham,140,43,97,.307,140,43,97,.307,0,0,0,
weathcl01,Clarence Weatherspoon,133,43,90,.323,133,43,90,.323,0,0,0,
howarjo01,Josh Howard,132,84,48,.636,123,82,41,.667,9,2,7,.222
barroda01,Dana Barros,130,44,86,.338,130,44,86,.338,0,0,0,
griffad01,Adrian Griffin,128,87,41,.680,113,79,34,.699,15,8,7,.533
buckngr01,Greg Buckner,120,76,44,.633,108,72,36,.667,12,4,8,.333
perryti01,Tim Perry,119,35,84,.294,119,35,84,.294,0,0,0,
vanexni01,Nick Van Exel,112,75,37,.670,88,63,25,.716,24,12,12,.500
willisc01,Scott Williams,111,40,71,.360,111,40,71,.360,0,0,0,
daniema01,Marquis Daniels,111,68,43,.613,103,66,37,.641,8,2,6,.250
lafrera01,Raef LaFrentz,108,71,37,.657,84,59,25,.702,24,12,12,.500
obanned01,Ed O'Bannon,102,32,70,.314,102,32,70,.314,0,0,0,
packro01,Robert Pack,102,30,72,.294,102,30,72,.294,0,0,0,
willija01,Jayson Williams,93,31,62,.333,93,31,62,.333,0,0,0,
wrighsh01,Sharone Wright,91,24,67,.264,91,24,67,.264,0,0,0,
eisleho01,Howard Eisley,91,57,34,.626,82,53,29,.646,9,4,5,.444
trentga01,Gary Trent,88,41,47,.466,88,41,47,.466,0,0,0,
bellra01,Raja Bell,88,60,28,.682,74,53,21,.716,14,7,7,.500
walkesa01,Samaki Walker,86,23,63,.267,86,23,63,.267,0,0,0,
cebalce01,Cedric Ceballos,86,38,48,.442,86,38,48,.442,0,0,0,
terryja01,Jason Terry,82,55,27,.671,75,53,22,.707,7,2,5,.286
harride01,Devin Harris,79,55,24,.696,72,53,19,.736,7,2,5,.286
hendeal01,Alan Henderson,78,53,25,.679,73,52,21,.712,5,1,4,.200
williwa02,Walt Williams,77,53,24,.688,65,48,17,.738,12,5,7,.417
alstode01,Derrick Alston,74,22,52,.297,74,22,52,.297,0,0,0,
howarju01,Juwan Howard,73,44,29,.603,63,40,23,.635,10,4,6,.400
stackje01,Jerry Stackhouse,71,40,31,.563,64,38,26,.594,7,2,5,.286
anstech01,Chris Anstey,71,23,48,.324,71,23,48,.324,0,0,0,
jamisan01,Antawn Jamison,68,40,28,.588,66,40,26,.606,2,0,2,.000
walkean02,Antoine Walker,68,40,28,.588,66,40,26,.606,2,0,2,.000
dareyi01,Yinka Dare,67,23,44,.343,67,23,44,.343,0,0,0,
rooksse01,Sean Rooks,66,35,31,.530,66,35,31,.530,0,0,0,
brownpj01,P.J. Brown,66,23,43,.348,66,23,43,.348,0,0,0,
flemive01,Vern Fleming,65,23,42,.354,65,23,42,.354,0,0,0,
gilliar01,Armen Gilliam,64,23,41,.359,64,23,41,.359,0,0,0,
childch01,Chris Childs,63,23,40,.365,63,23,40,.365,0,0,0,
dampier01,Erick Dampier,61,42,19,.689,54,40,14,.741,7,2,5,.286
johnsav01,Avery Johnson,58,47,11,.810,58,47,11,.810,0,0,0,
muursma01,Martin Müürsepp,57,12,45,.211,57,12,45,.211,0,0,0,
boothca01,Calvin Booth,57,34,23,.596,47,30,17,.638,10,4,6,.400
tylerbj01,B.J. Tyler,55,16,39,.291,55,16,39,.291,0,0,0,
armstda01,Darrell Armstrong,54,36,18,.667,49,34,15,.694,5,2,3,.400
laettch01,Christian Laettner,53,32,21,.604,53,32,21,.604,0,0,0,
burtowi01,Willie Burton,53,14,39,.264,53,14,39,.264,0,0,0,
besttr01,Travis Best,51,30,21,.588,51,30,21,.588,0,0,0,
gillke01,Kendall Gill,51,17,34,.333,51,17,34,.333,0,0,0,
hornaje01,Jeff Hornacek,49,20,29,.408,49,20,29,.408,0,0,0,
zhizhwa01,Wang Zhizhi,47,25,22,.532,35,21,14,.600,12,4,8,.333
