id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
andergr01,Greg Anderson,36,8,28,.222,36,8,28,.222,0,0,0,
comegda01,Dallas Comegys,35,8,27,.229,35,8,27,.229,0,0,0,
anderwi01,Willie Anderson,35,8,27,.229,35,8,27,.229,0,0,0,
maxweve01,Vernon Maxwell,35,8,27,.229,35,8,27,.229,0,0,0,
brickfr01,Frank Brickowski,33,8,25,.242,33,8,25,.242,0,0,0,
smrekmi01,Mike Smrek,30,7,23,.233,30,7,23,.233,0,0,0,
rothsc01,Scott Roth,30,7,23,.233,30,7,23,.233,0,0,0,
whiteje01,Jerome Whitehead,20,5,15,.250,20,5,15,.250,0,0,0,
roberal01,Alvin Robertson,19,6,13,.316,19,6,13,.316,0,0,0,
vinceja01,Jay Vincent,18,6,12,.333,18,6,12,.333,0,0,0,
kingal01,Albert King,14,1,13,.071,14,1,13,.071,0,0,0,
bowiean01,Anthony Bowie,12,2,10,.167,12,2,10,.167,0,0,0,
nattca01,Calvin Natt,10,2,8,.200,10,2,8,.200,0,0,0,
dawkijo01,Johnny Dawkins,6,2,4,.333,6,2,4,.333,0,0,0,
mitchto01,Todd Mitchell,2,0,2,.000,2,0,2,.000,0,0,0,
