id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
millean02,Andre Miller,8,3,5,.375,8,3,5,.375,0,0,0,
persowe01,Wesley Person,8,3,5,.375,8,3,5,.375,0,0,0,
kempsh01,Shawn Kemp,8,3,5,.375,8,3,5,.375,0,0,0,
surabo01,Bob Sura,8,3,5,.375,8,3,5,.375,0,0,0,
hendece02,Cedric Henderson,8,3,5,.375,8,3,5,.375,0,0,0,
declean01,Andrew DeClercq,8,3,5,.375,8,3,5,.375,0,0,0,
murrala01,Lamond Murray,7,2,5,.286,7,2,5,.286,0,0,0,
knighbr01,Brevin Knight,7,3,4,.429,7,3,4,.429,0,0,0,
ferryda01,Danny Ferry,5,2,3,.400,5,2,3,.400,0,0,0,
stackry01,Ryan Stack,5,2,3,.400,5,2,3,.400,0,0,0,
bryanma01,Mark Bryant,5,2,3,.400,5,2,3,.400,0,0,0,
