id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
zellety01,Tyler Zeller,32,5,27,.156,32,5,27,.156,0,0,0,
thomptr01,Tristan Thompson*,32,5,27,.156,32,5,27,.156,0,0,0,
geeal01,Alonzo Gee,32,5,27,.156,32,5,27,.156,0,0,0,
irvinky01,Kyrie Irving*,26,5,21,.192,26,5,21,.192,0,0,0,
milescj01,C.J. Miles,24,4,20,.167,24,4,20,.167,0,0,0,
livinsh01,Shaun Livingston,24,5,19,.208,24,5,19,.208,0,0,0,
casspom01,Omri Casspi,23,4,19,.174,23,4,19,.174,0,0,0,
waitedi01,Dion Waiters,20,3,17,.150,20,3,17,.150,0,0,0,
waltolu01,Luke Walton,19,3,16,.158,19,3,16,.158,0,0,0,
speigma01,Marreese Speights,17,4,13,.235,17,4,13,.235,0,0,0,
ellinwa01,Wayne Ellington,17,4,13,.235,17,4,13,.235,0,0,0,
gibsoda01,Daniel Gibson,15,1,14,.067,15,1,14,.067,0,0,0,
pargoje01,Jeremy Pargo,9,1,8,.111,9,1,8,.111,0,0,0,
sloando01,Donald Sloan,5,0,5,.000,5,0,5,.000,0,0,0,
quinnch01,Chris Quinn,5,0,5,.000,5,0,5,.000,0,0,0,
varejan01,Anderson Varejão,4,0,4,.000,4,0,4,.000,0,0,0,
leuerjo01,Jon Leuer,4,1,3,.250,4,1,3,.250,0,0,0,
samuesa01,Samardo Samuels,4,0,4,.000,4,0,4,.000,0,0,0,
