id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
mitchsa01,Sam Mitchell,95,52,43,.547,93,52,41,.559,2,0,2,.000
garneke01,Kevin Garnett,93,52,41,.559,91,52,39,.571,2,0,2,.000
marbust01,Stephon Marbury,73,43,30,.589,71,43,28,.606,2,0,2,.000
portete01,Terry Porter,69,39,30,.565,67,39,28,.582,2,0,2,.000
hammoto01,Tom Hammonds,67,37,30,.552,65,37,28,.569,2,0,2,.000
parksch02,Cherokee Parks,64,37,27,.578,64,37,27,.578,0,0,0,
roberst01,Stanley Roberts,51,29,22,.569,50,29,21,.580,1,0,1,.000
garrede01,Dean Garrett,37,17,20,.459,37,17,20,.459,0,0,0,
whitnch01,Chris Whitney,36,13,23,.361,36,13,23,.361,0,0,0,
murratr01,Tracy Murray,36,13,23,.361,36,13,23,.361,0,0,0,
howarju01,Juwan Howard,36,13,23,.361,36,13,23,.361,0,0,0,
williaa01,Aaron Williams,36,13,23,.361,36,13,23,.361,0,0,0,
stricro02,Rod Strickland,36,13,23,.361,36,13,23,.361,0,0,0,
whiteja01,Jahidi White,35,12,23,.343,35,12,23,.343,0,0,0,
austiis01,Isaac Austin,34,13,21,.382,34,13,21,.382,0,0,0,
hendeal01,Alan Henderson,34,18,16,.529,24,14,10,.583,10,4,6,.400
guglito01,Tom Gugliotta,34,19,15,.559,34,19,15,.559,0,0,0,
longgr01,Grant Long,34,18,16,.529,24,14,10,.583,10,4,6,.400
laettch01,Christian Laettner,34,18,16,.529,24,14,10,.583,10,4,6,.400
blaylmo01,Mookie Blaylock,33,18,15,.545,23,14,9,.609,10,4,6,.400
smithst01,Steve Smith,33,18,15,.545,23,14,9,.609,10,4,6,.400
peelean01,Anthony Peeler,32,19,13,.594,30,19,11,.633,2,0,2,.000
wheatde01,DeJuan Wheat,32,17,15,.531,31,17,14,.548,1,0,1,.000
smithmi02,Michael Smith,32,12,20,.375,32,12,20,.375,0,0,0,
ehlocr01,Craig Ehlo,32,17,15,.531,23,13,10,.565,9,4,5,.444
carrch01,Chris Carr,32,23,9,.719,32,23,9,.719,0,0,0,
curlebi01,Bill Curley,31,20,11,.645,30,20,10,.667,1,0,1,.000
augmost01,Stacey Augmon,31,16,15,.516,21,12,9,.571,10,4,6,.400
richmmi01,Mitch Richmond,30,11,19,.367,30,11,19,.367,0,0,0,
westdo01,Doug West,29,15,14,.517,29,15,14,.517,0,0,0,
jacksbo01,Bobby Jackson,27,14,13,.519,27,14,13,.519,0,0,0,
hamilri01,Richard Hamilton,25,8,17,.320,25,8,17,.320,0,0,0,
kingge02,Gerard King,24,9,15,.375,24,9,15,.375,0,0,0,
rooksse01,Sean Rooks,24,12,12,.500,14,8,6,.571,10,4,6,.400
campbel01,Elden Campbell,23,12,11,.522,23,12,11,.522,0,0,0,
threase01,Sedale Threatt,23,12,11,.522,23,12,11,.522,0,0,0,
worthja01,James Worthy,23,12,11,.522,23,12,11,.522,0,0,0,
lynchge01,George Lynch,23,12,11,.522,23,12,11,.522,0,0,0,
vanexni01,Nick Van Exel,22,12,10,.545,22,12,10,.545,0,0,0,
pattean01,Andrae Patterson,22,12,10,.545,22,12,10,.545,0,0,0,
rambiku01,Kurt Rambis,21,11,10,.524,21,11,10,.524,0,0,0,
robinja02,James Robinson,21,6,15,.286,21,6,15,.286,0,0,0,
smithto02,Tony Smith,21,11,10,.524,21,11,10,.524,0,0,0,
divacvl01,Vlade Divac,20,12,8,.600,20,12,8,.600,0,0,0,
smithjo02,Joe Smith,20,9,11,.450,20,9,11,.450,0,0,0,
willimi02,Micheal Williams,19,12,7,.632,18,12,6,.667,1,0,1,.000
bullama01,Matt Bullard,18,9,9,.500,14,8,6,.571,4,1,3,.250
scottde01,Dennis Scott,18,9,9,.500,18,9,9,.500,0,0,0,
sealyma01,Malik Sealy,14,6,8,.429,14,6,8,.429,0,0,0,
chrisdo01,Doug Christie,13,7,6,.538,13,7,6,.538,0,0,0,
brandte01,Terrell Brandon,12,7,5,.583,12,7,5,.583,0,0,0,
profila01,Laron Profit,12,4,8,.333,12,4,8,.333,0,0,0,
edwarja01,James Edwards,12,5,7,.417,12,5,7,.417,0,0,0,
sabonar01,Arvydas Sabonis,9,4,5,.444,9,4,5,.444,0,0,0,
butlemi02,Mitchell Butler,9,4,5,.444,9,4,5,.444,0,0,0,
anderke01,Kenny Anderson,9,4,5,.444,9,4,5,.444,0,0,0,
robincl02,Clifford Robinson,9,4,5,.444,9,4,5,.444,0,0,0,
boycedo01,Donnie Boyce,9,5,4,.556,8,5,3,.625,1,0,1,.000
trentga01,Gary Trent,9,4,5,.444,9,4,5,.444,0,0,0,
mckieaa01,Aaron McKie,9,4,5,.444,9,4,5,.444,0,0,0,
dudlech02,Chris Dudley,9,4,5,.444,9,4,5,.444,0,0,0,
rideris01,Isaiah Rider,8,3,5,.375,8,3,5,.375,0,0,0,
wallara01,Rasheed Wallace,8,4,4,.500,8,4,4,.500,0,0,0,
vrankst01,Stojko Vranković,6,3,3,.500,6,3,3,.500,0,0,0,
schayda01,Danny Schayes,6,2,4,.333,6,2,4,.333,0,0,0,
willilo01,Lorenzo Williams,6,2,4,.333,6,2,4,.333,0,0,0,
childra01,Randolph Childress,5,4,1,.800,5,4,1,.800,0,0,0,
healsh01,Shane Heal,5,2,3,.400,5,2,3,.400,0,0,0,
wingfdo01,Dontonio Wingfield,5,3,2,.600,5,3,2,.600,0,0,0,
evansbr01,Brian Evans,4,1,3,.250,4,1,3,.250,0,0,0,
grantpa01,Paul Grant,4,4,0,1.000,4,4,0,1.000,0,0,0,
normake01,Ken Norman,3,3,0,1.000,3,3,0,1.000,0,0,0,
onealje01,Jermaine O'Neal,2,1,1,.500,2,1,1,.500,0,0,0,
roziecl01,Clifford Rozier,2,0,2,.000,2,0,2,.000,0,0,0,
wintetr01,Trevor Winter,1,0,1,.000,1,0,1,.000,0,0,0,
