id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
davisgl01,Glen Davis,37,30,7,.811,37,30,7,.811,0,0,0,
allenra02,Ray Allen,37,30,7,.811,37,30,7,.811,0,0,0,
piercpa01,Paul Pierce,37,30,7,.811,37,30,7,.811,0,0,0,
robinna01,Nate Robinson,37,30,7,.811,37,30,7,.811,0,0,0,
haranlu01,Luke Harangody,36,20,16,.556,36,20,16,.556,0,0,0,
daniema01,Marquis Daniels,35,28,7,.800,35,28,7,.800,0,0,0,
garneke01,Kevin Garnett,33,27,6,.818,33,27,6,.818,0,0,0,
wafervo01,Von Wafer,33,29,4,.879,33,29,4,.879,0,0,0,
geeal01,Alonzo Gee,32,9,23,.281,32,9,23,.281,0,0,0,
rondora01,Rajon Rondo*,30,24,6,.800,30,24,6,.800,0,0,0,
jamisan01,Antawn Jamison,28,8,20,.286,28,8,20,.286,0,0,0,
casspom01,Omri Casspi,28,8,20,.286,28,8,20,.286,0,0,0,
sessira01,Ramon Sessions,25,8,17,.320,25,8,17,.320,0,0,0,
thomptr01,Tristan Thompson*,24,6,18,.250,24,6,18,.250,0,0,0,
irvinky01,Kyrie Irving*,22,6,16,.273,22,6,16,.273,0,0,0,
onealsh01,Shaquille O'Neal,22,18,4,.818,22,18,4,.818,0,0,0,
parkean01,Anthony Parker,20,3,17,.150,20,3,17,.150,0,0,0,
samuesa01,Samardo Samuels,19,2,17,.105,19,2,17,.105,0,0,0,
gibsoda01,Daniel Gibson,18,6,12,.333,18,6,12,.333,0,0,0,
harrima01,Manny Harris,13,2,11,.154,13,2,11,.154,0,0,0,
holliry01,Ryan Hollins,13,5,8,.385,13,5,8,.385,0,0,0,
varejan01,Anderson Varejão,12,4,8,.333,12,4,8,.333,0,0,0,
bradlav01,Avery Bradley,11,11,0,1.000,11,11,0,1.000,0,0,0,
sloando01,Donald Sloan,7,1,6,.143,7,1,6,.143,0,0,0,
eyengch01,Christian Eyenga,7,2,5,.286,7,2,5,.286,0,0,0,
onealje01,Jermaine O'Neal,7,5,2,.714,7,5,2,.714,0,0,0,
perkike01,Kendrick Perkins,6,4,2,.667,6,4,2,.667,0,0,0,
westde01,Delonte West,6,4,2,.667,6,4,2,.667,0,0,0,
waltolu01,Luke Walton,6,1,5,.167,6,1,5,.167,0,0,0,
hicksjj01,J.J. Hickson,4,1,3,.250,4,1,3,.250,0,0,0,
hudsole01,Lester Hudson,4,1,3,.250,4,1,3,.250,0,0,0,
davisba01,Baron Davis,4,1,3,.250,4,1,3,.250,0,0,0,
thompmy02,Mychel Thompson,2,1,1,.500,2,1,1,.500,0,0,0,
uzohbe01,Ben Uzoh,2,0,2,.000,2,0,2,.000,0,0,0,
grahajo01,Joey Graham,2,0,2,.000,2,0,2,.000,0,0,0,
