id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
walkean02,Antoine Walker,183,85,98,.464,158,72,86,.456,25,13,12,.520
rogerro01,Rodney Rogers,160,91,69,.569,142,82,60,.577,18,9,9,.500
boguemu01,Muggsy Bogues,128,58,70,.453,126,58,68,.460,2,0,2,.000
mariosh01,Shawn Marion,124,69,55,.556,120,68,52,.567,4,1,3,.250
divacvl01,Vlade Divac,118,66,52,.559,110,64,46,.582,8,2,6,.250
willier01,Eric Williams,113,63,50,.558,89,51,38,.573,24,12,12,.500
dampier01,Erick Dampier,110,33,77,.300,110,33,77,.300,0,0,0,
piercpa01,Paul Pierce,110,61,49,.555,86,49,37,.570,24,12,12,.500
mccarwa01,Walter McCarty,108,62,46,.574,86,51,35,.593,22,11,11,.500
marshdo01,Donyell Marshall,100,29,71,.290,100,29,71,.290,0,0,0,
guglito01,Tom Gugliotta,99,48,51,.485,95,47,48,.495,4,1,3,.250
battito01,Tony Battie,99,52,47,.525,75,40,35,.533,24,12,12,.500
tsakaja01,Jake Tsakalidis,92,50,42,.543,88,49,39,.557,4,1,3,.250
colesbi01,Bimbo Coles,91,28,63,.308,88,27,61,.307,3,1,2,.333
robincl02,Clifford Robinson,86,52,34,.605,82,51,31,.622,4,1,3,.250
spencfe01,Felton Spencer,81,24,57,.296,81,24,57,.296,0,0,0,
foylead01,Adonal Foyle,81,19,62,.235,81,19,62,.235,0,0,0,
kiddja01,Jason Kidd,81,51,30,.630,77,50,27,.649,4,1,3,.250
eliema01,Mario Elie,72,45,27,.625,68,44,24,.647,4,1,3,.250
jamisan01,Antawn Jamison,68,34,34,.500,67,33,34,.493,1,1,0,1.000
ricegl01,Glen Rice,65,39,26,.600,62,39,23,.629,3,0,3,.000
bremejr01,J.R. Bremer,59,29,30,.492,49,25,24,.510,10,4,6,.400
anderke01,Kenny Anderson,58,22,36,.379,44,14,30,.318,14,8,6,.571
masonan01,Anthony Mason,58,34,24,.586,55,34,21,.618,3,0,3,.000
santida01,Daniel Santiago,57,34,23,.596,56,34,22,.607,1,0,1,.000
childjo01,Josh Childress,56,6,50,.107,56,6,50,.107,0,0,0,
dudlech02,Chris Dudley,56,34,22,.607,53,34,19,.642,3,0,3,.000
curryde01,Dell Curry,54,30,24,.556,51,30,21,.588,3,0,3,.000
caffeja01,Jason Caffey,53,16,37,.302,53,16,37,.302,0,0,0,
smithjo03,Josh Smith,51,5,46,.098,51,5,46,.098,0,0,0,
fulleto02,Todd Fuller,51,12,39,.235,51,12,39,.235,0,0,0,
smithto02,Tony Smith,51,29,22,.569,49,29,20,.592,2,0,2,.000
willija02,Jason Williams,50,25,25,.500,45,23,22,.511,5,2,3,.400
brownke01,Kedrick Brown,50,27,23,.540,45,23,22,.511,5,4,1,.800
collija02,Jason Collier,49,5,44,.102,49,5,44,.102,0,0,0,
ferredu01,Duane Ferrell,49,9,40,.184,49,9,40,.184,0,0,0,
willico02,Corliss Williamson,49,25,24,.510,44,23,21,.523,5,2,3,.400
webbech01,Chris Webber,47,25,22,.532,42,23,19,.548,5,2,3,.400
fundela01,Lawrence Funderburke,46,25,21,.543,42,24,18,.571,4,1,3,.250
stojape01,Peja Stojaković,46,25,21,.543,41,23,18,.561,5,2,3,.400
rosema01,Malik Rose,46,27,19,.587,44,27,17,.614,2,0,2,.000
perryel01,Elliot Perry,45,23,22,.511,43,23,20,.535,2,0,2,.000
hardaan01,Anfernee Hardaway,45,20,25,.444,45,20,25,.444,0,0,0,
drobnpr01,Predrag Drobnjak,45,6,39,.133,45,6,39,.133,0,0,0,
pollasc01,Scot Pollard,45,22,23,.489,40,20,20,.500,5,2,3,.400
harrial01,Al Harrington,44,4,40,.091,44,4,40,.091,0,0,0,
blounma01,Mark Blount,44,26,18,.591,31,20,11,.645,13,6,7,.462
anderni01,Nick Anderson,44,23,21,.523,39,21,18,.538,5,2,3,.400
bakervi01,Vin Baker,44,25,19,.568,44,25,19,.568,0,0,0,
smithjo02,Joe Smith,43,8,35,.186,43,8,35,.186,0,0,0,
diawbo01,Boris Diaw,43,5,38,.116,43,5,38,.116,0,0,0,
willish01,Shammond Williams,43,25,18,.581,43,25,18,.581,0,0,0,
geigema01,Matt Geiger,42,26,16,.619,39,26,13,.667,3,0,3,.000
delnevi01,Vinny Del Negro,41,25,16,.610,38,24,14,.632,3,1,2,.333
marbust01,Stephon Marbury,41,18,23,.439,41,18,23,.439,0,0,0,
barryjo01,Jon Barry,41,19,22,.463,36,17,19,.472,5,2,3,.400
iveyro01,Royal Ivey,39,3,36,.077,39,3,36,.077,0,0,0,
wallabe01,Ben Wallace,39,24,15,.615,23,15,8,.652,16,9,7,.562
