id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
bryanjo01,Joe Bryant,289,162,127,.561,267,151,116,.566,22,11,11,.500
baglejo01,John Bagley,254,96,158,.378,250,95,155,.380,4,1,3,.250
mixst01,Steve Mix,245,150,95,.612,217,136,81,.627,28,14,14,.500
mcginge01,George McGinnis,241,147,94,.610,213,133,80,.624,28,14,14,.500
hinsoro01,Roy Hinson,233,96,137,.412,229,95,134,.415,4,1,3,.250
collido01,Doug Collins,221,132,89,.597,193,118,75,.611,28,14,14,.500
hubbaph01,Phil Hubbard,217,85,132,.392,213,84,129,.394,4,1,3,.250
shortpu01,Purvis Short,214,109,105,.509,212,109,103,.514,2,0,2,.000
carrojo01,Joe Barry Carroll,196,99,97,.505,194,99,95,.510,2,0,2,.000
poquebe01,Ben Poquette,194,77,117,.397,190,76,114,.400,4,1,3,.250
catchha01,Harvey Catchings,193,114,79,.591,175,106,69,.606,18,8,10,.444
ervinju01,Julius Erving*,185,114,71,.616,160,101,59,.631,25,13,12,.520
dawkida01,Darryl Dawkins,179,108,71,.603,155,95,60,.613,24,13,11,.542
bibbyhe01,Henry Bibby,178,112,66,.629,153,99,54,.647,25,13,12,.520
jonesca01,Caldwell Jones*,177,110,67,.621,152,97,55,.638,25,13,12,.520
sheltlo01,Lonnie Shelton,171,66,105,.386,167,65,102,.389,4,1,3,.250
smithla01,Larry Smith,155,80,75,.516,155,80,75,.516,0,0,0,
turpime01,Melvin Turpin,145,61,84,.421,141,60,81,.426,4,1,3,.250
natersw01,Swen Nater*,142,71,71,.500,142,71,71,.500,0,0,0,
brownri01,Rickey Brown,141,73,68,.518,141,73,68,.518,0,0,0,
kingbe01,Bernard King,139,73,66,.525,139,73,66,.525,0,0,0,
willifr01,Freeman Williams,136,67,69,.493,136,67,69,.493,0,0,0,
wickssi01,Sidney Wicks,132,67,65,.508,132,67,65,.508,0,0,0,
romarlo01,Lorenzo Romar,131,66,65,.504,131,66,65,.504,0,0,0,
robincl01,Cliff Robinson,128,43,85,.336,128,43,85,.336,0,0,0,
hustoge01,Geoff Huston,127,42,85,.331,127,42,85,.331,0,0,0,
weathni01,Nick Weatherspoon,125,63,62,.504,125,63,62,.504,0,0,0,
parkeso01,Sonny Parker,124,67,57,.540,124,67,57,.540,0,0,0,
westma01,Mark West,121,55,66,.455,117,54,63,.462,4,1,3,.250
cookje01,Jeff Cook,111,35,76,.315,111,35,76,.315,0,0,0,
davisjo01,Johnny Davis,104,48,56,.462,101,47,54,.465,3,1,2,.333
thomppa01,Paul Thompson,98,33,65,.337,98,33,65,.337,0,0,0,
cartefr01,Fred Carter,87,46,41,.529,84,45,39,.536,3,1,2,.333
taylobr01,Brian Taylor*,84,42,42,.500,84,42,42,.500,0,0,0,
normaco01,Connie Norman,79,41,38,.519,78,40,38,.513,1,1,0,1.000
washike01,Kermit Washington,78,43,35,.551,78,43,35,.551,0,0,0,
smithra01,Randy Smith,78,43,35,.551,78,43,35,.551,0,0,0,
kunneke01,Kevin Kunnert,77,42,35,.545,77,42,35,.545,0,0,0,
jonesed01,Edgar Jones,77,36,41,.468,73,35,38,.479,4,1,3,.250
hassejo01,Joe Hassett*,76,40,36,.526,76,40,36,.526,0,0,0,
willisa02,Sam Williams,73,40,33,.548,73,40,33,.548,0,0,0,
leecl01,Clyde Lee,71,39,32,.549,68,38,30,.559,3,1,2,.333
galemi01,Mike Gale*,71,40,31,.563,71,40,31,.563,0,0,0,
minnidi01,Dirk Minniefield,70,24,46,.343,70,24,46,.343,0,0,0,
connele01,Lester Conner,61,32,29,.525,61,32,29,.525,0,0,0,
leaveal01,Allen Leavell,59,30,29,.508,57,30,27,.526,2,0,2,.000
mccraro01,Rodney McCray,59,30,29,.508,57,30,27,.526,2,0,2,.000
olajuha01,Hakeem Olajuwon,57,29,28,.509,55,29,26,.527,2,0,2,.000
smithbi02,Bingo Smith*,56,26,30,.464,56,26,30,.464,0,0,0,
raycl01,Clifford Ray,55,28,27,.509,55,28,27,.509,0,0,0,
leeke01,Keith Lee,54,19,35,.352,54,19,35,.352,0,0,0,
maxwece01,Cedric Maxwell,53,27,26,.509,51,27,24,.529,2,0,2,.000
laceysa01,Sam Lacey*,53,18,35,.340,53,18,35,.340,0,0,0,
johnsbu01,Buck Johnson,52,26,26,.500,50,26,24,.520,2,0,2,.000
lucasjo01,John Lucas,52,27,25,.519,52,27,25,.519,0,0,0,
anderro01,Ron Anderson,51,23,28,.451,49,22,27,.449,2,1,1,.500
wilkebo01,Bob Wilkerson,50,16,34,.320,50,16,34,.320,0,0,0,
grangst01,Stewart Granger,49,13,36,.265,49,13,36,.265,0,0,0,
reidbi01,Billy Reid,48,21,27,.438,48,21,27,.438,0,0,0,
willike01,Kevin Williams,47,22,25,.468,45,22,23,.489,2,0,2,.000
peterji01,Jim Petersen,47,23,24,.489,45,23,22,.511,2,0,2,.000
whiteje01,Jerome Whitehead,43,22,21,.512,43,22,21,.512,0,0,0,
reidro01,Robert Reid,42,21,21,.500,40,21,19,.525,2,0,2,.000
hayesst01,Steve Hayes,42,12,30,.286,42,12,30,.286,0,0,0,
dunlemi01,Mike Dunleavy,41,26,15,.634,34,24,10,.706,7,2,5,.286
pietkst01,Stan Pietkiewicz,40,13,27,.325,40,13,27,.325,0,0,0,
