id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
bridgju01,Junior Bridgeman,37,6,31,.162,37,6,31,.162,0,0,0,
whitero01,Rory White,36,5,31,.139,36,5,31,.139,0,0,0,
cagemi01,Michael Cage,34,6,28,.176,34,6,28,.176,0,0,0,
gordola01,Lancaster Gordon,32,4,28,.125,32,4,28,.125,0,0,0,
johnsma01,Marques Johnson,32,5,27,.156,32,5,27,.156,0,0,0,
nixonno01,Norm Nixon,30,5,25,.167,30,5,25,.167,0,0,0,
malonje01,Jeff Malone,30,10,20,.333,30,10,20,.333,0,0,0,
donalja01,James Donaldson,30,5,25,.167,30,5,25,.167,0,0,0,
jonesch01,Charles Jones,29,9,20,.310,29,9,20,.310,0,0,0,
malonmo01,Moses Malone,29,10,19,.345,29,10,19,.345,0,0,0,
catlete01,Terry Catledge,28,10,18,.357,28,10,18,.357,0,0,0,
willijo02,John Williams,28,9,19,.321,28,9,19,.321,0,0,0,
bolma01,Manute Bol,27,10,17,.370,27,10,17,.370,0,0,0,
smithde02,Derek Smith*,26,5,21,.192,26,5,21,.192,0,0,0,
warribr01,Bryan Warrick,23,4,19,.174,23,4,19,.174,0,0,0,
cookda01,Darwin Cook,21,8,13,.381,21,8,13,.381,0,0,0,
catchha01,Harvey Catchings,20,3,17,.150,20,3,17,.150,0,0,0,
johnsfr01,Frank Johnson,17,5,12,.294,17,5,12,.294,0,0,0,
whatlen01,Ennis Whatley,15,6,9,.400,15,6,9,.400,0,0,0,
waltobi01,Bill Walton,15,4,11,.267,15,4,11,.267,0,0,0,
benjabe01,Benoit Benjamin,14,2,12,.143,14,2,12,.143,0,0,0,
edwarfr01,Franklin Edwards,14,2,12,.143,14,2,12,.143,0,0,0,
vinceja01,Jay Vincent,13,5,8,.385,13,5,8,.385,0,0,0,
adamsmi01,Michael Adams,11,5,6,.455,11,5,6,.455,0,0,0,
roundda01,Dan Roundfield,11,4,7,.364,11,4,7,.364,0,0,0,
maxwece01,Cedric Maxwell,9,2,7,.222,9,2,7,.222,0,0,0,
kingbe01,Bernard King,9,2,7,.222,9,2,7,.222,0,0,0,
boguemu01,Muggsy Bogues,9,2,7,.222,9,2,7,.222,0,0,0,
walkeda01,Darrell Walker,9,2,7,.222,9,2,7,.222,0,0,0,
alarima01,Mark Alarie,8,1,7,.125,8,1,7,.125,0,0,0,
nimphku01,Kurt Nimphius,6,1,5,.167,6,1,5,.167,0,0,0,
jonesan01,Anthony Jones,6,2,4,.333,6,2,4,.333,0,0,0,
wilkeja01,Jamaal Wilkes,6,1,5,.167,6,1,5,.167,0,0,0,
okoremi01,Mike O'Koren,6,3,3,.500,6,3,3,.500,0,0,0,
thomaji01,Jim Thomas,5,0,5,.000,5,0,5,.000,0,0,0,
