id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
mccarwa01,Walter McCarty,3,3,0,1.000,3,3,0,1.000,0,0,0,
potapvi01,Vitaly Potapenko,3,3,0,1.000,3,3,0,1.000,0,0,0,
piercpa01,Paul Pierce,3,3,0,1.000,3,3,0,1.000,0,0,0,
walkean02,Antoine Walker,3,3,0,1.000,3,3,0,1.000,0,0,0,
anderke01,Kenny Anderson,3,3,0,1.000,3,3,0,1.000,0,0,0,
cheanca01,Calbert Cheaney,3,3,0,1.000,3,3,0,1.000,0,0,0,
griffad01,Adrian Griffin,3,3,0,1.000,3,3,0,1.000,0,0,0,
battito01,Tony Battie,3,3,0,1.000,3,3,0,1.000,0,0,0,
ellispe01,Pervis Ellison,2,2,0,1.000,2,2,0,1.000,0,0,0,
willier01,Eric Williams,2,2,0,1.000,2,2,0,1.000,0,0,0,
barroda01,Dana Barros,1,1,0,1.000,1,1,0,1.000,0,0,0,
