id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
harrito02,Tobias Harris,82,20,62,.244,82,20,62,.244,0,0,0,
harklma01,Maurice Harkless,77,17,60,.221,77,17,60,.221,0,0,0,
mooreet01,E'Twaun Moore,74,16,58,.216,74,16,58,.216,0,0,0,
oquinky01,Kyle O'Quinn,69,14,55,.203,69,14,55,.203,0,0,0,
nichoan01,Andrew Nicholson,68,13,55,.191,68,13,55,.191,0,0,0,
afflaar01,Arron Afflalo,59,14,45,.237,59,14,45,.237,0,0,0,
vucevni01,Nikola Vučević*,53,13,40,.245,53,13,40,.245,0,0,0,
oladivi01,Victor Oladipo*,51,13,38,.255,51,13,38,.255,0,0,0,
nelsoja01,Jameer Nelson,51,14,37,.275,51,14,37,.275,0,0,0,
udrihbe01,Beno Udrih,33,9,24,.273,33,9,24,.273,0,0,0,
davisgl01,Glen Davis,26,6,20,.231,26,6,20,.231,0,0,0,
ellismo01,Monta Ellis,23,12,11,.522,23,12,11,.522,0,0,0,
jennibr01,Brandon Jennings,23,12,11,.522,23,12,11,.522,0,0,0,
jonesde01,DeQuan Jones,22,4,18,.182,22,4,18,.182,0,0,0,
udohek01,Ekpe Udoh,22,11,11,.500,22,11,11,.500,0,0,0,
sandela01,Larry Sanders,22,11,11,.500,22,11,11,.500,0,0,0,
ilyaser01,Ersan İlyasova,21,12,9,.571,21,12,9,.571,0,0,0,
pricero01,Ronnie Price,20,6,14,.300,20,6,14,.300,0,0,0,
daniema01,Marquis Daniels,19,10,9,.526,19,10,9,.526,0,0,0,
maxieja01,Jason Maxiell,18,3,15,.167,18,3,15,.167,0,0,0,
hensojo01,John Henson,17,6,11,.353,17,6,11,.353,0,0,0,
dunlemi02,Mike Dunleavy,16,7,9,.438,16,7,9,.438,0,0,0,
dedmode01,Dewayne Dedmon,16,2,14,.125,16,2,14,.125,0,0,0,
mbahalu01,Luc Mbah a Moute,15,8,7,.533,15,8,7,.533,0,0,0,
dalemsa01,Samuel Dalembert,11,6,5,.545,11,6,5,.545,0,0,0,
przybjo01,Joel Przybilla,9,4,5,.444,9,4,5,.444,0,0,0,
goodedr01,Drew Gooden,8,4,4,.500,8,4,4,.500,0,0,0,
harrial01,Al Harrington,7,2,5,.286,7,2,5,.286,0,0,0,
jonesso01,Solomon Jones,7,2,5,.286,7,2,5,.286,0,0,0,
thomaad01,Adonis Thomas,3,0,3,.000,3,0,3,.000,0,0,0,
