id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
simmoco01,Connie Simmons*,53,18,35,.340,53,18,35,.340,0,0,0,
simmojo01,Johnny Simmons,49,17,32,.347,49,17,32,.347,0,0,0,
spectar01,Art Spector*,47,17,30,.362,47,17,30,.362,0,0,0,
brighal01,Al Brightman*,46,16,30,.348,46,16,30,.348,0,0,0,
graywy01,Wyndol Gray*,43,14,29,.326,43,14,29,.326,0,0,0,
kottmha01,Harold Kottman*,39,12,27,.308,39,12,27,.308,0,0,0,
kellyje01,Jerry Kelly*,32,14,18,.438,32,14,18,.438,0,0,0,
garfija01,Jack Garfinkel*,32,12,20,.375,32,12,20,.375,0,0,0,
fenlewa01,Warren Fenley*,31,10,21,.323,31,10,21,.323,0,0,0,
hoefech01,Charlie Hoefer,27,13,14,.481,27,13,14,.481,0,0,0,
wallare01,Red Wallace,24,4,20,.167,24,4,20,.167,0,0,0,
kappeto01,Tony Kappen*,17,3,14,.176,17,3,14,.176,0,0,0,
vaughvi01,Virgil Vaughn*,15,3,12,.200,15,3,12,.200,0,0,0,
hirscme01,Mel Hirsch,13,2,11,.154,13,2,11,.154,0,0,0,
murphdi01,Dick Murphy*,7,2,5,.286,7,2,5,.286,0,0,0,
duffybo01,Bob Duffy*,6,1,5,.167,6,1,5,.167,0,0,0,
beckemo01,Moe Becker*,6,1,5,.167,6,1,5,.167,0,0,0,
crislha01,Hal Crisler*,5,2,3,.400,5,2,3,.400,0,0,0,
stumpge01,Gene Stump*,4,1,3,.250,4,1,3,.250,0,0,0,
riebeme01,Mel Riebe,4,1,3,.250,4,1,3,.250,0,0,0,
sadowed01,Ed Sadowski,4,1,3,.250,4,1,3,.250,0,0,0,
ehlerbu01,Bulbs Ehlers,4,1,3,.250,4,1,3,.250,0,0,0,
hankice01,Cecil Hankins,4,1,3,.250,4,1,3,.250,0,0,0,
janisjo01,John Janisch,3,0,3,.000,3,0,3,.000,0,0,0,
mariasa01,Saul Mariaschin,2,0,2,.000,2,0,2,.000,0,0,0,
eliasdo01,Don Eliason,1,0,1,.000,1,0,1,.000,0,0,0,
