id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
grantga01,Gary Grant,1,0,1,.000,1,0,1,.000,0,0,0,
garrito01,Tom Garrick,1,0,1,.000,1,0,1,.000,0,0,0,
benjabe01,Benoit Benjamin,1,0,1,.000,1,0,1,.000,0,0,0,
whatlen01,Ennis Whatley,1,0,1,.000,1,0,1,.000,0,0,0,
dailequ01,Quintin Dailey,1,0,1,.000,1,0,1,.000,0,0,0,
normake01,Ken Norman,1,0,1,.000,1,0,1,.000,0,0,0,
whiteer01,Eric White,1,0,1,.000,1,0,1,.000,0,0,0,
rosero01,Rob Rose,1,0,1,.000,1,0,1,.000,0,0,0,
lockro01,Rob Lock,1,0,1,.000,1,0,1,.000,0,0,0,
smithch01,Charles Smith,1,0,1,.000,1,0,1,.000,0,0,0,
