id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
colliji01,Jimmy Collins,6,5,1,.833,6,5,1,.833,0,0,0,
sloanje01,Jerry Sloan*,6,5,1,.833,6,5,1,.833,0,0,0,
walkech01,Chet Walker,6,5,1,.833,6,5,1,.833,0,0,0,
foxji01,Jim Fox*,6,5,1,.833,6,5,1,.833,0,0,0,
lovebo01,Bob Love,6,5,1,.833,6,5,1,.833,0,0,0,
boerwto01,Tom Boerwinkle*,6,5,1,.833,6,5,1,.833,0,0,0,
guokama02,Matt Guokas,6,5,1,.833,6,5,1,.833,0,0,0,
weissbo01,Bob Weiss,6,5,1,.833,6,5,1,.833,0,0,0,
baumjo01,Johnny Baum,5,5,0,1.000,5,5,0,1.000,0,0,0,
ruffnpa01,Paul Ruffner*,4,4,0,1.000,4,4,0,1.000,0,0,0,
kingji01,Jim King,1,1,0,1.000,1,1,0,1.000,0,0,0,
