id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
jamisan01,Antawn Jamison,156,61,95,.391,156,61,95,.391,0,0,0,
battito01,Tony Battie,118,32,86,.271,118,32,86,.271,0,0,0,
walkean02,Antoine Walker,111,58,53,.523,111,58,53,.523,0,0,0,
collini01,Nick Collison,110,63,47,.573,99,57,42,.576,11,6,5,.545
ridnolu01,Luke Ridnour,109,63,46,.578,98,57,41,.582,11,6,5,.545
allenra02,Ray Allen,106,62,44,.585,95,56,39,.589,11,6,5,.545
washier01,Eric Washington,102,19,83,.186,102,19,83,.186,0,0,0,
foylead01,Adonal Foyle,97,25,72,.258,97,25,72,.258,0,0,0,
lewisra02,Rashard Lewis,95,56,39,.589,87,51,36,.586,8,5,3,.625
potapvi01,Vitaly Potapenko,95,41,54,.432,90,39,51,.433,5,2,3,.400
murphtr01,Troy Murphy,94,26,68,.277,94,26,68,.277,0,0,0,
richaja01,Jason Richardson,92,26,66,.283,92,26,66,.283,0,0,0,
dampier01,Erick Dampier,91,25,66,.275,91,25,66,.275,0,0,0,
evansre01,Reggie Evans,91,55,36,.604,80,49,31,.613,11,6,5,.545
willier01,Eric Williams,85,31,54,.365,85,31,54,.365,0,0,0,
garrede01,Dean Garrett,85,12,73,.141,85,12,73,.141,0,0,0,
radmavl01,Vladimir Radmanović,81,50,31,.617,75,46,29,.613,6,4,2,.667
goldwan01,Anthony Goldwire,80,11,69,.138,80,11,69,.138,0,0,0,
stithbr01,Bryant Stith,75,16,59,.213,75,16,59,.213,0,0,0,
hughela01,Larry Hughes,75,18,57,.240,75,18,57,.240,0,0,0,
surabo01,Bob Sura,75,19,56,.253,75,19,56,.253,0,0,0,
ellisla01,LaPhonso Ellis,74,11,63,.149,74,11,63,.149,0,0,0,
jamesje01,Jerome James,73,48,25,.658,62,42,20,.677,11,6,5,.545
millsch01,Chris Mills,73,19,54,.260,73,19,54,.260,0,0,0,
newmajo01,Johnny Newman,72,11,61,.153,72,11,61,.153,0,0,0,
daniean01,Antonio Daniels,69,46,23,.667,58,40,18,.690,11,6,5,.545
jacksbo01,Bobby Jackson,68,8,60,.118,68,8,60,.118,0,0,0,
wilkida02,Damien Wilkins,62,31,31,.500,55,27,28,.491,7,4,3,.571
alexaco01,Cory Alexander,59,15,44,.254,59,15,44,.254,0,0,0,
arenagi01,Gilbert Arenas,59,15,44,.254,59,15,44,.254,0,0,0,
murraro01,Ronald Murray,56,28,28,.500,52,27,25,.519,4,1,3,.250
anderke01,Kenny Anderson,55,24,31,.436,55,24,31,.436,0,0,0,
wolfjo01,Joe Wolf,55,8,47,.145,55,8,47,.145,0,0,0,
nowitdi01,Dirk Nowitzki,54,33,21,.611,54,33,21,.611,0,0,0,
nashst01,Steve Nash,53,32,21,.604,53,32,21,.604,0,0,0,
piercpa01,Paul Pierce,53,24,29,.453,53,24,29,.453,0,0,0,
vanexni01,Nick Van Exel,50,14,36,.280,50,14,36,.280,0,0,0,
mcdyean01,Antonio McDyess,50,14,36,.280,50,14,36,.280,0,0,0,
finlemi01,Michael Finley,49,31,18,.633,49,31,18,.633,0,0,0,
barroda01,Dana Barros,47,21,26,.447,47,21,26,.447,0,0,0,
cheanca01,Calbert Cheaney,46,21,25,.457,46,21,25,.457,0,0,0,
billuch01,Chauncey Billups,45,14,31,.311,45,14,31,.311,0,0,0,
griffad01,Adrian Griffin,45,18,27,.400,45,18,27,.400,0,0,0,
bradlsh01,Shawn Bradley,44,26,18,.591,44,26,18,.591,0,0,0,
howarjo01,Josh Howard,43,24,19,.558,43,24,19,.558,0,0,0,
besttr01,Travis Best,40,24,16,.600,40,24,16,.600,0,0,0,
blaylmo01,Mookie Blaylock,40,13,27,.325,40,13,27,.325,0,0,0,
najered01,Eduardo Nájera,39,23,16,.590,39,23,16,.590,0,0,0,
laudepr01,Priest Lauderdale,39,3,36,.077,39,3,36,.077,0,0,0,
daniema01,Marquis Daniels,38,22,16,.579,38,22,16,.579,0,0,0,
overtdo01,Doug Overton,36,18,18,.500,36,18,18,.500,0,0,0,
taylojo01,Johnny Taylor,36,10,26,.278,36,10,26,.278,0,0,0,
mccarwa01,Walter McCarty,36,16,20,.444,36,16,20,.444,0,0,0,
clarkke01,Keon Clark,28,8,20,.286,28,8,20,.286,0,0,0,
ellisha01,Harold Ellis,27,2,25,.074,27,2,25,.074,0,0,0,
garriki01,Kiwane Lemorris Garris,26,0,26,.000,26,0,26,.000,0,0,0,
petrojo01,Johan Petro,25,9,16,.360,25,9,16,.360,0,0,0,
delkto01,Tony Delk,25,12,13,.480,25,12,13,.480,0,0,0,
herreca01,Carl Herrera,24,7,17,.292,24,7,17,.292,0,0,0,
cleavma01,Mateen Cleaves,24,14,10,.583,24,14,10,.583,0,0,0,
olivede01,Dean Oliver,24,6,18,.250,24,6,18,.250,0,0,0,
jacksma02,Marc Jackson,20,5,15,.250,20,5,15,.250,0,0,0,
willisc01,Scott Williams,18,13,5,.722,18,13,5,.722,0,0,0,
dunlemi02,Mike Dunleavy,17,6,11,.353,17,6,11,.353,0,0,0,
swiftro01,Robert Swift,15,9,6,.600,15,9,6,.600,0,0,0,
wilcoch01,Chris Wilcox,14,6,8,.429,14,6,8,.429,0,0,0,
watsoea01,Earl Watson,14,6,8,.429,14,6,8,.429,0,0,0,
meyerlo01,Loren Meyer,14,4,10,.286,14,4,10,.286,0,0,0,
hendece02,Cedric Henderson,12,4,8,.333,12,4,8,.333,0,0,0,
lafrera01,Raef LaFrentz,12,3,9,.250,12,3,9,.250,0,0,0,
ellispe01,Pervis Ellison,11,3,8,.273,11,3,8,.273,0,0,0,
welscji01,Jiří Welsch,10,3,7,.300,10,3,7,.300,0,0,0,
boykiea01,Earl Boykins,10,3,7,.300,10,3,7,.300,0,0,0,
gelabmi01,Mickaël Gelabale,10,5,5,.500,10,5,5,.500,0,0,0,
torreos01,Óscar Torres,8,3,5,.375,8,3,5,.375,0,0,0,
senesa01,Mouhamed Sene,6,2,4,.333,6,2,4,.333,0,0,0,
mooremi01,Mikki Moore,6,0,6,.000,6,0,6,.000,0,0,0,
delnevi01,Vinny Del Negro,6,1,5,.167,6,1,5,.167,0,0,0,
wilksmi01,Mike Wilks,6,2,4,.333,6,2,4,.333,0,0,0,
kutluib01,Ibo Kutluay,5,4,1,.800,5,4,1,.800,0,0,0,
zidekge01,George Zídek,4,0,4,.000,4,0,4,.000,0,0,0,
portech01,Chris Porter,3,0,3,.000,3,0,3,.000,0,0,0,
cummivo01,Vonteego Cummings,3,1,2,.333,3,1,2,.333,0,0,0,
keefead01,Adam Keefe,2,1,1,.500,2,1,1,.500,0,0,0,
glynian01,Andreas Glyniadakis,2,1,1,.500,2,1,1,.500,0,0,0,
brownan01,Andre Brown,2,0,2,.000,2,0,2,.000,0,0,0,
mccarke01,Kelly McCarty,2,1,1,.500,2,1,1,.500,0,0,0,
mullich01,Chris Mullin,1,0,1,.000,1,0,1,.000,0,0,0,
ruckegu01,Guy Rucker,1,0,1,.000,1,0,1,.000,0,0,0,
brunsri01,Rick Brunson,1,0,1,.000,1,0,1,.000,0,0,0,
guytoaj01,A.J. Guyton,1,1,0,1.000,1,1,0,1.000,0,0,0,
ndiayma02,Mamadou N'Diaye,1,0,1,.000,1,0,1,.000,0,0,0,
wheelty01,Tyson Wheeler,1,0,1,.000,1,0,1,.000,0,0,0,
willimo01,Monty Williams,1,0,1,.000,1,0,1,.000,0,0,0,
