id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
jacksre01,Reggie Jackson*,1,0,1,.000,1,0,1,.000,0,0,0,
johnsst04,Stanley Johnson,1,0,1,.000,1,0,1,.000,0,0,0,
pondequ01,Quincy Pondexter,1,0,1,.000,1,0,1,.000,0,0,0,
gasolma01,Marc Gasol,1,0,1,.000,1,0,1,.000,0,0,0,
randoza01,Zach Randolph,1,0,1,.000,1,0,1,.000,0,0,0,
kennalu01,Luke Kennard,1,0,1,.000,1,0,1,.000,0,0,0,
robingl02,Glenn Robinson III,1,0,1,.000,1,0,1,.000,0,0,0,
caldejo01,José Calderón,1,0,1,.000,1,0,1,.000,0,0,0,
adamsjo01,Jordan Adams,1,0,1,.000,1,0,1,.000,0,0,0,
conlemi01,Mike Conley*,1,0,1,.000,1,0,1,.000,0,0,0,
princta01,Tayshaun Prince,1,0,1,.000,1,0,1,.000,0,0,0,
stokeja01,Jarnell Stokes,1,0,1,.000,1,0,1,.000,0,0,0,
bullore01,Reggie Bullock,1,0,1,.000,1,0,1,.000,0,0,0,
cartevi01,Vince Carter,1,0,1,.000,1,0,1,.000,0,0,0,
gallola01,Langston Galloway,1,0,1,.000,1,0,1,.000,0,0,0,
leuerjo01,Jon Leuer,1,0,1,.000,1,0,1,.000,0,0,0,
griffbl01,Blake Griffin,1,0,1,.000,1,0,1,.000,0,0,0,
thomakh01,Khyri Thomas,1,0,1,.000,1,0,1,.000,0,0,0,
brownbr01,Bruce Brown*,1,0,1,.000,1,0,1,.000,0,0,0,
pachuza01,Zaza Pachulia,1,0,1,.000,1,0,1,.000,0,0,0,
