id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
murphca01,Calvin Murphy,335,144,191,.430,327,141,186,.431,8,3,5,.375
newlimi01,Mike Newlin,302,135,167,.447,294,132,162,.449,8,3,5,.375
tomjaru01,Rudy Tomjanovich,289,133,156,.460,281,130,151,.463,8,3,5,.375
kunneke01,Kevin Kunnert,280,125,155,.446,272,122,150,.449,8,3,5,.375
rileyro01,Ron Riley,174,86,88,.494,166,83,83,.500,8,3,5,.375
abdulza01,Zaid Abdul-Aziz,162,66,96,.407,156,64,92,.410,6,2,4,.333
wohlda01,Dave Wohl,150,74,76,.493,146,71,75,.486,4,3,1,.750
meelycl01,Cliff Meely,129,56,73,.434,129,56,73,.434,0,0,0,
lucasjo01,John Lucas,105,40,65,.381,105,40,65,.381,0,0,0,
jonesdw01,Dwight Jones,102,38,64,.373,102,38,64,.373,0,0,0,
johnsjo01,John Johnson,93,46,47,.495,93,46,47,.495,0,0,0,
malonmo01,Moses Malone,82,35,47,.427,82,35,47,.427,0,0,0,
bailegu01,Gus Bailey,78,46,32,.590,70,43,27,.614,8,3,5,.375
meriwjo01,Joe Meriweather*,71,34,37,.479,71,34,37,.479,0,0,0,
whiteru01,Rudy White,70,30,40,.429,70,30,40,.429,0,0,0,
reidro01,Robert Reid,67,19,48,.284,67,19,48,.284,0,0,0,
hawesst01,Steve Hawes,67,37,30,.552,59,34,25,.576,8,3,5,.375
colemec01,E.C. Coleman,57,27,30,.474,57,27,30,.474,0,0,0,
marinja01,Jack Marin,46,17,29,.370,46,17,29,.370,0,0,0,
kupeccj01,C.J. Kupec,44,8,36,.182,44,8,36,.182,0,0,0,
bradlal01,Alonzo Bradley,39,10,29,.256,39,10,29,.256,0,0,0,
guokama02,Matt Guokas,38,10,28,.263,38,10,28,.263,0,0,0,
wellsow01,Owen Wells,36,24,12,.667,32,21,11,.656,4,3,1,.750
johnsge01,George Johnson,27,14,13,.519,27,14,13,.519,0,0,0,
owensto01,Tom Owens*,23,11,12,.478,23,11,12,.478,0,0,0,
moffela01,Larry Moffett,17,4,13,.235,17,4,13,.235,0,0,0,
mooreot01,Otto Moore,13,4,9,.308,13,4,9,.308,0,0,0,
kennego01,Goo Kennedy*,12,7,5,.583,12,7,5,.583,0,0,0,
dunlemi01,Mike Dunleavy,11,1,10,.091,11,1,10,.091,0,0,0,
mckenst01,Stan McKenzie,11,4,7,.364,11,4,7,.364,0,0,0,
jonesro01,Robin Jones,8,3,5,.375,8,3,5,.375,0,0,0,
bondph01,Phil Bond,4,1,3,.250,4,1,3,.250,0,0,0,
mccrapa01,Paul McCracken,4,1,3,.250,4,1,3,.250,0,0,0,
walkeji01,Jimmy Walker,3,0,3,.000,3,0,3,.000,0,0,0,
behagro01,Ron Behagen,2,1,1,.500,2,1,1,.500,0,0,0,
