id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
stumpge01,Gene Stump*,100,35,65,.350,97,34,63,.351,3,1,2,.333
ehlerbu01,Bulbs Ehlers,97,38,59,.392,97,38,59,.392,0,0,0,
garfija01,Jack Garfinkel*,94,40,54,.426,91,39,52,.429,3,1,2,.333
simmoco01,Connie Simmons*,86,34,52,.395,86,34,52,.395,0,0,0,
riebeme01,Mel Riebe,82,31,51,.378,79,30,49,.380,3,1,2,.333
seminji01,Jim Seminoff,62,24,38,.387,62,24,38,.387,0,0,0,
noszkst01,Stan Noszka*,54,15,39,.278,51,14,37,.275,3,1,2,.333
simmojo01,Johnny Simmons,54,21,33,.389,54,21,33,.389,0,0,0,
brighal01,Al Brightman*,51,20,31,.392,51,20,31,.392,0,0,0,
sadowed01,Ed Sadowski,50,20,30,.400,47,19,28,.404,3,1,2,.333
connoch01,Chuck Connors,47,17,30,.362,47,17,30,.362,0,0,0,
graywy01,Wyndol Gray*,46,17,29,.370,46,17,29,.370,0,0,0,
mariasa01,Saul Mariaschin,46,19,27,.413,43,18,25,.419,3,1,2,.333
dollbo01,Bob Doll,45,16,29,.356,45,16,29,.356,0,0,0,
kottmha01,Harold Kottman*,44,16,28,.364,44,16,28,.364,0,0,0,
kellyje01,Jerry Kelly*,42,18,24,.429,42,18,24,.429,0,0,0,
hoefech01,Charlie Hoefer,42,21,21,.500,42,21,21,.500,0,0,0,
nostrge01,George Nostrand,33,14,19,.424,33,14,19,.424,0,0,0,
bachjo01,Johnny Bach,32,9,23,.281,32,9,23,.281,0,0,0,
halbech01,Chick Halbert,31,10,21,.323,31,10,21,.323,0,0,0,
kaftage01,George Kaftan*,27,13,14,.481,27,13,14,.481,0,0,0,
kinnebo01,Bob Kinney*,27,13,14,.481,27,13,14,.481,0,0,0,
oconnde01,Dermie O'Connell*,27,13,14,.481,27,13,14,.481,0,0,0,
kellyto01,Tom Kelly,26,6,20,.231,26,6,20,.231,0,0,0,
munroge01,George Munroe*,25,7,18,.280,22,6,16,.273,3,1,2,.333
hankice01,Cecil Hankins,25,12,13,.480,25,12,13,.480,0,0,0,
fenlewa01,Warren Fenley*,25,9,16,.360,25,9,16,.360,0,0,0,
ezersjo01,Johnny Ezersky,24,12,12,.500,24,12,12,.500,0,0,0,
roberbi01,Bill Roberts*,24,4,20,.167,24,4,20,.167,0,0,0,
hewsoja01,Jack Hewson*,22,11,11,.500,22,11,11,.500,0,0,0,
farbmph01,Phil Farbman*,21,11,10,.524,21,11,10,.524,0,0,0,
wallare01,Red Wallace,19,4,15,.211,19,4,15,.211,0,0,0,
bloommi01,Mike Bloom*,17,7,10,.412,14,6,8,.429,3,1,2,.333
vaughvi01,Virgil Vaughn*,11,2,9,.182,11,2,9,.182,0,0,0,
kappeto01,Tony Kappen*,11,2,9,.182,11,2,9,.182,0,0,0,
hirscme01,Mel Hirsch,9,2,7,.222,9,2,7,.222,0,0,0,
beendha01,Hank Beenders,9,5,4,.556,9,5,4,.556,0,0,0,
murphdi01,Dick Murphy*,7,2,5,.286,7,2,5,.286,0,0,0,
walkebr01,Brady Walker*,6,1,5,.167,6,1,5,.167,0,0,0,
duffybo01,Bob Duffy*,6,1,5,.167,6,1,5,.167,0,0,0,
hazenjo01,John Hazen,6,1,5,.167,6,1,5,.167,0,0,0,
beckemo01,Moe Becker*,6,1,5,.167,6,1,5,.167,0,0,0,
hertzso01,Sonny Hertzberg*,6,1,5,.167,6,1,5,.167,0,0,0,
leedeed01,Ed Leede*,6,1,5,.167,6,1,5,.167,0,0,0,
shannho01,Howie Shannon,6,1,5,.167,6,1,5,.167,0,0,0,
crislha01,Hal Crisler*,5,2,3,.400,5,2,3,.400,0,0,0,
shannea01,Earl Shannon*,4,1,3,.250,4,1,3,.250,0,0,0,
mullajo01,Joe Mullaney*,3,1,2,.333,3,1,2,.333,0,0,0,
janisjo01,John Janisch,3,0,3,.000,3,0,3,.000,0,0,0,
lucasal01,Al Lucas,2,1,1,.500,2,1,1,.500,0,0,0,
gibsoho01,Hoot Gibson*,2,0,2,.000,2,0,2,.000,0,0,0,
eliasdo01,Don Eliason,1,0,1,.000,1,0,1,.000,0,0,0,
