id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
dragigo01,Goran Dragić*,15,5,10,.333,15,5,10,.333,0,0,0,
johnsty01,Tyler Johnson,10,4,6,.400,10,4,6,.400,0,0,0,
beaslmi01,Michael Beasley,9,3,6,.333,9,3,6,.333,0,0,0,
chalmma01,Mario Chalmers,9,3,6,.333,9,3,6,.333,0,0,0,
walkebi01,Henry Walker,9,4,5,.444,9,4,5,.444,0,0,0,
wadedw01,Dwyane Wade,9,3,6,.333,9,3,6,.333,0,0,0,
denglu01,Luol Deng,8,3,5,.375,8,3,5,.375,0,0,0,
hasleud01,Udonis Haslem,8,4,4,.500,8,4,4,.500,0,0,0,
ennisja01,James Ennis III,8,3,5,.375,8,3,5,.375,0,0,0,
anderch01,Chris Andersen,7,3,4,.429,7,3,4,.429,0,0,0,
whiteha01,Hassan Whiteside*,7,3,4,.429,7,3,4,.429,0,0,0,
greenge01,Gerald Green,6,2,4,.333,6,2,4,.333,0,0,0,
bledser01,Eric Bledsoe,6,2,4,.333,6,2,4,.333,0,0,0,
thomais02,Isaiah Thomas*,6,2,4,.333,6,2,4,.333,0,0,0,
tuckepj01,P.J. Tucker,6,2,4,.333,6,2,4,.333,0,0,0,
plumlmi01,Miles Plumlee,6,2,4,.333,6,2,4,.333,0,0,0,
lenal01,Alex Len*,6,2,4,.333,6,2,4,.333,0,0,0,
morrima02,Markieff Morris,6,2,4,.333,6,2,4,.333,0,0,0,
morrima03,Marcus Morris*,6,2,4,.333,6,2,4,.333,0,0,0,
goodwar01,Archie Goodwin,4,1,3,.250,4,1,3,.250,0,0,0,
randosh01,Shavlik Randolph,3,2,1,.667,3,2,1,.667,0,0,0,
warretj01,T.J. Warren,3,1,2,.333,3,1,2,.333,0,0,0,
wrighbr03,Brandan Wright,2,0,2,.000,2,0,2,.000,0,0,0,
bullore01,Reggie Bullock,2,0,2,.000,2,0,2,.000,0,0,0,
napiesh01,Shabazz Napier,2,2,0,1.000,2,2,0,1.000,0,0,0,
ennisty01,Tyler Ennis,1,0,1,.000,1,0,1,.000,0,0,0,
tollian01,Anthony Tolliver*,1,0,1,.000,1,0,1,.000,0,0,0,
