id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
piercpa01,Paul Pierce,424,201,223,.474,396,189,207,.477,28,12,16,.429
walkean02,Antoine Walker,383,179,204,.467,359,167,192,.465,24,12,12,.500
willier01,Eric Williams,278,142,136,.511,254,130,124,.512,24,12,12,.500
battito01,Tony Battie,278,125,153,.450,254,113,141,.445,24,12,12,.500
blounma01,Mark Blount,247,115,132,.466,230,109,121,.474,17,6,11,.353
potapvi01,Vitaly Potapenko,198,92,106,.465,198,92,106,.465,0,0,0,
anderke01,Kenny Anderson,175,79,96,.451,161,71,90,.441,14,8,6,.571
barroda01,Dana Barros,167,69,98,.413,166,69,97,.416,1,0,1,.000
welscji01,Jiří Welsch,124,54,70,.435,120,54,66,.450,4,0,4,.000
banksma01,Marcus Banks,123,54,69,.439,119,54,65,.454,4,0,4,.000
mercero01,Ron Mercer,108,44,64,.407,108,44,64,.407,0,0,0,
delkto01,Tony Delk,108,62,46,.574,86,51,35,.593,22,11,11,.500
davisri01,Ricky Davis,105,46,59,.438,101,46,55,.455,4,0,4,.000
minorgr01,Greg Minor,97,42,55,.433,97,42,55,.433,0,0,0,
brownke01,Kedrick Brown,95,48,47,.505,90,44,46,.489,5,4,1,.800
bakervi01,Vin Baker,89,46,43,.517,89,46,43,.517,0,0,0,
declean01,Andrew DeClercq,86,37,49,.430,86,37,49,.430,0,0,0,
griffad01,Adrian Griffin,83,30,53,.361,83,30,53,.361,0,0,0,
bremejr01,J.R. Bremer,74,36,38,.486,64,32,32,.500,10,4,6,.400
knightr01,Travis Knight,74,31,43,.419,74,31,43,.419,0,0,0,
bowenbr01,Bruce Bowen,74,28,46,.378,74,28,46,.378,0,0,0,
palacmi01,Milt Palacio,65,28,37,.431,65,28,37,.431,0,0,0,
stricer01,Erick Strickland,63,36,27,.571,53,31,22,.585,10,5,5,.500
mihmch01,Chris Mihm,58,21,37,.362,54,21,33,.389,4,0,4,.000
ellispe01,Pervis Ellison,57,25,32,.439,57,25,32,.439,0,0,0,
stithbr01,Bryant Stith,57,24,33,.421,57,24,33,.421,0,0,0,
lafrera01,Raef LaFrentz,57,28,29,.491,57,28,29,.491,0,0,0,
johnsjo02,Joe Johnson,56,33,23,.589,53,31,22,.585,3,2,1,.667
edneyty01,Tyus Edney,52,25,27,.481,52,25,27,.481,0,0,0,
billuch01,Chauncey Billups,51,23,28,.451,51,23,28,.451,0,0,0,
willish01,Shammond Williams,51,30,21,.588,51,30,21,.588,0,0,0,
