id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
biyombi01,Bismack Biyombo*,259,86,173,.332,256,86,170,.336,3,0,3,.000
walkeke02,Kemba Walker*,255,76,179,.298,251,76,175,.303,4,0,4,.000
kiddgmi01,Michael Kidd-Gilchrist,178,72,106,.404,174,72,102,.414,4,0,4,.000
augusdj01,D.J. Augustin,154,61,93,.396,154,61,93,.396,0,0,0,
zelleco01,Cody Zeller*,141,66,75,.468,137,66,71,.482,4,0,4,.000
diawbo01,Boris Diaw,137,60,77,.438,137,60,77,.438,0,0,0,
jeffeal01,Al Jefferson,134,59,75,.440,131,59,72,.450,3,0,3,.000
tayloje03,Jeff Taylor,118,35,83,.297,118,35,83,.297,0,0,0,
brownde04,Derrick Brown,118,42,76,.356,118,42,76,.356,0,0,0,
thomaty01,Tyrus Thomas,107,34,73,.318,107,34,73,.318,0,0,0,
mcrobjo01,Josh McRoberts,103,44,59,.427,99,44,55,.444,4,0,4,.000
sessira01,Ramon Sessions,102,32,70,.314,102,32,70,.314,0,0,0,
roberbr01,Brian Roberts,100,43,57,.430,90,39,51,.433,10,4,6,.400
vonleno01,Noah Vonleh,99,47,52,.475,93,44,49,.473,6,3,3,.500
mulleby01,Byron Mullens,94,13,81,.138,94,13,81,.138,0,0,0,
jacksst02,Stephen Jackson,90,49,41,.544,90,49,41,.544,0,0,0,
carroma01,Matt Carroll,88,25,63,.284,88,25,63,.284,0,0,0,
aminual01,Al-Farouq Aminu,83,44,39,.530,72,39,33,.542,11,5,6,.455
plumlma01,Mason Plumlee*,83,44,39,.530,72,39,33,.542,11,5,6,.455
gordobe01,Ben Gordon,83,23,60,.277,83,23,60,.277,0,0,0,
crabbal01,Allen Crabbe,82,43,39,.524,71,38,33,.535,11,5,6,.455
davised01,Ed Davis,82,43,39,.524,71,38,33,.535,11,5,6,.455
mccolcj01,CJ McCollum*,81,44,37,.543,70,39,31,.557,11,5,6,.455
