id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
harprma01,Matt Harpring,37,15,22,.405,37,15,22,.405,0,0,0,
collija03,Jarron Collins,31,14,17,.452,31,14,17,.452,0,0,0,
bellra01,Raja Bell,25,10,15,.400,25,10,15,.400,0,0,0,
kirilan01,Andrei Kirilenko,24,10,14,.417,24,10,14,.417,0,0,0,
eisleho01,Howard Eisley,21,6,15,.286,21,6,15,.286,0,0,0,
humphkr01,Kris Humphries,21,6,15,.286,21,6,15,.286,0,0,0,
okurme01,Mehmet Okur,21,6,15,.286,21,6,15,.286,0,0,0,
borchcu01,Curtis Borchardt,20,6,14,.300,20,6,14,.300,0,0,0,
mcleoke01,Keith McLeod,20,6,14,.300,20,6,14,.300,0,0,0,
giricgo01,Gordan Giriček,20,6,14,.300,20,6,14,.300,0,0,0,
snydeki01,Kirk Snyder,18,6,12,.333,18,6,12,.333,0,0,0,
stevede01,DeShawn Stevenson,17,9,8,.529,17,9,8,.529,0,0,0,
lopezra01,Raül López,17,9,8,.529,17,9,8,.529,0,0,0,
livinra01,Randy Livingston,16,4,12,.250,16,4,12,.250,0,0,0,
pavloal01,Sasha Pavlović,16,8,8,.500,16,8,8,.500,0,0,0,
ostergr01,Greg Ostertag,14,6,8,.429,14,6,8,.429,0,0,0,
willima01,Mo Williams,10,4,6,.400,10,4,6,.400,0,0,0,
arroyca01,Carlos Arroyo,10,5,5,.500,10,5,5,.500,0,0,0,
clarkke01,Keon Clark,1,1,0,1.000,1,1,0,1.000,0,0,0,
