id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
banksge01,Gene Banks,8,6,2,.750,8,6,2,.750,0,0,0,
roberfr01,Fred Roberts,8,6,2,.750,8,6,2,.750,0,0,0,
brewero01,Ron Brewer,8,6,2,.750,8,6,2,.750,0,0,0,
jonesed01,Edgar Jones,8,6,2,.750,8,6,2,.750,0,0,0,
moorejo01,Johnny Moore,8,6,2,.750,8,6,2,.750,0,0,0,
mcnamma01,Mark McNamara,8,6,2,.750,8,6,2,.750,0,0,0,
gervige01,George Gervin,8,6,2,.750,8,6,2,.750,0,0,0,
lucasjo01,John Lucas,8,6,2,.750,8,6,2,.750,0,0,0,
mitchmi01,Mike Mitchell,7,5,2,.714,7,5,2,.714,0,0,0,
paxsojo01,John Paxson,6,4,2,.667,6,4,2,.667,0,0,0,
gilmoar01,Artis Gilmore*,2,2,0,1.000,2,2,0,1.000,0,0,0,
