id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
hardati01,Tim Hardaway,248,157,91,.633,222,146,76,.658,26,11,15,.423
brownpj01,P.J. Brown,233,149,84,.639,209,140,69,.670,24,9,15,.375
mournal01,Alonzo Mourning,231,147,84,.636,206,136,70,.660,25,11,14,.440
stricma01,Mark Strickland,176,109,67,.619,167,105,62,.629,9,4,5,.444
majerda01,Dan Majerle,173,112,61,.647,150,102,48,.680,23,10,13,.435
bowenry01,Ryan Bowen,171,72,99,.421,167,71,96,.425,4,1,3,.250
askinke01,Keith Askins,166,108,58,.651,147,100,47,.680,19,8,11,.421
mashbja01,Jamal Mashburn,165,100,65,.606,139,89,50,.640,26,11,15,.423
poseyja01,James Posey,142,58,84,.408,142,58,84,.408,0,0,0,
austiis01,Isaac Austin,139,93,46,.669,124,86,38,.694,15,7,8,.467
mccloge01,George McCloud,136,54,82,.397,136,54,82,.397,0,0,0,
lafrera01,Raef LaFrentz,119,49,70,.412,119,49,70,.412,0,0,0,
vanexni01,Nick Van Exel,106,43,63,.406,106,43,63,.406,0,0,0,
millean02,Andre Miller,93,43,50,.462,88,42,46,.477,5,1,4,.200
boykiea01,Earl Boykins,92,43,49,.467,87,42,45,.483,5,1,4,.200
anthoca01,Carmelo Anthony*,91,43,48,.473,87,42,45,.483,4,1,3,.250
anderch01,Chris Andersen,88,44,44,.500,83,43,40,.518,5,1,4,.200
murdoer01,Eric Murdock,86,56,30,.651,81,54,27,.667,5,2,3,.400
cambyma01,Marcus Camby,80,35,45,.438,75,34,41,.453,5,1,4,.200
mcdyean01,Antonio McDyess,78,37,41,.474,78,37,41,.474,0,0,0,
hilarne01,Nenê,77,37,40,.481,72,36,36,.500,5,1,4,.200
elsonfr01,Francisco Elson,75,37,38,.493,71,36,35,.507,4,1,3,.250
cheanca01,Calbert Cheaney,72,24,48,.333,72,24,48,.333,0,0,0,
packro01,Robert Pack,72,38,34,.528,72,38,34,.528,0,0,0,
whitero02,Rodney White,69,34,35,.493,65,33,32,.508,4,1,3,.250
weathcl01,Clarence Weatherspoon,66,41,25,.621,62,40,22,.645,4,1,3,.250
causwdu01,Duane Causwell,65,49,16,.754,60,48,12,.800,5,1,4,.200
petermo01,Morris Peterson,63,21,42,.333,63,21,42,.333,0,0,0,
crottjo01,John Crotty,63,43,20,.683,48,35,13,.729,15,8,7,.533
willial02,Alvin Williams,62,21,41,.339,62,21,41,.339,0,0,0,
waltere01,Rex Walters,58,38,20,.655,55,37,18,.673,3,1,2,.333
bradlmi01,Michael Bradley,56,19,37,.339,56,19,37,.339,0,0,0,
willije01,Jerome Williams,55,19,36,.345,55,19,36,.345,0,0,0,
barryjo01,Jon Barry,55,28,27,.509,50,27,23,.540,5,1,4,.200
willike02,Kevin Willis,53,22,31,.415,53,22,31,.415,0,0,0,
hamilze01,Zendon Hamilton,52,18,34,.346,52,18,34,.346,0,0,0,
millste01,Terry Mills,52,31,21,.596,50,30,20,.600,2,1,1,.500
cartean01,Anthony Carter,50,32,18,.640,50,32,18,.640,0,0,0,
