id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
bowiean01,Anthony Bowie,85,63,22,.741,77,59,18,.766,8,4,4,.500
hardaan01,Anfernee Hardaway,74,58,16,.784,66,54,12,.818,8,4,4,.500
royaldo01,Donald Royal,74,56,18,.757,66,52,14,.788,8,4,4,.500
onealsh01,Shaquille O'Neal,72,56,16,.778,64,52,12,.812,8,4,4,.500
mcdyean01,Antonio McDyess,71,22,49,.310,71,22,49,.310,0,0,0,
anderni01,Nick Anderson,70,54,16,.771,63,50,13,.794,7,4,3,.571
scottde01,Dennis Scott,70,51,19,.729,62,47,15,.758,8,4,4,.500
grantho01,Horace Grant,70,56,14,.800,64,52,12,.812,6,4,2,.667
shawbr01,Brian Shaw,66,52,14,.788,60,48,12,.800,6,4,2,.667
hammoto01,Tom Hammonds,65,16,49,.246,65,16,49,.246,0,0,0,
johnser02,Ervin Johnson,65,16,49,.246,65,16,49,.246,0,0,0,
ellisda01,Dale Ellis,65,16,49,.246,65,16,49,.246,0,0,0,
ellisla01,LaPhonso Ellis,46,11,35,.239,46,11,35,.239,0,0,0,
aventan01,Anthony Avent,40,32,8,.800,37,30,7,.811,3,2,1,.667
stithbr01,Bryant Stith,38,9,29,.237,38,9,29,.237,0,0,0,
jacksma01,Mark Jackson,37,12,25,.324,37,12,25,.324,0,0,0,
turneje01,Jeff Turner,34,26,8,.765,31,24,7,.774,3,2,1,.667
koncajo01,Jon Koncak,33,24,9,.727,28,22,6,.786,5,2,3,.400
smithke01,Kenny Smith,28,6,22,.214,28,6,22,.214,0,0,0,
wolfjo01,Joe Wolf,28,19,9,.679,23,17,6,.739,5,2,3,.400
hamda01,Darvin Ham,25,9,16,.360,25,9,16,.360,0,0,0,
goldwan01,Anthony Goldwire,25,4,21,.160,25,4,21,.160,0,0,0,
allenje01,Jerome Allen,23,3,20,.130,23,3,20,.130,0,0,0,
rollitr01,Tree Rollins,22,18,4,.818,20,17,3,.850,2,1,1,.500
piercri01,Ricky Pierce,21,8,13,.381,21,8,13,.381,0,0,0,
wardch01,Charlie Ward,17,9,8,.529,17,9,8,.529,0,0,0,
johnsla02,Larry Johnson,17,9,8,.529,17,9,8,.529,0,0,0,
oaklech01,Charles Oakley,17,9,8,.529,17,9,8,.529,0,0,0,
houstal01,Allan Houston,17,9,8,.529,17,9,8,.529,0,0,0,
millsch01,Chris Mills,17,9,8,.529,17,9,8,.529,0,0,0,
starkjo01,John Starks,17,9,8,.529,17,9,8,.529,0,0,0,
zidekge01,George Zídek,15,2,13,.133,15,2,13,.133,0,0,0,
cummite01,Terry Cummings,14,7,7,.500,14,7,7,.500,0,0,0,
vaughda02,David Vaughn,14,10,4,.714,14,10,4,.714,0,0,0,
nashst01,Steve Nash,13,8,5,.615,13,8,5,.615,0,0,0,
kiddja01,Jason Kidd,13,8,5,.615,13,8,5,.615,0,0,0,
cebalce01,Cedric Ceballos,13,8,5,.615,13,8,5,.615,0,0,0,
robincl02,Clifford Robinson,12,7,5,.583,12,7,5,.583,0,0,0,
mccloge01,George McCloud,12,7,5,.583,12,7,5,.583,0,0,0,
milicma01,Marko Milič,11,7,4,.636,11,7,4,.636,0,0,0,
bryanma01,Mark Bryant,11,6,5,.545,11,6,5,.545,0,0,0,
williho01,Hot Rod Williams,11,6,5,.545,11,6,5,.545,0,0,0,
mannida01,Danny Manning,10,6,4,.600,10,6,4,.600,0,0,0,
chapmre01,Rex Chapman,10,7,3,.700,10,7,3,.700,0,0,0,
thompla01,LaSalle Thompson,10,3,7,.300,10,3,7,.300,0,0,0,
mcinnje01,Jeff McInnis,9,1,8,.111,9,1,8,.111,0,0,0,
childch01,Chris Childs,8,5,3,.625,8,5,3,.625,0,0,0,
bonnean01,Anthony Bonner,7,5,2,.714,3,3,0,1.000,4,2,2,.500
davisbe01,Ben Davis,6,1,5,.167,6,1,5,.167,0,0,0,
marcisa01,Šarūnas Marčiulionis,6,1,5,.167,6,1,5,.167,0,0,0,
willihe01,Herb Williams,6,3,3,.500,6,3,3,.500,0,0,0,
bookeme01,Melvin Booker,5,3,2,.600,5,3,2,.600,0,0,0,
armstda01,Darrell Armstrong,5,4,1,.800,5,4,1,.800,0,0,0,
dudlech02,Chris Dudley,5,3,2,.600,5,3,2,.600,0,0,0,
benneel01,Elmer Bennett,4,2,2,.500,4,2,2,.500,0,0,0,
towerke01,Keith Tower,3,3,0,1.000,3,3,0,1.000,0,0,0,
hammige01,Geert Hammink,3,2,1,.667,3,2,1,.667,0,0,0,
murdoer01,Eric Murdock,2,0,2,.000,2,0,2,.000,0,0,0,
carran01,Antoine Carr,2,2,0,1.000,2,2,0,1.000,0,0,0,
