id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
leeda02,David Lee,114,42,72,.368,114,42,72,.368,0,0,0,
crawfja01,Jamal Crawford,113,43,70,.381,113,43,70,.381,0,0,0,
curryed01,Eddy Curry,111,42,69,.378,111,42,69,.378,0,0,0,
jeffrja01,Jared Jeffries,108,41,67,.380,108,41,67,.380,0,0,0,
robinna01,Nate Robinson,108,37,71,.343,108,37,71,.343,0,0,0,
richaqu01,Quentin Richardson,91,35,56,.385,91,35,56,.385,0,0,0,
rosema01,Malik Rose,90,31,59,.344,90,31,59,.344,0,0,0,
collima01,Mardy Collins,85,30,55,.353,85,30,55,.353,0,0,0,
anthoca01,Carmelo Anthony*,84,58,26,.690,76,52,24,.684,8,6,2,.750
marbust01,Stephon Marbury,82,32,50,.390,82,32,50,.390,0,0,0,
billuch01,Chauncey Billups,78,56,22,.718,70,50,20,.714,8,6,2,.750
hilarne01,Nenê,75,53,22,.707,67,47,20,.701,8,6,2,.750
smithjr01,J.R. Smith,74,53,21,.716,66,47,19,.712,8,6,2,.750
cartean01,Anthony Carter,70,51,19,.729,62,45,17,.726,8,6,2,.750
anderch01,Chris Andersen,64,45,19,.703,57,39,18,.684,7,6,1,.857
kleizli01,Linas Kleiza,59,42,17,.712,53,38,15,.717,6,4,2,.667
fryech01,Channing Frye,59,24,35,.407,59,24,35,.407,0,0,0,
jonesda02,Dahntay Jones,59,42,17,.712,51,36,15,.706,8,6,2,.750
martike01,Kenyon Martin,57,41,16,.719,49,35,14,.714,8,6,2,.750
randoza01,Zach Randolph,56,21,35,.375,56,21,35,.375,0,0,0,
jonesfr01,Fred Jones,56,17,39,.304,56,17,39,.304,0,0,0,
petrojo01,Johan Petro,36,26,10,.722,29,20,9,.690,7,6,1,.857
francst01,Steve Francis,35,12,23,.343,35,12,23,.343,0,0,0,
jamesje01,Jerome James,33,14,19,.424,33,14,19,.424,0,0,0,
chandwi01,Wilson Chandler,31,8,23,.258,31,8,23,.258,0,0,0,
afflaar01,Arron Afflalo,18,12,6,.667,18,12,6,.667,0,0,0,
fieldla01,Landry Fields,17,9,8,.529,17,9,8,.529,0,0,0,
morrira01,Randolph Morris,17,5,12,.294,17,5,12,.294,0,0,0,
lawsoty01,Ty Lawson,17,11,6,.647,17,11,6,.647,0,0,0,
douglto01,Toney Douglas,17,9,8,.529,17,9,8,.529,0,0,0,
catoke01,Kelvin Cato,16,8,8,.500,16,8,8,.500,0,0,0,
stoudam01,Amar'e Stoudemire,16,8,8,.500,16,8,8,.500,0,0,0,
hartja01,Jason Hart,16,12,4,.750,9,6,3,.667,7,6,1,.857
walkebi01,Henry Walker,16,8,8,.500,16,8,8,.500,0,0,0,
chandty01,Tyson Chandler,14,7,7,.500,14,7,7,.500,0,0,0,
atkinch01,Chucky Atkins,11,8,3,.727,11,8,3,.727,0,0,0,
shumpim01,Iman Shumpert,11,6,5,.545,11,6,5,.545,0,0,0,
linje01,Jeremy Lin,10,6,4,.600,10,6,4,.600,0,0,0,
novakst01,Steve Novak,10,5,5,.500,10,5,5,.500,0,0,0,
allenma01,Malik Allen,10,7,3,.700,10,7,3,.700,0,0,0,
bibbymi01,Mike Bibby,9,4,5,.444,9,4,5,.444,0,0,0,
jordaje01,Jerome Jordan,9,5,4,.556,9,5,4,.556,0,0,0,
grahajo01,Joey Graham,9,6,3,.667,9,6,3,.667,0,0,0,
weemsso01,Sonny Weems,9,7,2,.778,9,7,2,.778,0,0,0,
harrejo01,Josh Harrellson,8,3,5,.375,8,3,5,.375,0,0,0,
willish02,Shelden Williams,6,5,1,.833,6,5,1,.833,0,0,0,
sambch01,Cheikh Samb,6,6,0,1.000,6,6,0,1.000,0,0,0,
forbega01,Gary Forbes,5,4,1,.800,5,4,1,.800,0,0,0,
elyme01,Melvin Ely,5,4,1,.800,5,4,1,.800,0,0,0,
willish03,Shawne Williams,3,2,1,.667,3,2,1,.667,0,0,0,
harrial01,Al Harrington,3,2,1,.667,3,2,1,.667,0,0,0,
turiaro01,Ronny Turiaf,2,1,1,.500,2,1,1,.500,0,0,0,
iversal01,Allen Iverson,1,0,1,.000,1,0,1,.000,0,0,0,
howarju01,Juwan Howard,1,0,1,.000,1,0,1,.000,0,0,0,
masonro01,Roger Mason,1,1,0,1.000,1,1,0,1.000,0,0,0,
rautian01,Andy Rautins,1,1,0,1.000,1,1,0,1.000,0,0,0,
brownde04,Derrick Brown,1,1,0,1.000,1,1,0,1.000,0,0,0,
