id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
brandel01,Elton Brand,129,70,59,.543,123,66,57,.537,6,4,2,.667
moblecu01,Cuttino Mobley,126,69,57,.548,120,65,55,.542,6,4,2,.667
kamanch01,Chris Kaman,121,68,53,.562,116,65,51,.560,5,3,2,.600
rossqu01,Quinton Ross,118,65,53,.551,112,61,51,.545,6,4,2,.667
cassesa01,Sam Cassell,105,62,43,.590,99,58,41,.586,6,4,2,.667
singlja01,James Singleton,99,56,43,.566,94,52,42,.553,5,4,1,.800
livinsh01,Shaun Livingston,90,47,43,.522,84,43,41,.512,6,4,2,.667
maggeco01,Corey Maggette,81,46,35,.568,75,42,33,.560,6,4,2,.667
thomati01,Tim Thomas,57,28,29,.491,57,28,29,.491,0,0,0,
wilcoch01,Chris Wilcox,43,27,16,.628,43,27,16,.628,0,0,0,
mccarwa01,Walter McCarty,36,17,19,.472,31,14,17,.452,5,3,2,.600
korolya01,Yaroslav Korolev,34,18,16,.529,34,18,16,.529,0,0,0,
williaa01,Aaron Williams,31,12,19,.387,31,12,19,.387,0,0,0,
davispa01,Paul Davis,26,13,13,.500,26,13,13,.500,0,0,0,
radmavl01,Vladimir Radmanović,25,15,10,.600,19,11,8,.579,6,4,2,.667
rebraze01,Željko Rebrača,24,17,7,.708,24,17,7,.708,0,0,0,
hartja01,Jason Hart,20,10,10,.500,20,10,10,.500,0,0,0,
ndongbo01,Boniface N'Dong,19,12,7,.632,19,12,7,.632,0,0,0,
eisleho01,Howard Eisley,10,5,5,.500,10,5,5,.500,0,0,0,
bakervi01,Vin Baker,7,5,2,.714,7,5,2,.714,0,0,0,
conrowi01,Will Conroy,4,1,3,.250,4,1,3,.250,0,0,0,
jackslu02,Luke Jackson,3,1,2,.333,3,1,2,.333,0,0,0,
goldwan01,Anthony Goldwire,3,3,0,1.000,3,3,0,1.000,0,0,0,
willial02,Alvin Williams,2,2,0,1.000,2,2,0,1.000,0,0,0,
chrisdo01,Doug Christie,2,0,2,.000,2,0,2,.000,0,0,0,
wafervo01,Von Wafer,1,1,0,1.000,1,1,0,1.000,0,0,0,
