id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
jordoph01,Phil Jordon*,7,1,6,.143,7,1,6,.143,0,0,0,
palmeji01,Jim Palmer*,7,1,6,.143,7,1,6,.143,0,0,0,
piontda01,Dave Piontek*,7,1,6,.143,7,1,6,.143,0,0,0,
twymaja01,Jack Twyman,7,1,6,.143,7,1,6,.143,0,0,0,
embrywa01,Wayne Embry,7,1,6,.143,7,1,6,.143,0,0,0,
bockhbu01,Bucky Bockhorn,7,1,6,.143,7,1,6,.143,0,0,0,
parkme01,Med Park*,7,1,6,.143,7,1,6,.143,0,0,0,
wilfowi01,Win Wilfong*,7,1,6,.143,7,1,6,.143,0,0,0,
rolliph01,Phil Rollins,6,0,6,.000,6,0,6,.000,0,0,0,
reedhu01,Hub Reed*,5,0,5,.000,5,0,5,.000,0,0,0,
