id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
bealbr01,Bradley Beal*,92,35,57,.380,87,33,54,.379,5,2,3,.400
smithis01,Ish Smith*,90,34,56,.378,85,32,53,.376,5,2,3,.400
bertada01,Dāvis Bertāns*,80,32,48,.400,76,30,46,.395,4,2,2,.500
browntr01,Troy Brown Jr.*,78,24,54,.308,78,24,54,.308,0,0,0,
hachiru01,Rui Hachimura*,77,28,49,.364,72,26,46,.361,5,2,3,.400
wagnemo01,Moritz Wagner,76,24,52,.316,76,24,52,.316,0,0,0,
mathega01,Garrison Mathews*,58,24,34,.414,54,23,31,.426,4,1,3,.250
bryanth01,Thomas Bryant,47,13,34,.277,47,13,34,.277,0,0,0,
lopezro01,Robin Lopez*,45,18,27,.400,40,16,24,.400,5,2,3,.400
netora01,Raul Neto*,41,17,24,.415,36,15,21,.417,5,2,3,.400
westbru01,Russell Westbrook*,40,16,24,.400,35,14,21,.400,5,2,3,.400
mahinia01,Ian Mahinmi,38,15,23,.395,38,15,23,.395,0,0,0,
lenal01,Alex Len*,35,15,20,.429,30,13,17,.433,5,2,3,.400
thomais02,Isaiah Thomas*,35,12,23,.343,35,12,23,.343,0,0,0,
schofad01,Admiral Schofield,32,8,24,.250,32,8,24,.250,0,0,0,
robinje01,Jerome Robinson,32,9,23,.281,32,9,23,.281,0,0,0,
avdijde01,Deni Avdija,32,13,19,.406,32,13,19,.406,0,0,0,
willijo04,Johnathan Williams,29,12,17,.414,29,12,17,.414,0,0,0,
paytoga02,Gary Payton II,28,12,16,.429,28,12,16,.429,0,0,0,
pasecan01,Anžejs Pasečņiks,27,9,18,.333,27,9,18,.333,0,0,0,
mcraejo01,Jordan McRae,25,8,17,.320,25,8,17,.320,0,0,0,
gillan01,Anthony Gill*,22,9,13,.409,17,7,10,.412,5,2,3,.400
mykhasv01,Svi Mykhailiuk,22,10,12,.455,22,10,12,.455,0,0,0,
caldwke01,Kentavious Caldwell-Pope*,22,7,15,.318,22,7,15,.318,0,0,0,
mcgeeja01,JaVale McGee,21,7,14,.333,21,7,14,.333,0,0,0,
napiesh01,Shabazz Napier,19,6,13,.316,19,6,13,.316,0,0,0,
