id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
richacl01,Clint Richardson,66,19,47,.288,66,19,47,.288,0,0,0,
tisdawa01,Wayman Tisdale,65,19,46,.292,65,19,46,.292,0,0,0,
stipast01,Steve Stipanovich,64,19,45,.297,64,19,45,.297,0,0,0,
flemive01,Vern Fleming,64,17,47,.266,64,17,47,.266,0,0,0,
garnebi02,Bill Garnett,64,18,46,.281,64,18,46,.281,0,0,0,
willihe01,Herb Williams,63,19,44,.302,63,19,44,.302,0,0,0,
stanste01,Terence Stansbury,58,17,41,.293,58,17,41,.293,0,0,0,
grayst01,Stuart Gray,55,17,38,.309,55,17,38,.309,0,0,0,
anderro01,Ron Anderson,45,14,31,.311,45,14,31,.311,0,0,0,
mccladw01,Dwayne McClain,40,13,27,.325,40,13,27,.325,0,0,0,
warribr01,Bryan Warrick,27,8,19,.296,27,8,19,.296,0,0,0,
bucknqu01,Quinn Buckner,25,8,17,.320,25,8,17,.320,0,0,0,
kellocl01,Clark Kellogg,14,3,11,.214,14,3,11,.214,0,0,0,
thompbe01,Bernard Thompson,10,2,8,.200,10,2,8,.200,0,0,0,
adamsal01,Alvan Adams,10,2,8,.200,10,2,8,.200,0,0,0,
baileja01,James Bailey,10,2,8,.200,10,2,8,.200,0,0,0,
sandemi01,Mike Sanders,10,2,8,.200,10,2,8,.200,0,0,0,
edwarja01,James Edwards,10,2,8,.200,10,2,8,.200,0,0,0,
cookje01,Jeff Cook,10,2,8,.200,10,2,8,.200,0,0,0,
hornaje01,Jeff Hornacek,10,2,8,.200,10,2,8,.200,0,0,0,
humphja01,Jay Humphries,9,2,7,.222,9,2,7,.222,0,0,0,
wrighbr01,Brad Wright,8,2,6,.250,8,2,6,.250,0,0,0,
wilkied01,Eddie Lee Wilkins,8,2,6,.250,8,2,6,.250,0,0,0,
hendege01,Gerald Henderson,8,2,6,.250,8,2,6,.250,0,0,0,
mcneach01,Chris McNealy,8,2,6,.250,8,2,6,.250,0,0,0,
sparrro01,Rory Sparrow,8,2,6,.250,8,2,6,.250,0,0,0,
walkeke01,Kenny Walker,8,2,6,.250,8,2,6,.250,0,0,0,
daviswa03,Walter Davis,7,2,5,.286,7,2,5,.286,0,0,0,
wilkige01,Gerald Wilkins,7,2,5,.286,7,2,5,.286,0,0,0,
tucketr01,Trent Tucker,7,1,6,.143,7,1,6,.143,0,0,0,
critewi01,Winston Crite,6,1,5,.167,6,1,5,.167,0,0,0,
johnsed03,Eddie Johnson,6,0,6,.000,6,0,6,.000,0,0,0,
cartwbi01,Bill Cartwright,6,1,5,.167,6,1,5,.167,0,0,0,
orrlo01,Louis Orr,4,1,3,.250,4,1,3,.250,0,0,0,
kingbe01,Bernard King,3,0,3,.000,3,0,3,.000,0,0,0,
nancela01,Larry Nance,3,0,3,.000,3,0,3,.000,0,0,0,
