id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
linje01,Jeremy Lin,152,88,64,.579,142,86,56,.606,10,2,8,.200
hardeja01,James Harden,151,89,62,.589,139,85,54,.612,12,4,8,.333
asikom01,Ömer Aşık,133,76,57,.571,121,72,49,.595,12,4,8,.333
nowitdi01,Dirk Nowitzki,120,64,56,.533,119,64,55,.538,1,0,1,.000
smithgr02,Greg Smith,119,74,45,.622,114,72,42,.632,5,2,3,.400
bareajo01,J.J. Barea,119,67,52,.563,118,67,51,.568,1,0,1,.000
harride01,Devin Harris,109,60,49,.550,108,60,48,.556,1,0,1,.000
pattepa01,Patrick Patterson,108,55,53,.509,108,55,53,.509,0,0,0,
beverpa01,Patrick Beverley*,99,61,38,.616,87,57,30,.655,12,4,8,.333
villach01,Charlie Villanueva,95,48,47,.505,94,48,46,.511,1,0,1,.000
motiedo01,Donatas Motiejūnas,95,63,32,.663,94,63,31,.670,1,0,1,.000
joneste01,Terrence Jones,90,56,34,.622,82,54,28,.659,8,2,6,.250
feltora01,Raymond Felton,80,38,42,.475,80,38,42,.475,0,0,0,
poweldw01,Dwight Powell,71,34,37,.479,71,34,37,.479,0,0,0,
garcifr01,Francisco García,71,41,30,.577,63,39,24,.619,8,2,6,.250
delfica01,Carlos Delfino,70,39,31,.557,65,37,28,.569,5,2,3,.400
gasolma01,Marc Gasol,70,32,38,.457,70,32,38,.457,0,0,0,
howardw01,Dwight Howard,69,46,23,.667,63,44,19,.698,6,2,4,.333
morrima03,Marcus Morris*,67,36,31,.537,67,36,31,.537,0,0,0,
ellismo01,Monta Ellis,66,41,25,.621,65,41,24,.631,1,0,1,.000
casspom01,Omri Casspi,65,44,21,.677,65,44,21,.677,0,0,0,
chandty01,Tyson Chandler,64,39,25,.609,63,39,24,.619,1,0,1,.000
scolalu01,Luis Scola,63,33,30,.524,63,33,30,.524,0,0,0,
dragigo01,Goran Dragić*,63,33,30,.524,63,33,30,.524,0,0,0,
dalemsa01,Samuel Dalembert,62,33,29,.532,62,33,29,.532,0,0,0,
douglto01,Toney Douglas,61,34,27,.557,61,34,27,.557,0,0,0,
greenja01,JaMychal Green,60,23,37,.383,60,23,37,.383,0,0,0,
matthwe02,Wesley Matthews*,60,28,32,.467,60,28,32,.467,0,0,0,
conlemi01,Mike Conley*,60,33,27,.550,60,33,27,.550,0,0,0,
aminual01,Al-Farouq Aminu,59,36,23,.610,58,36,22,.621,1,0,1,.000
jefferi01,Richard Jefferson,59,37,22,.627,58,37,21,.638,1,0,1,.000
pachuza01,Zaza Pachulia,57,27,30,.474,57,27,30,.474,0,0,0,
ennisja01,James Ennis III,56,26,30,.464,56,26,30,.464,0,0,0,
leeco01,Courtney Lee,55,29,26,.527,55,29,26,.527,0,0,0,
budinch01,Chase Budinger,55,30,25,.545,55,30,25,.545,0,0,0,
willide01,Deron Williams,54,24,30,.444,54,24,30,.444,0,0,0,
harrian01,Andrew Harrison,52,24,28,.462,52,24,28,.462,0,0,0,
wrighbr03,Brandan Wright,51,33,18,.647,51,33,18,.647,0,0,0,
brookaa01,Aaron Brooks,49,35,14,.714,43,33,10,.767,6,2,4,.333
martija01,Jarell Martin,47,21,26,.447,47,21,26,.447,0,0,0,
lowryky01,Kyle Lowry*,46,24,22,.522,46,24,22,.522,0,0,0,
brookdi01,Dillon Brooks*,39,14,25,.359,39,14,25,.359,0,0,0,
martike02,Kevin Martin,39,20,19,.513,39,20,19,.513,0,0,0,
cartevi01,Vince Carter,37,17,20,.459,37,17,20,.459,0,0,0,
anderju01,Justin Anderson,34,15,19,.441,34,15,19,.441,0,0,0,
rondora01,Rajon Rondo*,34,18,16,.529,33,18,15,.545,1,0,1,.000
davisde01,Deyonta Davis,33,11,22,.333,33,11,22,.333,0,0,0,
randoza01,Zach Randolph,33,17,16,.515,33,17,16,.515,0,0,0,
danietr01,Troy Daniels,32,18,14,.562,28,16,12,.571,4,2,2,.500
hilljo01,Jordan Hill,31,18,13,.581,31,18,13,.581,0,0,0,
aldrico01,Cole Aldrich,30,14,16,.467,30,14,16,.467,0,0,0,
chalmma01,Mario Chalmers,30,11,19,.367,30,11,19,.367,0,0,0,
mcgeeja01,JaVale McGee,30,15,15,.500,30,15,15,.500,0,0,0,
allento01,Tony Allen,29,14,15,.483,29,14,15,.483,0,0,0,
anderja01,James Anderson,27,15,12,.556,25,15,10,.600,2,0,2,.000
evansty01,Tyreke Evans,27,10,17,.370,27,10,17,.370,0,0,0,
rabbiv01,Ivan Rabb,26,9,17,.346,26,9,17,.346,0,0,0,
evansje01,Jeremy Evans,24,12,12,.500,24,12,12,.500,0,0,0,
crowdja01,Jae Crowder,24,18,6,.750,24,18,6,.750,0,0,0,
mclembe01,Ben McLemore,23,2,21,.087,23,2,21,.087,0,0,0,
holidju01,Justin Holiday*,22,9,13,.409,22,9,13,.409,0,0,0,
wrighde01,Delon Wright*,22,9,13,.409,22,9,13,.409,0,0,0,
cabocbr01,Bruno Caboclo,22,9,13,.409,22,9,13,.409,0,0,0,
nelsoja01,Jameer Nelson,22,15,7,.682,22,15,7,.682,0,0,0,
canaais01,Isaiah Canaan,20,13,7,.650,20,13,7,.650,0,0,0,
mejrisa01,Salah Mejri,19,8,11,.421,19,8,11,.421,0,0,0,
brewero02,Ronnie Brewer,19,14,5,.737,19,14,5,.737,0,0,0,
cambyma01,Marcus Camby,19,9,10,.474,19,9,10,.474,0,0,0,
dorsety01,Tyler Dorsey,19,7,12,.368,19,7,12,.368,0,0,0,
hamiljo02,Jordan Hamilton,18,11,7,.611,18,11,7,.611,0,0,0,
valanjo01,Jonas Valančiūnas*,17,8,9,.471,17,8,9,.471,0,0,0,
robinth01,Thomas Robinson,16,10,6,.625,16,10,6,.625,0,0,0,
