id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
kerrre01,Red Kerr*,209,108,101,.517,196,103,93,.526,13,5,8,.385
neumapa01,Paul Neumann,199,103,96,.518,187,99,88,.529,12,4,8,.333
greerha01,Hal Greer,196,101,95,.515,187,97,90,.519,9,4,5,.444
biancal01,Al Bianchi,189,99,90,.524,176,94,82,.534,13,5,8,.385
gambeda01,Dave Gambee*,181,95,86,.525,168,90,78,.536,13,5,8,.385
costela01,Larry Costello,176,91,85,.517,163,86,77,.528,13,5,8,.385
schaydo01,Dolph Schayes*,134,71,63,.530,124,67,57,.540,10,4,6,.400
walkech01,Chet Walker,127,68,59,.535,119,65,54,.546,8,3,5,.375
roberjo01,Joe Roberts*,112,56,56,.500,108,55,53,.509,4,1,3,.250
chapple01,Len Chappell*,85,51,34,.600,81,49,32,.605,4,2,2,.500
warlebe01,Ben Warley*,70,35,35,.500,66,33,33,.500,4,2,2,.500
halbrsw01,Swede Halbrook,63,30,33,.476,63,30,33,.476,0,0,0,
dierkco01,Connie Dierking,40,16,24,.400,37,15,22,.405,3,1,2,.333
meriwpo01,Porter Meriwether,31,18,13,.581,31,18,13,.581,0,0,0,
grabojo01,Joe Graboski*,26,13,13,.500,22,12,10,.545,4,1,3,.250
whitehu01,Hubie White,12,5,7,.417,12,5,7,.417,0,0,0,
osborch01,Chuck Osborne,4,1,3,.250,4,1,3,.250,0,0,0,
greenje01,Jerry Greenspan,2,1,1,.500,2,1,1,.500,0,0,0,
