id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
clarkar01,Archie Clark*,341,190,151,.557,313,178,135,.569,28,12,16,.429
bayloel01,Elgin Baylor,314,183,131,.583,281,165,116,.587,33,18,15,.545
westje01,Jerry West,306,177,129,.578,265,155,110,.585,41,22,19,.537
greenjo01,Johnny Green*,258,114,144,.442,253,113,140,.447,5,1,4,.200
goodrga01,Gail Goodrich,244,129,115,.529,220,118,102,.536,24,11,13,.458
abdulma01,Walt Hazzard*,243,127,116,.523,219,119,100,.543,24,8,16,.333
larusru01,Rudy LaRusso,219,116,103,.530,194,104,90,.536,25,12,13,.480
ellisle01,Leroy Ellis,180,104,76,.578,155,92,63,.594,25,12,13,.480
hawkito01,Tom Hawkins*,172,96,76,.558,154,86,68,.558,18,10,8,.556
kingji01,Jim King,172,101,71,.587,148,90,58,.608,24,11,13,.458
cunnibi01,Billy Cunningham,170,97,73,.571,160,95,65,.594,10,2,8,.200
greerha01,Hal Greer,169,97,72,.574,159,95,64,.597,10,2,8,.200
joneswa02,Wali Jones,166,95,71,.572,156,93,63,.596,10,2,8,.200
guokama02,Matt Guokas,165,94,71,.570,158,93,65,.589,7,1,6,.143
wileyge01,Gene Wiley*,156,88,68,.564,142,83,59,.585,14,5,9,.357
gueriri01,Richie Guerin,135,43,92,.319,135,43,92,.319,0,0,0,
naullwi01,Willie Naulls*,132,41,91,.311,132,41,91,.311,0,0,0,
countme01,Mel Counts,131,79,52,.603,113,69,44,.611,18,10,8,.556
barneji01,Jim Barnes*,125,56,69,.448,122,56,66,.459,3,0,3,.000
buddda01,Dave Budd*,119,40,79,.336,119,40,79,.336,0,0,0,
wilsoge01,George Wilson*,109,61,48,.560,102,59,43,.578,7,2,5,.286
joneswi01,Willie Jones*,103,27,76,.262,102,27,75,.265,1,0,1,.000
scottra01,Ray Scott,101,26,75,.257,100,26,74,.260,1,0,1,.000
morelja01,Jackie Moreland*,101,26,75,.257,100,26,74,.260,1,0,1,.000
howelba01,Bailey Howell,99,25,74,.253,98,25,73,.255,1,0,1,.000
jordoph01,Phil Jordon*,97,32,65,.330,97,32,65,.330,0,0,0,
ferrybo01,Bob Ferry,96,24,72,.250,95,24,71,.253,1,0,1,.000
ohldo01,Don Ohl,95,25,70,.263,94,25,69,.266,1,0,1,.000
walkech01,Chet Walker,86,55,31,.640,82,55,27,.671,4,0,4,.000
boozebo01,Bob Boozer*,84,45,39,.536,74,41,33,.554,10,4,6,.400
barnedi01,Dick Barnett,82,49,33,.598,72,44,28,.611,10,5,5,.500
washiji01,Jim Washington,81,42,39,.519,76,41,35,.539,5,1,4,.200
butchdo01,Donnie Butcher*,74,22,52,.297,74,22,52,.297,0,0,0,
