id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
selvale01,Les Selvage*,48,14,34,.292,48,14,34,.292,0,0,0,
chubist01,Steve Chubin,48,14,34,.292,48,14,34,.292,0,0,0,
warlebe01,Ben Warley*,47,14,33,.298,47,14,33,.298,0,0,0,
bedelbo01,Bob Bedell*,44,13,31,.295,44,13,31,.295,0,0,0,
buncela01,Larry Bunce*,43,13,30,.302,43,13,30,.302,0,0,0,
faircjo01,John Fairchild*,40,12,28,.300,40,12,28,.300,0,0,0,
kramest01,Steve Kramer*,31,9,22,.290,31,9,22,.290,0,0,0,
daviswa02,Warren Davis*,30,7,23,.233,30,7,23,.233,0,0,0,
stollra01,Randy Stoll*,23,5,18,.217,23,5,18,.217,0,0,0,
turnehe01,Herschell Turner*,22,6,16,.273,22,6,16,.273,0,0,0,
congdje01,Jeff Congdon*,21,5,16,.238,21,5,16,.238,0,0,0,
thomawi01,Willis Thomas*,18,5,13,.278,18,5,13,.278,0,0,0,
allenbi01,Bill Allen*,15,6,9,.400,15,6,9,.400,0,0,0,
dinneha01,Harry Dinnel,11,3,8,.273,11,3,8,.273,0,0,0,
scranpa01,Paul Scranton*,6,1,5,.167,6,1,5,.167,0,0,0,
moorela01,Larry Moore*,6,4,2,.667,6,4,2,.667,0,0,0,
,,1,0,1,.000,1,0,1,.000,0,0,0,
crowbi01,Bill Crow,1,0,1,.000,1,0,1,.000,0,0,0,
