id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
smithst01,Steve Smith,356,200,156,.562,329,190,139,.578,27,10,17,.370
blaylmo01,Mookie Blaylock,329,184,145,.559,302,175,127,.579,27,9,18,.333
koncajo01,Jon Koncak,303,163,140,.538,289,158,131,.547,14,5,9,.357
wallara01,Rasheed Wallace,297,188,109,.633,267,174,93,.652,30,14,16,.467
sabonar01,Arvydas Sabonis,265,166,99,.626,235,152,83,.647,30,14,16,.467
willike02,Kevin Willis,248,136,112,.548,234,131,103,.560,14,5,9,.357
magloja01,Jamaal Magloire,235,123,112,.523,216,115,101,.532,19,8,11,.421
brownpj01,P.J. Brown,228,119,109,.522,208,111,97,.534,20,8,12,.400
ferredu01,Duane Ferrell,225,121,104,.538,211,116,95,.550,14,5,9,.357
ehlocr01,Craig Ehlo,225,132,93,.587,202,123,79,.609,23,9,14,.391
langan01,Andrew Lang,223,129,94,.578,209,124,85,.593,14,5,9,.357
stoudda01,Damon Stoudamire,215,141,74,.656,189,128,61,.677,26,13,13,.500
lynchge01,George Lynch,198,106,92,.535,178,98,80,.551,20,8,12,.400
wesleda01,David Wesley,196,103,93,.526,176,95,81,.540,20,8,12,.400
traylro01,Robert Traylor,192,98,94,.510,176,92,84,.523,16,6,10,.375
davisba01,Baron Davis,191,101,90,.529,172,93,79,.541,19,8,11,.421
longgr01,Grant Long,183,103,80,.563,170,99,71,.582,13,4,9,.308
anthogr01,Greg Anthony,182,122,60,.670,161,110,51,.683,21,12,9,.571
onealje01,Jermaine O'Neal,174,114,60,.655,159,108,51,.679,15,6,9,.400
grahapa01,Paul Graham,173,88,85,.509,170,88,82,.518,3,0,3,.000
grantbr01,Brian Grant,172,110,62,.640,148,97,51,.655,24,13,11,.542
catoke01,Kelvin Cato,169,86,83,.509,157,82,75,.522,12,4,8,.333
rideris01,Isaiah Rider,165,95,70,.576,144,86,58,.597,21,9,12,.429
wilkido01,Dominique Wilkins,156,90,66,.577,153,90,63,.588,3,0,3,.000
keefead01,Adam Keefe,146,85,61,.582,136,82,54,.603,10,3,7,.300
mashbja01,Jamal Mashburn,128,70,58,.547,125,69,56,.552,3,1,2,.333
campbel01,Elden Campbell,120,61,59,.508,111,57,54,.514,9,4,5,.444
whatlen01,Ennis Whatley,120,74,46,.617,106,69,37,.651,14,5,9,.357
pippesc01,Scottie Pippen,116,77,39,.664,107,72,35,.673,9,5,4,.556
wellsbo01,Bonzi Wells,115,82,33,.713,109,78,31,.716,6,4,2,.667
robinru01,Rumeal Robinson,112,58,54,.518,108,57,51,.528,4,1,3,.250
normake01,Ken Norman,106,52,54,.491,103,52,51,.505,3,0,3,.000
anderke01,Kenny Anderson,101,58,43,.574,93,56,37,.602,8,2,6,.250
rasmubl01,Blair Rasmussen,95,44,51,.463,95,44,51,.463,0,0,0,
howardw01,Dwight Howard,91,35,56,.385,91,35,56,.385,0,0,0,
williwa02,Walt Williams,91,54,37,.593,74,46,28,.622,17,8,9,.471
battito01,Tony Battie,91,35,56,.385,91,35,56,.385,0,0,0,
hendeal01,Alan Henderson,84,48,36,.571,74,44,30,.595,10,4,6,.400
nailole01,Lee Nailon,83,45,38,.542,74,41,33,.554,9,4,5,.444
