id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
bradlsh01,Shawn Bradley,11,8,3,.727,11,8,3,.727,0,0,0,
nowitdi01,Dirk Nowitzki,11,8,3,.727,11,8,3,.727,0,0,0,
lafrera01,Raef LaFrentz,11,8,3,.727,11,8,3,.727,0,0,0,
nashst01,Steve Nash,11,8,3,.727,11,8,3,.727,0,0,0,
williwa02,Walt Williams,11,8,3,.727,11,8,3,.727,0,0,0,
finlemi01,Michael Finley,11,8,3,.727,11,8,3,.727,0,0,0,
vanexni01,Nick Van Exel,11,8,3,.727,11,8,3,.727,0,0,0,
bellra01,Raja Bell,10,7,3,.700,10,7,3,.700,0,0,0,
griffad01,Adrian Griffin,9,7,2,.778,9,7,2,.778,0,0,0,
johnsav01,Avery Johnson,6,5,1,.833,6,5,1,.833,0,0,0,
jonespo01,Popeye Jones,3,3,0,1.000,3,3,0,1.000,0,0,0,
eschmev01,Evan Eschmeyer,3,2,1,.667,3,2,1,.667,0,0,0,
najered01,Eduardo Nájera,3,2,1,.667,3,2,1,.667,0,0,0,
