id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
naullwi01,Willie Naulls*,5,0,5,.000,5,0,5,.000,0,0,0,
jordoph01,Phil Jordon*,5,0,5,.000,5,0,5,.000,0,0,0,
imhofda01,Darrall Imhoff,5,0,5,.000,5,0,5,.000,0,0,0,
buddda01,Dave Budd*,5,0,5,.000,5,0,5,.000,0,0,0,
buckncl01,Cleveland Buckner,5,0,5,.000,5,0,5,.000,0,0,0,
blanege01,George Blaney,5,0,5,.000,5,0,5,.000,0,0,0,
martiwh01,Whitey Martin,5,0,5,.000,5,0,5,.000,0,0,0,
greenjo01,Johnny Green*,5,0,5,.000,5,0,5,.000,0,0,0,
gueriri01,Richie Guerin,4,0,4,.000,4,0,4,.000,0,0,0,
stithsa01,Sam Stith*,3,0,3,.000,3,0,3,.000,0,0,0,
burtoed01,Ed Burton,2,0,2,.000,2,0,2,.000,0,0,0,
butchdo01,Donnie Butcher*,2,0,2,.000,2,0,2,.000,0,0,0,
smithbi01,Bill Smith,2,0,2,.000,2,0,2,.000,0,0,0,
butleal01,Al Butler,1,0,1,.000,1,0,1,.000,0,0,0,
