id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
durenjo01,John Duren,63,13,50,.206,63,13,50,.206,0,0,0,
johnsge03,George Johnson,63,13,50,.206,63,13,50,.206,0,0,0,
cartebu01,Butch Carter,62,13,49,.210,62,13,49,.210,0,0,0,
kellocl01,Clark Kellogg,62,13,49,.210,62,13,49,.210,0,0,0,
knighbi01,Billy Knight,61,13,48,.213,61,13,48,.213,0,0,0,
byrnema01,Marty Byrnes,61,13,48,.213,61,13,48,.213,0,0,0,
willihe01,Herb Williams,59,12,47,.203,59,12,47,.203,0,0,0,
sichtje01,Jerry Sichting,59,13,46,.220,59,13,46,.220,0,0,0,
bransbr01,Brad Branson,48,8,40,.167,48,8,40,.167,0,0,0,
johnscl01,Clemon Johnson,38,10,28,.263,38,10,28,.263,0,0,0,
schoeru01,Russ Schoene,25,3,22,.120,25,3,22,.120,0,0,0,
morgagu01,Guy Morgan,8,0,8,.000,8,0,8,.000,0,0,0,
