id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
dampilo01,Louie Dampier*,185,103,82,.557,166,95,71,.572,19,8,11,.421
ligongo01,Goose Ligon,184,103,81,.560,165,95,70,.576,19,8,11,.421
carrida01,Darel Carrier*,180,103,77,.572,161,95,66,.590,19,8,11,.421
moorege01,Gene Moore*,159,85,74,.535,140,77,63,.550,19,8,11,.421
chapmwa01,Wayne Chapman*,131,67,64,.511,116,60,56,.517,15,7,8,.467
huntele01,Les Hunter,100,66,34,.660,90,62,28,.689,10,4,6,.400
olsenbu01,Bud Olsen,93,48,45,.516,81,43,38,.531,12,5,7,.417
dardeol01,Ollie Darden,89,52,37,.584,82,49,33,.598,7,3,4,.429
danieme01,Mel Daniels*,87,53,34,.609,77,49,28,.636,10,4,6,.400
tinslge01,George Tinsley*,86,42,44,.488,74,37,37,.500,12,5,7,.417
inniger01,Ervin Inniger,85,51,34,.600,75,47,28,.627,10,4,6,.400
freemdo01,Donnie Freeman*,78,47,31,.603,68,43,25,.632,10,4,6,.400
kellega01,Gary Keller*,78,47,31,.603,68,43,25,.632,10,4,6,.400
rascobo01,Bobby Rascoe,73,41,32,.562,66,38,28,.576,7,3,4,.429
palmeer01,Errol Palmer*,70,43,27,.614,64,41,23,.641,6,2,4,.333
perryro01,Ron Perry*,66,41,25,.621,66,41,25,.621,0,0,0,
thoresk01,Skip Thoren,65,40,25,.615,63,40,23,.635,2,0,2,.000
caldwji01,Jim Caldwell,58,33,25,.569,51,30,21,.588,7,3,4,.429
kunzete01,Terry Kunze*,47,28,19,.596,47,28,19,.596,0,0,0,
kronto01,Tommy Kron,40,24,16,.600,40,24,16,.600,0,0,0,
murrewi01,Willie Murrell,40,19,21,.475,33,16,17,.485,7,3,4,.429
clarkri01,Dick Clark*,39,22,17,.564,29,18,11,.621,10,4,6,.400
powelci01,Cincy Powell,25,18,7,.720,25,18,7,.720,0,0,0,
simonwa01,Walt Simon*,25,18,7,.720,25,18,7,.720,0,0,0,
isselda01,Dan Issel*,25,18,7,.720,25,18,7,.720,0,0,0,
prattmi01,Mike Pratt,24,17,7,.708,24,17,7,.708,0,0,0,
chubist01,Steve Chubin,24,12,12,.500,13,8,5,.615,11,4,7,.364
leaksma01,Manny Leaks*,23,12,11,.522,23,12,11,.522,0,0,0,
mahafra01,Randy Mahaffey,23,12,11,.522,23,12,11,.522,0,0,0,
jonesjo01,Johnny Jones,19,9,10,.474,19,9,10,.474,0,0,0,
croftbo01,Bobby Croft,16,11,5,.688,16,11,5,.688,0,0,0,
mcgriel01,Elton McGriff,14,7,7,.500,9,5,4,.556,5,2,3,.400
wrighho01,Howie Wright,13,10,3,.769,13,10,3,.769,0,0,0,
willial01,Al Williams,11,7,4,.636,11,7,4,.636,0,0,0,
robbire01,Red Robbins*,10,8,2,.800,7,5,2,.714,3,3,0,1.000
boonero01,Ron Boone*,10,8,2,.800,7,5,2,.714,3,3,0,1.000
stonege01,George Stone,10,8,2,.800,7,5,2,.714,3,3,0,1.000
combsgl01,Glen Combs,10,8,2,.800,7,5,2,.714,3,3,0,1.000
lacefre01,Reggie Lacefield*,9,5,4,.556,9,5,4,.556,0,0,0,
mcdonro01,Rod McDonald*,9,7,2,.778,6,4,2,.667,3,3,0,1.000
wisewi01,Willie Wise,9,7,2,.778,6,4,2,.667,3,3,0,1.000
jacksme01,Merv Jackson,9,7,2,.778,6,4,2,.667,3,3,0,1.000
nemeldi01,Dick Nemelka*,8,6,2,.750,5,3,2,.600,3,3,0,1.000
beatyze01,Zelmo Beaty,8,6,2,.750,5,3,2,.600,3,3,0,1.000
faircjo01,John Fairchild*,7,5,2,.714,7,5,2,.714,0,0,0,
butlemi01,Mike Butler*,6,6,0,1.000,3,3,0,1.000,3,3,0,1.000
hamilde01,Dennis Hamilton,4,2,2,.500,4,2,2,.500,0,0,0,
longpa01,Paul Long*,4,3,1,.750,4,3,1,.750,0,0,0,
swageke01,Keith Swagerty,3,2,1,.667,3,2,1,.667,0,0,0,
littlsa01,Sammy Little,3,2,1,.667,3,2,1,.667,0,0,0,
anderda01,Dan Anderson,3,2,1,.667,3,2,1,.667,0,0,0,
akinhe01,Henry Akin,2,1,1,.500,2,1,1,.500,0,0,0,
washibo01,Bobby Washington,2,1,1,.500,2,1,1,.500,0,0,0,
willige01,Gene Williams,1,1,0,1.000,1,1,0,1.000,0,0,0,
earlype01,Penny Early,1,0,1,.000,1,0,1,.000,0,0,0,
