id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
calveer01,Ernie Calverley,78,27,51,.346,78,27,51,.346,0,0,0,
martidi01,Dino Martin*,76,28,48,.368,76,28,48,.368,0,0,0,
mearnge01,George Mearns*,75,26,49,.347,75,26,49,.347,0,0,0,
shannea01,Earl Shannon*,75,27,48,.360,75,27,48,.360,0,0,0,
goodwpo01,Pop Goodwin*,74,24,50,.324,74,24,50,.324,0,0,0,
halbech01,Chick Halbert,44,26,18,.591,32,20,12,.625,12,6,6,.500
sheabo01,Bob Shea*,39,18,21,.462,39,18,21,.462,0,0,0,
weberja01,Jake Weber*,38,18,20,.474,38,18,20,.474,0,0,0,
pastuge01,George Pastushok,38,17,21,.447,38,17,21,.447,0,0,0,
dallmho01,Howie Dallmar,35,21,14,.600,23,15,8,.652,12,6,6,.500
kaplora01,Ralph Kaplowitz,35,21,14,.600,23,15,8,.652,12,6,6,.500
senesge01,George Senesky*,35,21,14,.600,23,15,8,.652,12,6,6,.500
musian01,Angelo Musi*,33,19,14,.576,21,13,8,.619,12,6,6,.500
fulksjo01,Joe Fulks*,30,19,11,.633,18,13,5,.722,12,6,6,.500
crossch01,Chink Crossin*,30,19,11,.633,20,14,6,.700,10,5,5,.500
rosenha01,Hank Rosenstein*,28,13,15,.464,28,13,15,.464,0,0,0,
obriebo01,Bob O'Brien*,28,18,10,.643,19,13,6,.684,9,5,4,.556
fleisje01,Jerry Fleishman*,26,16,10,.615,20,13,7,.650,6,3,3,.500
nostrge01,George Nostrand,21,2,19,.095,21,2,19,.095,0,0,0,
grimswo01,Woody Grimshaw,20,9,11,.450,20,9,11,.450,0,0,0,
maughar01,Ariel Maughan,14,1,13,.071,14,1,13,.071,0,0,0,
sailoke01,Kenny Sailors,14,1,13,.071,14,1,13,.071,0,0,0,
morgeel01,Elmore Morgenthaler*,10,6,4,.600,10,6,4,.600,0,0,0,
curear01,Armand Cure*,10,7,3,.700,10,7,3,.700,0,0,0,
callato01,Tom Callahan*,10,6,4,.600,10,6,4,.600,0,0,0,
stumpge01,Gene Stump*,9,5,4,.556,9,5,4,.556,0,0,0,
spectar01,Art Spector*,9,5,4,.556,9,5,4,.556,0,0,0,
riebeme01,Mel Riebe,9,5,4,.556,9,5,4,.556,0,0,0,
ehlerbu01,Bulbs Ehlers,9,5,4,.556,9,5,4,.556,0,0,0,
noszkst01,Stan Noszka*,9,5,4,.556,9,5,4,.556,0,0,0,
dehnere01,Red Dehnert*,9,5,4,.556,9,5,4,.556,0,0,0,
garfija01,Jack Garfinkel*,9,5,4,.556,9,5,4,.556,0,0,0,
robbile01,Lee Robbins*,8,1,7,.125,8,1,7,.125,0,0,0,
seminji01,Jim Seminoff,8,5,3,.625,8,5,3,.625,0,0,0,
bachjo01,Johnny Bach,7,4,3,.571,7,4,3,.571,0,0,0,
janisjo01,John Janisch,7,1,6,.143,7,1,6,.143,0,0,0,
wertira01,Ray Wertis*,7,1,6,.143,7,1,6,.143,0,0,0,
spicelo01,Lou Spicer,4,2,2,.500,4,2,2,.500,0,0,0,
hazenjo01,John Hazen,3,1,2,.333,3,1,2,.333,0,0,0,
kellyje01,Jerry Kelly*,3,0,3,.000,3,0,3,.000,0,0,0,
lucasal01,Al Lucas,2,1,1,.500,2,1,1,.500,0,0,0,
kelleke01,Ken Keller*,2,2,0,1.000,2,2,0,1.000,0,0,0,
hubbabo01,Bob Hubbard*,2,0,2,.000,2,0,2,.000,0,0,0,
fitzgdi01,Dick Fitzgerald,1,0,1,.000,1,0,1,.000,0,0,0,
graywy01,Wyndol Gray*,1,0,1,.000,1,0,1,.000,0,0,0,
