id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
smithke01,Kenny Smith,24,6,18,.250,24,6,18,.250,0,0,0,
pressha01,Harold Pressley,24,6,18,.250,24,6,18,.250,0,0,0,
delnevi01,Vinny Del Negro,24,6,18,.250,24,6,18,.250,0,0,0,
mccraro01,Rodney McCray,21,5,16,.238,21,5,16,.238,0,0,0,
berryri01,Ricky Berry,20,5,15,.250,20,5,15,.250,0,0,0,
pincked01,Ed Pinckney,17,4,13,.235,17,4,13,.235,0,0,0,
peterji01,Jim Petersen,16,5,11,.312,16,5,11,.312,0,0,0,
thompla01,LaSalle Thompson,16,4,12,.250,16,4,12,.250,0,0,0,
kleinjo01,Joe Kleine,15,3,12,.200,15,3,12,.200,0,0,0,
wittmra01,Randy Wittman,15,4,11,.267,15,4,11,.267,0,0,0,
smithde02,Derek Smith*,14,3,11,.214,14,3,11,.214,0,0,0,
jacksmi02,Michael Jackson,9,3,6,.333,9,3,6,.333,0,0,0,
tisdawa01,Wayman Tisdale,7,2,5,.286,7,2,5,.286,0,0,0,
aingeda01,Danny Ainge,6,2,4,.333,6,2,4,.333,0,0,0,
lohaubr01,Brad Lohaus,6,2,4,.333,6,2,4,.333,0,0,0,
allenra01,Randy Allen,5,2,3,.400,5,2,3,.400,0,0,0,
