id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
roberal01,Alvin Robertson,203,72,131,.355,197,72,125,.365,6,0,6,.000
mitchmi01,Mike Mitchell,167,59,108,.353,161,59,102,.366,6,0,6,.000
longgr01,Grant Long,158,26,132,.165,157,26,131,.166,1,0,1,.000
greenda01,Dave Greenwood,153,52,101,.340,150,52,98,.347,3,0,3,.000
edwarke01,Kevin Edwards,149,25,124,.168,148,25,123,.169,1,0,1,.000
thompbi01,Billy Thompson,149,23,126,.154,149,23,126,.154,0,0,0,
chambto01,Tom Chambers,148,63,85,.426,145,62,83,.428,3,1,2,.333
woodal01,Al Wood,146,62,84,.425,143,61,82,.427,3,1,2,.333
seikaro01,Rony Seikaly,143,25,118,.175,142,25,117,.176,1,0,1,.000
vraneda01,Danny Vranes,142,63,79,.444,139,62,77,.446,3,1,2,.333
gilmoar01,Artis Gilmore*,140,53,87,.379,137,53,84,.387,3,0,3,.000
sikmaja01,Jack Sikma,135,62,73,.459,132,61,71,.462,3,1,2,.333
sparrro01,Rory Sparrow,129,21,108,.163,129,21,108,.163,0,0,0,
kingre01,Reggie King,128,56,72,.438,125,55,70,.440,3,1,2,.333
brickfr01,Frank Brickowski,120,42,78,.350,117,42,75,.359,3,0,3,.000
dawkijo01,Johnny Dawkins,115,37,78,.322,112,37,75,.330,3,0,3,.000
nealyed01,Ed Nealy,105,36,69,.343,103,36,67,.350,2,0,2,.000
berrywa01,Walter Berry,98,34,64,.347,95,34,61,.358,3,0,3,.000
ricegl01,Glen Rice,84,12,72,.143,83,12,71,.145,1,0,1,.000
cummipa01,Pat Cummings,83,14,69,.169,83,14,69,.169,0,0,0,
douglsh01,Sherman Douglas,82,12,70,.146,82,12,70,.146,0,0,0,
willigu01,Gus Williams,74,39,35,.527,71,38,33,.535,3,1,2,.333
hawesst01,Steve Hawes,73,39,34,.534,70,38,32,.543,3,1,2,.333
hendege01,Gerald Henderson,70,22,48,.314,70,22,48,.314,0,0,0,
moorejo01,Johnny Moore,70,27,43,.386,70,27,43,.386,0,0,0,
mccorti01,Tim McCormick,69,23,46,.333,69,23,46,.333,0,0,0,
daviste01,Terry Davis,67,9,58,.134,67,9,58,.134,0,0,0,
matthwe01,Wes Matthews,66,23,43,.348,63,23,40,.365,3,0,3,.000
brownfr01,Fred Brown,65,34,31,.523,62,33,29,.532,3,1,2,.333
krystla01,Larry Krystkowiak,63,21,42,.333,63,21,42,.333,0,0,0,
frankte01,Tellis Frank,62,9,53,.145,62,9,53,.145,0,0,0,
soberri01,Ricky Sobers,62,21,41,.339,62,21,41,.339,0,0,0,
johnsst03,Steve Johnson,62,26,36,.419,59,26,33,.441,3,0,3,.000
hastisc01,Scott Hastings,61,12,49,.197,61,12,49,.197,0,0,0,
hugheri01,Alfredrick Hughes,61,23,38,.377,58,23,35,.397,3,0,3,.000
andergr01,Greg Anderson,55,18,37,.327,52,18,34,.346,3,0,3,.000
blackco01,Cory Blackwell,55,17,38,.309,55,17,38,.309,0,0,0,
mccrasc01,Scooter McCray,54,26,28,.481,51,25,26,.490,3,1,2,.333
shaskjo01,John Shasky,52,9,43,.173,52,9,43,.173,0,0,0,
thompmy01,Mychal Thompson,48,18,30,.375,48,18,30,.375,0,0,0,
