id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
vaughlo01,Loy Vaught,272,87,185,.320,269,87,182,.323,3,0,3,.000
deherte01,Terry Dehere,261,82,179,.314,259,82,177,.317,2,0,2,.000
armstda01,Darrell Armstrong,252,128,124,.508,244,126,118,.516,8,2,6,.250
murrala01,Lamond Murray,232,75,157,.323,229,75,154,.328,3,0,3,.000
piatker01,Eric Piatkowski,212,66,146,.311,209,66,143,.316,3,0,3,.000
garripa01,Pat Garrity,203,99,104,.488,199,98,101,.492,4,1,3,.250
sealyma01,Malik Sealy,203,73,130,.360,200,73,127,.365,3,0,3,.000
richapo01,Pooh Richardson,201,66,135,.328,199,66,133,.332,2,0,2,.000
mariosh01,Shawn Marion,197,106,91,.538,190,103,87,.542,7,3,4,.429
doleami01,Michael Doleac,194,99,95,.510,186,97,89,.522,8,2,6,.250
rogerro01,Rodney Rogers,190,80,110,.421,187,80,107,.428,3,0,3,.000
hardaan01,Anfernee Hardaway,187,96,91,.513,177,93,84,.525,10,3,7,.300
amaecjo01,John Amaechi,164,81,83,.494,160,80,80,.500,4,1,3,.250
willimo01,Monty Williams,163,83,80,.509,160,82,78,.512,3,1,2,.333
marbust01,Stephon Marbury,159,77,82,.484,153,75,78,.490,6,2,4,.333
millemi01,Mike Miller,158,84,74,.532,150,83,67,.553,8,1,7,.125
johnsjo02,Joe Johnson,155,86,69,.555,148,83,65,.561,7,3,4,.429
wrighlo02,Lorenzen Wright,149,73,76,.490,142,73,69,.514,7,0,7,.000
voskuja01,Jake Voskuhl,142,70,72,.493,136,68,68,.500,6,2,4,.333
barrybr01,Brent Barry,140,51,89,.364,137,51,86,.372,3,0,3,.000
tsakaja01,Jake Tsakalidis,131,67,64,.511,130,67,63,.515,1,0,1,.000
stoudam01,Amar'e Stoudemire,125,74,51,.592,118,71,47,.602,7,3,4,.429
grantho01,Horace Grant,121,63,58,.521,117,62,55,.530,4,1,3,.250
stronde01,Derek Strong,104,57,47,.548,103,57,46,.553,1,0,1,.000
jacobca01,Casey Jacobsen,102,57,45,.559,96,55,41,.573,6,2,4,.333
ellisha01,Harold Ellis,101,24,77,.238,101,24,77,.238,0,0,0,
anderni01,Nick Anderson,93,51,42,.548,89,50,39,.562,4,1,3,.250
mcgratr01,Tracy McGrady,89,43,46,.483,85,42,43,.494,4,1,3,.250
schayda01,Danny Schayes,89,43,46,.483,88,43,45,.489,1,0,1,.000
hudsotr01,Troy Hudson,87,42,45,.483,83,41,42,.494,4,1,3,.250
poseyja01,James Posey,86,50,36,.581,82,50,32,.610,4,0,4,.000
martida01,Darrick Martin,85,36,49,.424,82,36,46,.439,3,0,3,.000
watsoea01,Earl Watson,85,50,35,.588,81,50,31,.617,4,0,4,.000
woodsra01,Randy Woods,85,13,72,.153,85,13,72,.153,0,0,0,
battish01,Shane Battier,83,48,35,.578,79,48,31,.608,4,0,4,.000
gasolpa01,Pau Gasol,82,49,33,.598,78,49,29,.628,4,0,4,.000
atkinch01,Chucky Atkins,82,41,41,.500,82,41,41,.500,0,0,0,
swiftst01,Stromile Swift,81,48,33,.593,77,48,29,.623,4,0,4,.000
wallabe01,Ben Wallace,81,40,41,.494,81,40,41,.494,0,0,0,
masseto01,Tony Massenburg,79,15,64,.190,79,15,64,.190,0,0,0,
maggeco01,Corey Maggette,77,37,40,.481,77,37,40,.481,0,0,0,
willija02,Jason Williams,76,42,34,.553,72,42,30,.583,4,0,4,.000
declean01,Andrew DeClercq,76,39,37,.513,72,38,34,.528,4,1,3,.250
howardw01,Dwight Howard,75,38,37,.507,75,38,37,.507,0,0,0,
wilkige01,Gerald Wilkins,75,36,39,.480,75,36,39,.480,0,0,0,
reiddo01,Don Reid,73,38,35,.521,70,38,32,.543,3,0,3,.000
willisc01,Scott Williams,73,37,36,.507,67,35,32,.522,6,2,4,.333
nelsoja01,Jameer Nelson,72,36,36,.500,72,36,36,.500,0,0,0,
turkohe01,Hedo Türkoğlu,70,37,33,.529,70,37,33,.529,0,0,0,
grantga01,Gary Grant,68,17,51,.250,68,17,51,.250,0,0,0,
roberst01,Stanley Roberts,67,26,41,.388,67,26,41,.388,0,0,0,
harpede01,Derek Harper,66,29,37,.439,66,29,37,.439,0,0,0,
majerda01,Dan Majerle,65,28,37,.431,65,28,37,.431,0,0,0,
guglito01,Tom Gugliotta,64,32,32,.500,62,30,32,.484,2,2,0,1.000
wellsbo01,Bonzi Wells,63,39,24,.619,59,39,20,.661,4,0,4,.000
delebi01,Bison Dele,63,24,39,.381,63,24,39,.381,0,0,0,
pricema01,Mark Price,63,34,29,.540,63,34,29,.540,0,0,0,
battito01,Tony Battie,59,32,27,.542,59,32,27,.542,0,0,0,
milicda01,Darko Miličić,58,31,27,.534,58,31,27,.534,0,0,0,
langhda01,Dan Langhi,58,29,29,.500,58,29,29,.500,0,0,0,
fordal02,Alton Ford,57,27,30,.474,57,27,30,.474,0,0,0,
arroyca01,Carlos Arroyo,56,30,26,.536,56,30,26,.536,0,0,0,
spencel01,Elmore Spencer,55,13,42,.236,55,13,42,.236,0,0,0,
doolike01,Keyon Dooling,50,28,22,.560,50,28,22,.560,0,0,0,
huntest01,Steven Hunter,48,34,14,.708,47,33,14,.702,1,1,0,1.000
seikaro01,Rony Seikaly,47,21,26,.447,47,21,26,.447,0,0,0,
abdulta01,Tariq Abdul-Wahad,46,20,26,.435,46,20,26,.435,0,0,0,
gatlich01,Chris Gatling,45,19,26,.422,45,19,26,.422,0,0,0,
evansbr01,Brian Evans,44,20,24,.455,44,20,24,.455,0,0,0,
hillgr01,Grant Hill,43,20,23,.465,43,20,23,.465,0,0,0,
rileyer01,Eric Riley,40,7,33,.175,40,7,33,.175,0,0,0,
wilkido01,Dominique Wilkins,39,14,25,.359,38,14,24,.368,1,0,1,.000
harprma01,Matt Harpring,39,22,17,.564,35,21,14,.600,4,1,3,.250
richaqu01,Quentin Richardson,39,29,10,.744,38,28,10,.737,1,1,0,1.000
arizatr01,Trevor Ariza,39,25,14,.641,39,25,14,.641,0,0,0,
wallajo01,John Wallace,38,16,22,.421,38,16,22,.421,0,0,0,
boganke01,Keith Bogans,36,19,17,.528,36,19,17,.528,0,0,0,
harvean01,Antonio Harvey,36,12,24,.333,36,12,24,.333,0,0,0,
nashst01,Steve Nash,35,29,6,.829,34,28,6,.824,1,1,0,1.000
jacksma01,Mark Jackson,34,11,23,.324,34,11,23,.324,0,0,0,
austiis01,Isaac Austin,34,20,14,.588,30,19,11,.633,4,1,3,.250
delkto01,Tony Delk,34,14,20,.412,34,14,20,.412,0,0,0,
towerke01,Keith Tower,34,10,24,.294,34,10,24,.294,0,0,0,
stevede01,DeShawn Stevenson,32,15,17,.469,32,15,17,.469,0,0,0,
mercero01,Ron Mercer,31,17,14,.548,31,17,14,.548,0,0,0,
willijo02,John Williams,31,10,21,.323,31,10,21,.323,0,0,0,
brownra02,Randy Brown,31,12,19,.387,31,12,19,.387,0,0,0,
barbole01,Leandro Barbosa,30,24,6,.800,29,23,6,.793,1,1,0,1.000
harpero01,Ron Harper,30,10,20,.333,30,10,20,.333,0,0,0,
smithmi01,Michael Smith,29,6,23,.207,29,6,23,.207,0,0,0,
palacmi01,Milt Palacio,28,11,17,.393,28,11,17,.393,0,0,0,
dienetr01,Travis Diener,27,15,12,.556,27,15,12,.556,0,0,0,
duckwke01,Kevin Duckworth,26,10,16,.385,26,10,16,.385,0,0,0,
alexaco01,Cory Alexander,26,17,9,.654,26,17,9,.654,0,0,0,
fishma01,Matt Fish,25,3,22,.120,25,3,22,.120,0,0,0,
redicjj01,J.J. Redick,24,12,12,.500,24,12,12,.500,0,0,0,
benoida01,David Benoit,24,10,14,.417,24,10,14,.417,0,0,0,
jonesda02,Dahntay Jones,20,13,7,.650,20,13,7,.650,0,0,0,
ollieke01,Kevin Ollie,20,9,11,.450,20,9,11,.450,0,0,0,
smithth01,Theron Smith,20,13,7,.650,20,13,7,.650,0,0,0,
martibo01,Bob Martin,20,5,15,.250,20,5,15,.250,0,0,0,
johnsan02,Anthony Johnson,18,10,8,.556,18,10,8,.556,0,0,0,
taylojo01,Johnny Taylor,17,8,9,.471,17,8,9,.471,0,0,0,
lawsoja01,Jason Lawson,17,6,11,.353,17,6,11,.353,0,0,0,
persowe01,Wesley Person,16,8,8,.500,16,8,8,.500,0,0,0,
parkean01,Anthony Parker,16,6,10,.375,16,6,10,.375,0,0,0,
schindw01,Dwayne Schintzius,15,4,11,.267,15,4,11,.267,0,0,0,
crispjo01,Joe Crispin,15,6,9,.400,15,6,9,.400,0,0,0,
vandelo01,Logan Vander Velden,15,5,10,.333,15,5,10,.333,0,0,0,
jacksji01,Jim Jackson,14,12,2,.857,13,11,2,.846,1,1,0,1.000
manniri01,Rich Manning,13,5,8,.385,10,5,5,.500,3,0,3,.000
lampema01,Maciej Lampe,13,8,5,.615,13,8,5,.615,0,0,0,
edwarke01,Kevin Edwards,12,7,5,.583,12,7,5,.583,0,0,0,
maxweve01,Vernon Maxwell,11,3,8,.273,11,3,8,.273,0,0,0,
armstbj01,B.J. Armstrong,11,5,6,.455,9,5,4,.556,2,0,2,.000
francst01,Steve Francis,11,4,7,.364,11,4,7,.364,0,0,0,
catoke01,Kelvin Cato,11,3,8,.273,11,3,8,.273,0,0,0,
augmost01,Stacey Augmon,11,4,7,.364,11,4,7,.364,0,0,0,
brownde01,Dee Brown,10,3,7,.300,7,2,5,.286,3,1,2,.333
ewingpa01,Patrick Ewing,10,5,5,.500,10,5,5,.500,0,0,0,
mccarwa01,Walter McCarty,9,8,1,.889,8,7,1,.875,1,1,0,1.000
tolbeto01,Tom Tolbert,9,2,7,.222,9,2,7,.222,0,0,0,
shirlpa01,Paul Shirley,9,8,1,.889,9,8,1,.889,0,0,0,
morrite01,Terence Morris,9,3,6,.333,9,3,6,.333,0,0,0,
vromaja01,Jackson Vroman,7,4,3,.571,7,4,3,.571,0,0,0,
belltr01,Troy Bell,6,5,1,.833,6,5,1,.833,0,0,0,
perryel01,Elliot Perry,6,2,4,.333,6,2,4,.333,0,0,0,
robinja02,James Robinson,6,3,3,.500,6,3,3,.500,0,0,0,
overtdo01,Doug Overton,6,3,3,.500,6,3,3,.500,0,0,0,
kasunma01,Mario Kasun,5,1,4,.200,5,1,4,.200,0,0,0,
mannida01,Danny Manning,5,0,5,.000,5,0,5,.000,0,0,0,
humphry01,Ryan Humphrey,5,0,5,.000,2,0,2,.000,3,0,3,.000
parkesm01,Smush Parker,4,3,1,.750,4,3,1,.750,0,0,0,
thomaca01,Carl Thomas,4,1,3,.250,4,1,3,.250,0,0,0,
webbsp01,Spud Webb,4,2,2,.500,4,2,2,.500,0,0,0,
kemptti01,Tim Kempton,3,3,0,1.000,3,3,0,1.000,0,0,0,
garriki01,Kiwane Lemorris Garris,3,0,3,.000,3,0,3,.000,0,0,0,
santida01,Daniel Santiago,3,0,3,.000,3,0,3,.000,0,0,0,
augusja01,James Augustine,3,3,0,1.000,3,3,0,1.000,0,0,0,
cabarza01,Žarko Čabarkapa,2,1,1,.500,2,1,1,.500,0,0,0,
lewisra02,Rashard Lewis,2,2,0,1.000,2,2,0,1.000,0,0,0,
simonmi01,Miles Simon,2,2,0,1.000,2,2,0,1.000,0,0,0,
foylead01,Adonal Foyle,2,2,0,1.000,2,2,0,1.000,0,0,0,
royaldo01,Donald Royal,2,0,2,.000,2,0,2,.000,0,0,0,
boykiea01,Earl Boykins,1,0,1,.000,1,0,1,.000,0,0,0,
kernejo01,Jonathan Kerner,1,0,1,.000,1,0,1,.000,0,0,0,
tabusyu01,Yuta Tabuse,1,1,0,1.000,1,1,0,1.000,0,0,0,
