id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
cartevi01,Vince Carter,213,114,99,.535,198,109,89,.551,15,5,10,.333
kiddja01,Jason Kidd,202,110,92,.545,187,105,82,.561,15,5,10,.333
collija04,Jason Collins,196,102,94,.520,181,97,84,.536,15,5,10,.333
greenje02,Jeff Green,195,106,89,.544,182,100,82,.549,13,6,7,.462
jefferi01,Richard Jefferson,184,88,96,.478,169,83,86,.491,15,5,10,.333
westbru01,Russell Westbrook*,175,97,78,.554,169,95,74,.562,6,2,4,.333
duranke01,Kevin Durant*,164,89,75,.543,158,87,71,.551,6,2,4,.333
collini01,Nick Collison,155,84,71,.542,149,82,67,.550,6,2,4,.333
vaughja01,Jacque Vaughn,153,84,69,.549,142,79,63,.556,11,5,6,.455
sefolth01,Thabo Sefolosha,149,87,62,.584,143,85,58,.594,6,2,4,.333
robincl02,Clifford Robinson,124,77,47,.621,112,72,40,.643,12,5,7,.417
hardeja01,James Harden,123,77,46,.626,117,75,42,.641,6,2,4,.333
ibakase01,Serge Ibaka,120,75,45,.625,114,73,41,.640,6,2,4,.333
maynoer01,Eric Maynor,104,67,37,.644,98,65,33,.663,6,2,4,.333
planizo01,Zoran Planinić,96,49,47,.510,90,48,42,.533,6,1,5,.167
wrighan01,Antoine Wright,86,44,42,.512,81,42,39,.519,5,2,3,.400
nachbbo01,Boštjan Nachbar,75,33,42,.440,74,32,42,.432,1,1,0,1.000
besttr01,Travis Best,74,38,36,.514,70,38,32,.543,4,0,4,.000
murrala01,Lamond Murray,67,42,25,.627,56,37,19,.661,11,5,6,.455
padgesc01,Scott Padgett,63,37,26,.587,60,36,24,.600,3,1,2,.333
buforro01,Rodney Buford,62,29,33,.468,59,29,30,.492,3,0,3,.000
willima03,Marcus Williams,58,22,36,.379,58,22,36,.379,0,0,0,
weaveky01,Kyle Weaver,57,24,33,.421,56,24,32,.429,1,0,1,.000
scalabr01,Brian Scalabrine,53,26,27,.491,49,26,23,.531,4,0,4,.000
smithja01,Jabari Smith,46,26,20,.565,43,26,17,.605,3,0,3,.000
boonejo01,Josh Boone,44,17,27,.386,44,17,27,.386,0,0,0,
willise01,Sean Williams,38,11,27,.289,38,11,27,.289,0,0,0,
jacksma02,Marc Jackson,36,18,18,.500,36,18,18,.500,0,0,0,
watsoea01,Earl Watson,32,13,19,.406,32,13,19,.406,0,0,0,
whitedj01,D.J. White,30,15,15,.500,30,15,15,.500,0,0,0,
garneke01,Kevin Garnett,29,17,12,.586,22,13,9,.591,7,4,3,.571
allenra02,Ray Allen,29,17,12,.586,22,13,9,.591,7,4,3,.571
piercpa01,Paul Pierce,29,17,12,.586,22,13,9,.591,7,4,3,.571
mcinnje01,Jeff McInnis,28,15,13,.536,28,15,13,.536,0,0,0,
rondora01,Rajon Rondo*,28,16,12,.571,21,12,9,.571,7,4,3,.571
davisgl01,Glen Davis,27,16,11,.593,20,12,8,.600,7,4,3,.571
ollieke01,Kevin Ollie,25,16,9,.640,24,15,9,.625,1,1,0,1.000
thomabi01,Billy Thomas,25,15,10,.600,23,15,8,.652,2,0,2,.000
armstda01,Darrell Armstrong,25,11,14,.440,25,11,14,.440,0,0,0,
hassetr01,Trenton Hassell,24,8,16,.333,24,8,16,.333,0,0,0,
diopde01,DeSagana Diop,24,8,16,.333,24,8,16,.333,0,0,0,
mooremi01,Mikki Moore,23,9,14,.391,23,9,14,.391,0,0,0,
westde01,Delonte West,22,12,10,.545,15,8,7,.533,7,4,3,.571
harride01,Devin Harris,22,7,15,.318,22,7,15,.318,0,0,0,
adamsha01,Hassan Adams,22,10,12,.455,22,10,12,.455,0,0,0,
thomaet01,Etan Thomas,21,12,9,.571,19,11,8,.579,2,1,1,.500
rosema01,Malik Rose,20,8,12,.400,20,8,12,.400,0,0,0,
mulleby01,Byron Mullens,19,13,6,.684,18,12,6,.667,1,1,0,1.000
atkinch01,Chucky Atkins,18,6,12,.333,18,6,12,.333,0,0,0,
swiftst01,Stromile Swift,18,7,11,.389,18,7,11,.389,0,0,0,
murphtr01,Troy Murphy,18,10,8,.556,17,9,8,.529,1,1,0,1.000
cookda02,Daequan Cook,17,11,6,.647,17,11,6,.647,0,0,0,
allenma01,Malik Allen,17,8,9,.471,17,8,9,.471,0,0,0,
livinsh01,Shaun Livingston,17,6,11,.353,17,6,11,.353,0,0,0,
willier01,Eric Williams,16,5,11,.312,16,5,11,.312,0,0,0,
pavloal01,Sasha Pavlović,16,7,9,.438,16,7,9,.438,0,0,0,
mercero01,Ron Mercer,15,7,8,.467,15,7,8,.467,0,0,0,
arroyca01,Carlos Arroyo,14,7,7,.500,14,7,7,.500,0,0,0,
williaa01,Aaron Williams,14,4,10,.286,14,4,10,.286,0,0,0,
agerma01,Maurice Ager,13,6,7,.462,13,6,7,.462,0,0,0,
mournal01,Alonzo Mourning,13,3,10,.231,13,3,10,.231,0,0,0,
wilkida02,Damien Wilkins,13,7,6,.538,13,7,6,.538,0,0,0,
onealje01,Jermaine O'Neal,12,6,6,.500,5,2,3,.400,7,4,3,.571
iveyro01,Royal Ivey,12,10,2,.833,12,10,2,.833,0,0,0,
swiftro01,Robert Swift,12,4,8,.333,12,4,8,.333,0,0,0,
bradlav01,Avery Bradley,12,7,5,.583,12,7,5,.583,0,0,0,
houseed01,Eddie House,11,5,6,.455,11,5,6,.455,0,0,0,
dickeka01,Kaniel Dickens,11,5,6,.455,11,5,6,.455,0,0,0,
magloja01,Jamaal Magloire,10,4,6,.400,10,4,6,.400,0,0,0,
masonde01,Desmond Mason,10,6,4,.600,10,6,4,.600,0,0,0,
campbel01,Elden Campbell,9,6,3,.667,9,6,3,.667,0,0,0,
thomajo02,John Thomas,9,3,6,.333,1,0,1,.000,8,3,5,.375
wilcoch01,Chris Wilcox,9,3,6,.333,9,3,6,.333,0,0,0,
wafervo01,Von Wafer,9,7,2,.778,7,6,1,.857,2,1,1,.500
moisoje01,Jérôme Moïso,8,3,5,.375,8,3,5,.375,0,0,0,
storeaw01,Awvee Storey,8,2,6,.250,8,2,6,.250,0,0,0,
johnsli01,Linton Johnson,8,3,5,.375,8,3,5,.375,0,0,0,
aldrico01,Cole Aldrich,6,3,3,.500,6,3,3,.500,0,0,0,
smithjo02,Joe Smith,6,2,4,.333,6,2,4,.333,0,0,0,
gilled01,Eddie Gill,4,1,3,.250,4,1,3,.250,0,0,0,
johnsch03,Chris Johnson,3,3,0,1.000,3,3,0,1.000,0,0,0,
ilicmi01,Mile Ilić,3,3,0,1.000,3,3,0,1.000,0,0,0,
harvedo01,Donnell Harvey,3,2,1,.667,3,2,1,.667,0,0,0,
petermo01,Morris Peterson,3,1,2,.333,3,1,2,.333,0,0,0,
wilksmi01,Mike Wilks,2,2,0,1.000,2,2,0,1.000,0,0,0,
zimmede01,Derrick Zimmerman,1,0,1,.000,1,0,1,.000,0,0,0,
bowenry01,Ryan Bowen,1,0,1,.000,1,0,1,.000,0,0,0,
anderan02,Antonio Anderson,1,0,1,.000,1,0,1,.000,0,0,0,
