id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
theusre01,Reggie Theus,362,148,214,.409,356,146,210,.410,6,2,4,.333
gilmoar01,Artis Gilmore*,357,152,205,.426,348,150,198,.431,9,2,7,.222
woolror01,Orlando Woolridge,270,102,168,.378,266,101,165,.380,4,1,3,.250
jonesdw01,Dwight Jones,266,116,150,.436,260,114,146,.438,6,2,4,.333
dietrco01,Coby Dietrick,241,107,134,.444,235,105,130,.447,6,2,4,.333
soberri01,Ricky Sobers,239,107,132,.448,233,105,128,.451,6,2,4,.333
roberal01,Alvin Robertson,232,85,147,.366,229,85,144,.371,3,0,3,.000
corzida01,Dave Corzine,222,80,142,.360,218,79,139,.362,4,1,3,.250
dailequ01,Quintin Dailey,214,76,138,.355,210,75,135,.357,4,1,3,.250
higgiro01,Rod Higgins,214,75,139,.350,213,74,139,.347,1,1,0,1.000
lestero01,Ronnie Lester,191,68,123,.356,186,67,119,.360,5,1,4,.200
sundvjo01,Jon Sundvold,153,52,101,.340,150,52,98,.347,3,0,3,.000
kenonla01,Larry Kenon*,148,71,77,.480,142,69,73,.486,6,2,4,.333
dawkijo01,Johnny Dawkins,144,51,93,.354,144,51,93,.354,0,0,0,
johnsst03,Steve Johnson,143,56,87,.392,137,55,82,.401,6,1,5,.167
mitchmi01,Mike Mitchell,143,56,87,.392,140,56,84,.400,3,0,3,.000
matthwe01,Wes Matthews,132,53,79,.402,125,52,73,.416,7,1,6,.143
greensi02,Sidney Green,130,59,71,.454,126,57,69,.452,4,2,2,.500
whatlen01,Ennis Whatley,128,48,80,.375,128,48,80,.375,0,0,0,
oldhaja01,Jawann Oldham,125,45,80,.360,121,44,77,.364,4,1,3,.250
maysc01,Scott May,117,49,68,.419,117,49,68,.419,0,0,0,
jackstr01,Tracy Jackson,113,38,75,.336,113,38,75,.336,0,0,0,
wilkeja02,James Wilkes,107,50,57,.467,105,50,55,.476,2,0,2,.000
anderwi01,Willie Anderson,95,50,45,.526,94,49,45,.521,1,1,0,1.000
nealyed01,Ed Nealy,92,33,59,.359,92,33,59,.359,0,0,0,
berrywa01,Walter Berry,91,37,54,.407,91,37,54,.407,0,0,0,
wilkebo01,Bob Wilkerson,86,45,41,.523,80,43,37,.537,6,2,4,.333
andergr01,Greg Anderson,83,31,52,.373,83,31,52,.373,0,0,0,
johnsol01,Ollie Johnson*,79,29,50,.367,79,29,50,.367,0,0,0,
wiggimi01,Mitchell Wiggins,78,27,51,.346,78,27,51,.346,0,0,0,
olberma01,Mark Olberding,77,25,52,.325,77,25,52,.325,0,0,0,
brickfr01,Frank Brickowski,74,30,44,.405,74,30,44,.405,0,0,0,
moorejo01,Johnny Moore,71,26,45,.366,71,26,45,.366,0,0,0,
beshode01,Del Beshore,68,25,43,.368,68,25,43,.368,0,0,0,
worthsa01,Sam Worthen,65,34,31,.523,64,34,30,.531,1,0,1,.000
jordami01,Michael Jordan,65,27,38,.415,61,26,35,.426,4,1,3,.250
krystla01,Larry Krystkowiak,65,21,44,.323,65,21,44,.323,0,0,0,
elliose01,Sean Elliott,64,44,20,.688,63,43,20,.683,1,1,0,1.000
robinda01,David Robinson,64,44,20,.688,63,43,20,.683,1,1,0,1.000
cookda01,Darwin Cook,62,20,42,.323,59,20,39,.339,3,0,3,.000
hugheri01,Alfredrick Hughes,58,22,36,.379,55,22,33,.400,3,0,3,.000
bradldu01,Dudley Bradley,57,17,40,.298,57,17,40,.298,0,0,0,
presspa01,Paul Pressey,54,36,18,.667,53,35,18,.660,1,1,0,1.000
landsma01,Mark Landsberger,54,18,36,.333,54,18,36,.333,0,0,0,
cummite01,Terry Cummings,50,39,11,.780,49,38,11,.776,1,1,0,1.000
blumera01,Ray Blume,49,17,32,.347,49,17,32,.347,0,0,0,
thompmy01,Mychal Thompson,49,18,31,.367,49,18,31,.367,0,0,0,
stricro02,Rod Strickland,49,37,12,.755,48,36,12,.750,1,1,0,1.000
jonesan01,Anthony Jones,46,15,31,.326,46,15,31,.326,0,0,0,
sallejo01,John Salley,42,32,10,.762,37,28,9,.757,5,4,1,.800
johnsvi01,Vinnie Johnson,42,32,10,.762,37,28,9,.757,5,4,1,.800
edwarja01,James Edwards,42,32,10,.762,37,28,9,.757,5,4,1,.800
rodmade01,Dennis Rodman,41,31,10,.756,37,28,9,.757,4,3,1,.750
thomais01,Isiah Thomas,41,32,9,.780,36,28,8,.778,5,4,1,.800
laimbbi01,Bill Laimbeer,41,31,10,.756,36,27,9,.750,5,4,1,.800
gudmupe01,Pétur Guðmundsson,40,15,25,.375,40,15,25,.375,0,0,0,
nimphku01,Kurt Nimphius,40,18,22,.450,40,18,22,.450,0,0,0,
higgise01,Sean Higgins,39,25,14,.641,38,24,14,.632,1,1,0,1.000
dumarjo01,Joe Dumars,39,30,9,.769,34,26,8,.765,5,4,1,.800
corbity01,Tyrone Corbin,38,11,27,.289,37,11,26,.297,1,0,1,.000
aguirma01,Mark Aguirre,38,29,9,.763,33,25,8,.758,5,4,1,.800
maxweve01,Vernon Maxwell,36,11,25,.306,36,11,25,.306,0,0,0,
mengejo01,John Mengelt,36,13,23,.361,36,13,23,.361,0,0,0,
schindw01,Dwayne Schintzius,35,23,12,.657,35,23,12,.657,0,0,0,
jonesca01,Caldwell Jones*,34,11,23,.324,32,11,21,.344,2,0,2,.000
johnsav01,Avery Johnson,33,21,12,.636,32,20,12,.625,1,1,0,1.000
lampje01,Jeff Lamp,32,8,24,.250,29,8,21,.276,3,0,3,.000
daviswa03,Walter Davis,32,15,17,.469,29,15,14,.517,3,0,3,.000
englial01,Alex English,32,15,17,.469,29,15,14,.517,3,0,3,.000
kingal01,Albert King,31,10,21,.323,31,10,21,.323,0,0,0,
bedfowi01,William Bedford,31,24,7,.774,30,23,7,.767,1,1,0,1.000
brittmi01,Mike Brittain,31,11,20,.355,30,11,19,.367,1,0,1,.000
iavarma01,Marc Iavaroni,31,18,13,.581,31,18,13,.581,0,0,0,
coopewa01,Wayne Cooper,30,14,16,.467,27,14,13,.519,3,0,3,.000
hastisc01,Scott Hastings,30,24,6,.800,27,21,6,.778,3,3,0,1.000
smithsa02,Sam Smith,30,7,23,.233,30,7,23,.233,0,0,0,
hanzlbi01,Bill Hanzlik,29,13,16,.448,26,13,13,.500,3,0,3,.000
adamsmi01,Michael Adams,29,14,15,.483,27,14,13,.519,2,0,2,.000
wilkije01,Jeff Wilkins,29,7,22,.241,26,7,19,.269,3,0,3,.000
woodle01,Leon Wood,29,14,15,.483,29,14,15,.483,0,0,0,
