id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
chandty01,Tyson Chandler,261,141,120,.540,239,131,108,.548,22,10,12,.455
hinriki01,Kirk Hinrich,199,90,109,.452,182,86,96,.473,17,4,13,.235
paulch01,Chris Paul,154,91,63,.591,142,84,58,.592,12,7,5,.583
westda01,David West,138,85,53,.616,126,78,48,.619,12,7,5,.583
butlera01,Rasual Butler,131,75,56,.573,131,75,56,.573,0,0,0,
denglu01,Luol Deng,128,62,66,.484,121,60,61,.496,7,2,5,.286
armsthi01,Hilton Armstrong,127,75,52,.591,119,69,50,.580,8,6,2,.750
gordobe01,Ben Gordon,120,58,62,.483,110,55,55,.500,10,3,7,.300
jacksbo01,Bobby Jackson,100,60,40,.600,100,60,40,.600,0,0,0,
stojape01,Peja Stojaković,100,66,34,.660,88,59,29,.670,12,7,5,.583
nocioan01,Andrés Nocioni,98,50,48,.510,88,47,41,.534,10,3,7,.300
duhonch01,Chris Duhon,91,45,46,.495,81,42,39,.519,10,3,7,.300
petermo01,Morris Peterson,91,57,34,.626,79,50,29,.633,12,7,5,.583
harriot01,Othella Harrington,87,44,43,.506,80,42,38,.525,7,2,5,.286
masonde01,Desmond Mason,75,35,40,.467,75,35,40,.467,0,0,0,
brownde02,Devin Brown,67,33,34,.493,66,33,33,.500,1,0,1,.000
wrighju01,Julian Wright,67,45,22,.672,56,38,18,.679,11,7,4,.636
johnsli01,Linton Johnson,67,30,37,.448,67,30,37,.448,0,0,0,
gibsota01,Taj Gibson,65,27,38,.415,63,27,36,.429,2,0,2,.000
millebr01,Brad Miller,65,27,38,.415,63,27,36,.429,2,0,2,.000
bowenry01,Ryan Bowen,62,42,20,.677,53,36,17,.679,9,6,3,.667
teaguje01,Jeff Teague,62,35,27,.565,57,34,23,.596,5,1,4,.200
rosede01,Derrick Rose,61,27,34,.443,59,27,32,.458,2,0,2,.000
smithjo03,Josh Smith,61,35,26,.574,57,34,23,.596,4,1,3,.250
piatker01,Eric Piatkowski,60,31,29,.517,51,28,23,.549,9,3,6,.333
elyme01,Melvin Ely,58,37,21,.638,51,34,17,.667,7,3,4,.429
fishede01,Derek Fisher,58,37,21,.638,47,31,16,.660,11,6,5,.545
willima02,Marvin Williams,57,30,27,.526,52,29,23,.558,5,1,4,.200
biyombi01,Bismack Biyombo*,57,24,33,.421,56,24,32,.429,1,0,1,.000
bryanko01,Kobe Bryant,57,36,21,.632,46,30,16,.652,11,6,5,.545
jacksma02,Marc Jackson,56,23,33,.411,56,23,33,.411,0,0,0,
hendege02,Gerald Henderson,55,23,32,.418,54,23,31,.426,1,0,1,.000
rushka01,Kareem Rush,54,35,19,.648,45,30,15,.667,9,5,4,.556
johnsiv01,Ivan Johnson,53,31,22,.585,49,30,19,.612,4,1,3,.250
johnsja01,James Johnson,53,19,34,.358,51,19,32,.373,2,0,2,.000
sweetmi01,Mike Sweetney,53,25,28,.472,48,23,25,.479,5,2,3,.400
georgde01,Devean George,50,34,16,.680,40,28,12,.700,10,6,4,.600
noahjo01,Joakim Noah,49,22,27,.449,47,22,25,.468,2,0,2,.000
johnsjo02,Joe Johnson,49,27,22,.551,44,26,18,.591,5,1,4,.200
walkeke02,Kemba Walker*,48,19,29,.396,47,19,28,.404,1,0,1,.000
davisan01,Antonio Davis,48,23,25,.479,43,22,21,.512,5,1,4,.200
allenma01,Malik Allen,47,23,24,.489,42,21,21,.500,5,2,3,.400
pachuza01,Zaza Pachulia,47,28,19,.596,47,28,19,.596,0,0,0,
mcrobjo01,Josh McRoberts,46,21,25,.457,45,21,24,.467,1,0,1,.000
mcgratr01,Tracy McGrady,46,26,20,.565,41,25,16,.610,5,1,4,.200
kiddgmi01,Michael Kidd-Gilchrist,46,23,23,.500,45,23,22,.511,1,0,1,.000
onealsh01,Shaquille O'Neal,45,32,13,.711,34,26,8,.765,11,6,5,.545
radmavl01,Vladimir Radmanović,44,25,19,.568,42,25,17,.595,2,0,2,.000
horryro01,Robert Horry,44,25,19,.568,33,19,14,.576,11,6,5,.545
greenwi01,Willie Green,43,24,19,.558,39,23,16,.590,4,1,3,.250
simmoce01,Cedric Simmons,43,19,24,.442,43,19,24,.442,0,0,0,
medvest01,Stanislav Medvedenko,42,24,18,.571,33,19,14,.576,9,5,4,.556
shawbr01,Brian Shaw,40,23,17,.575,29,17,12,.586,11,6,5,.545
zelleco01,Cody Zeller*,39,17,22,.436,38,17,21,.447,1,0,1,.000
songada01,Darius Songaila,38,14,24,.368,38,14,24,.368,0,0,0,
jeffeal01,Al Jefferson,38,17,21,.447,37,17,20,.459,1,0,1,.000
walkesa01,Samaki Walker,36,20,16,.556,28,15,13,.536,8,5,3,.625
griffad01,Adrian Griffin,35,18,17,.514,30,17,13,.567,5,1,4,.200
wellsbo01,Bonzi Wells,34,20,14,.588,22,13,9,.591,12,7,5,.583
salmojo01,John Salmons,34,14,20,.412,34,14,20,.412,0,0,0,
madsema01,Mark Madsen,33,22,11,.667,22,16,6,.727,11,6,5,.545
foxri01,Rick Fox,32,20,12,.625,28,18,10,.643,4,2,2,.500
tollian01,Anthony Tolliver*,31,15,16,.484,30,15,15,.500,1,0,1,.000
curryed01,Eddy Curry,29,13,16,.448,29,13,16,.448,0,0,0,
murraro01,Ronald Murray,29,12,17,.414,27,12,15,.444,2,0,2,.000
warriha01,Hakim Warrick,28,11,17,.393,26,11,15,.423,2,0,2,.000
jamesmi01,Mike James,25,13,12,.520,21,11,10,.524,4,2,2,.500
adrieje01,Jeff Adrien,25,11,14,.440,25,11,14,.440,0,0,0,
vincima01,Marcus Vinicius,25,15,10,.600,25,15,10,.600,0,0,0,
collija04,Jason Collins,24,15,9,.625,20,14,6,.700,4,1,3,.250
thomaty01,Tyrus Thomas,24,13,11,.542,24,13,11,.542,0,0,0,
stackje01,Jerry Stackhouse,23,13,10,.565,23,13,10,.565,0,0,0,
douglch01,Chris Douglas-Roberts,23,12,11,.522,22,12,10,.545,1,0,1,.000
bassbr01,Brandon Bass,21,8,13,.381,21,8,13,.381,0,0,0,
tayloje03,Jeff Taylor,20,9,11,.450,20,9,11,.450,0,0,0,
sessira01,Ramon Sessions,20,9,11,.450,20,9,11,.450,0,0,0,
horfoal01,Al Horford,19,10,9,.526,17,10,7,.588,2,0,2,.000
schenlu01,Luke Schenscher,19,11,8,.579,16,10,6,.625,3,1,2,.333
richach01,Chris Richard,19,6,13,.316,17,6,11,.353,2,0,2,.000
dampier01,Erick Dampier,14,4,10,.286,11,4,7,.364,3,0,3,.000
nealga01,Gary Neal,14,6,8,.429,13,6,7,.462,1,0,1,.000
reineja01,Jared Reiner,13,5,8,.385,11,4,7,.364,2,1,1,.500
crawfja01,Jamal Crawford,13,3,10,.231,13,3,10,.231,0,0,0,
hunteli01,Lindsey Hunter,13,2,11,.154,13,2,11,.154,0,0,0,
malonka01,Karl Malone,13,11,2,.846,13,11,2,.846,0,0,0,
duprero01,Ronald Dupree,13,3,10,.231,13,3,10,.231,0,0,0,
russebr01,Bryon Russell,13,11,2,.846,13,11,2,.846,0,0,0,
grantho01,Horace Grant,13,11,2,.846,13,11,2,.846,0,0,0,
paytoga01,Gary Payton,13,11,2,.846,13,11,2,.846,0,0,0,
lawac01,Acie Law,12,3,9,.250,12,3,9,.250,0,0,0,
waltolu01,Luke Walton,11,10,1,.909,11,10,1,.909,0,0,0,
basdeed01,Eddie Basden,11,6,5,.545,11,6,5,.545,0,0,0,
