id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
beatyze01,Zelmo Beaty,50,27,23,.540,45,24,21,.533,5,3,2,.600
farmemi01,Mike Farmer*,50,27,23,.540,45,24,21,.533,5,3,2,.600
hagancl01,Cliff Hagan*,49,26,23,.531,44,23,21,.523,5,3,2,.600
pettibo01,Bob Pettit*,49,27,22,.551,44,24,20,.545,5,3,2,.600
barnhjo01,John Barnhill*,47,26,21,.553,42,23,19,.548,5,3,2,.600
vaughch01,Chico Vaughn*,47,25,22,.532,42,22,20,.524,5,3,2,.600
scottra01,Ray Scott,46,12,34,.261,46,12,34,.261,0,0,0,
wilkele01,Lenny Wilkens,45,25,20,.556,40,22,18,.550,5,3,2,.600
butchdo01,Donnie Butcher*,44,10,34,.227,44,10,34,.227,0,0,0,
jordoph01,Phil Jordon*,43,25,18,.581,39,22,17,.564,4,3,1,.750
morelja01,Jackie Moreland*,42,10,32,.238,42,10,32,.238,0,0,0,
howelba01,Bailey Howell,42,11,31,.262,42,11,31,.262,0,0,0,
ferrybo01,Bob Ferry,40,9,31,.225,40,9,31,.225,0,0,0,
joneswi01,Willie Jones*,40,10,30,.250,40,10,30,.250,0,0,0,
ohldo01,Don Ohl,37,9,28,.243,37,9,28,.243,0,0,0,
hardire01,Reggie Harding,34,8,26,.235,34,8,26,.235,0,0,0,
milesed01,Eddie Miles,34,6,28,.176,34,6,28,.176,0,0,0,
imhofda01,Darrall Imhoff,28,6,22,.214,28,6,22,.214,0,0,0,
bridgbi01,Bill Bridges,25,14,11,.560,20,11,9,.550,5,3,2,.600
cableba01,Barney Cable*,24,14,10,.583,24,14,10,.583,0,0,0,
nordmbe01,Bevo Nordmann*,17,7,10,.412,17,7,10,.412,0,0,0,
sauldwo01,Woody Sauldsberry*,14,7,7,.500,14,7,7,.500,0,0,0,
debusda01,Dave DeBusschere,13,3,10,.231,13,3,10,.231,0,0,0,
tormobu01,Gene Tormohlen*,13,7,6,.538,8,4,4,.500,5,3,2,.600
mantini01,Nick Mantis,6,3,3,.500,6,3,3,.500,0,0,0,
hooveto01,Tom Hoover*,4,0,4,.000,4,0,4,.000,0,0,0,
thornro01,Rod Thorn*,4,1,3,.250,4,1,3,.250,0,0,0,
reedhu01,Hub Reed*,4,1,3,.250,4,1,3,.250,0,0,0,
dischte01,Terry Dischinger,4,1,3,.250,4,1,3,.250,0,0,0,
chapple01,Len Chappell*,4,0,4,.000,4,0,4,.000,0,0,0,
golato01,Tom Gola,4,0,4,.000,4,0,4,.000,0,0,0,
kojisdo01,Don Kojis*,4,1,3,.250,4,1,3,.250,0,0,0,
butleal01,Al Butler,4,0,4,.000,4,0,4,.000,0,0,0,
heymaar01,Art Heyman,4,0,4,.000,4,0,4,.000,0,0,0,
mcgilbi01,Bill McGill,4,0,4,.000,4,0,4,.000,0,0,0,
conlege01,Gene Conley*,4,0,4,.000,4,0,4,.000,0,0,0,
greenjo01,Johnny Green*,4,0,4,.000,4,0,4,.000,0,0,0,
rudomjo01,John Rudometkin*,3,0,3,.000,3,0,3,.000,0,0,0,
buddda01,Dave Budd*,2,0,2,.000,2,0,2,.000,0,0,0,
wardge01,Gerry Ward*,2,1,1,.500,2,1,1,.500,0,0,0,
gueriri01,Richie Guerin,1,1,0,1.000,1,1,0,1.000,0,0,0,
