id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
lillada01,Damian Lillard*,285,163,122,.572,269,159,110,.591,16,4,12,.250
mccolcj01,CJ McCollum*,263,148,115,.563,246,144,102,.585,17,4,13,.235
simonan01,Anfernee Simons,162,86,76,.531,152,84,68,.553,10,2,8,.200
aminual01,Al-Farouq Aminu,161,97,64,.602,156,97,59,.622,5,0,5,.000
turneev01,Evan Turner,152,94,58,.618,148,94,54,.635,4,0,4,.000
colliza01,Zach Collins*,143,90,53,.629,138,89,49,.645,5,1,4,.200
harklma01,Maurice Harkless,132,79,53,.598,129,79,50,.612,3,0,3,.000
farieke01,Kenneth Faried,118,48,70,.407,118,48,70,.407,0,0,0,
leoname01,Meyers Leonard,107,61,46,.570,105,61,44,.581,2,0,2,.000
laymaja01,Jake Layman,101,64,37,.634,100,64,36,.640,1,0,1,.000
chandwi01,Wilson Chandler,99,38,61,.384,99,38,61,.384,0,0,0,
gallida01,Danilo Gallinari*,96,39,57,.406,96,39,57,.406,0,0,0,
napiesh01,Shabazz Napier,93,56,37,.602,90,56,34,.622,3,0,3,.000
harriga01,Gary Harris,93,36,57,.387,93,36,57,.387,0,0,0,
littlna01,Nassir Little,93,46,47,.495,90,45,45,.500,3,1,2,.333
covinro01,Robert Covington*,91,45,46,.495,85,43,42,.506,6,2,4,.333
connapa01,Pat Connaughton,91,54,37,.593,87,54,33,.621,4,0,4,.000
arthuda01,Darrell Arthur,87,33,54,.379,87,33,54,.379,0,0,0,
bartowi01,Will Barton*,83,36,47,.434,83,36,47,.434,0,0,0,
davised01,Ed Davis,81,48,33,.593,77,48,29,.623,4,0,4,.000
nelsoja01,Jameer Nelson,78,28,50,.359,78,28,50,.359,0,0,0,
jokicni01,Nikola Jokić,70,32,38,.457,70,32,38,.457,0,0,0,
watfotr01,Trendon Watford,68,31,37,.456,68,31,37,.456,0,0,0,
mudiaem01,Emmanuel Mudiay,67,29,38,.433,67,29,38,.433,0,0,0,
powelno01,Norman Powell*,67,29,38,.433,61,27,34,.443,6,2,4,.333
curryse01,Seth Curry*,66,42,24,.636,66,42,24,.636,0,0,0,
hicksjj01,J.J. Hickson,58,20,38,.345,58,20,38,.345,0,0,0,
kanteen01,Enes Freedom,57,36,21,.632,52,34,18,.654,5,2,3,.400
lawsoty01,Ty Lawson,55,20,35,.364,55,20,35,.364,0,0,0,
foyera01,Randy Foye,55,16,39,.291,55,16,39,.291,0,0,0,
