id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
grabojo01,Joe Graboski*,383,206,177,.538,359,193,166,.538,24,13,11,.542
arizipa01,Paul Arizin,360,195,165,.542,336,182,154,.542,24,13,11,.542
georgja01,Jack George*,282,148,134,.525,262,138,124,.527,20,10,10,.500
golato01,Tom Gola,271,152,119,.561,249,139,110,.558,22,13,9,.591
johnsne01,Neil Johnston*,266,141,125,.530,246,131,115,.533,20,10,10,.500
dempsge01,George Dempsey,245,131,114,.535,225,121,104,.538,20,10,10,.500
sauldwo01,Woody Sauldsberry*,224,117,107,.522,212,111,101,.524,12,6,6,.500
daviswa01,Walt Davis*,192,105,87,.547,180,98,82,.544,12,7,5,.583
johnsan01,Andy Johnson,135,72,63,.533,131,69,62,.527,4,3,1,.750
mooreja01,Jackie Moore,116,68,48,.586,107,63,44,.589,9,5,4,.556
rodgegu01,Guy Rodgers,108,58,50,.537,104,55,49,.529,4,3,1,.750
hattove01,Vern Hatton*,105,58,47,.552,101,55,46,.545,4,3,1,.750
rosenle01,Lennie Rosenbluth,84,35,49,.417,80,33,47,.412,4,2,2,.500
costela01,Larry Costello,76,37,39,.487,74,37,37,.500,2,0,2,.000
chambwi01,Wilt Chamberlain,67,41,26,.612,63,38,25,.603,4,3,1,.750
hennela01,Larry Hennessy,53,35,18,.660,50,33,17,.660,3,2,1,.667
ruklijo01,Joe Ruklick*,40,29,11,.725,36,26,10,.722,4,3,1,.750
hitchle01,Lew Hitch*,40,18,22,.450,38,18,20,.474,2,0,2,.000
dunnpa01,Pat Dunn,31,15,16,.484,28,14,14,.500,3,1,2,.333
sparrgu01,Guy Sparrow*,31,16,15,.516,31,16,15,.516,0,0,0,
rolliph01,Phil Rollins,21,8,13,.381,21,8,13,.381,0,0,0,
armstbo01,Bob Armstrong*,20,12,8,.600,20,12,8,.600,0,0,0,
walthpa01,Paul Walther*,15,6,9,.400,15,6,9,.400,0,0,0,
fulksjo01,Joe Fulks*,15,6,9,.400,15,6,9,.400,0,0,0,
zawolze01,Zeke Zawoluk,14,6,8,.429,14,6,8,.429,0,0,0,
senesge01,George Senesky*,14,6,8,.429,14,6,8,.429,0,0,0,
finnda01,Danny Finn,13,4,9,.308,13,4,9,.308,0,0,0,
walshji01,Jim Walsh,10,3,7,.300,10,3,7,.300,0,0,0,
schafbo01,Bob Schafer,9,8,1,.889,9,8,1,.889,0,0,0,
lacoufr01,Fred LaCour,8,5,3,.625,8,5,3,.625,0,0,0,
ferraal01,Al Ferrari*,8,5,3,.625,8,5,3,.625,0,0,0,
mccarjo01,Johnny McCarthy,8,5,3,.625,8,5,3,.625,0,0,0,
foustla01,Larry Foust*,8,5,3,.625,8,5,3,.625,0,0,0,
greensi01,Si Green*,8,5,3,.625,8,5,3,.625,0,0,0,
hagancl01,Cliff Hagan*,8,5,3,.625,8,5,3,.625,0,0,0,
wilkele01,Lenny Wilkens,8,5,3,.625,8,5,3,.625,0,0,0,
pettibo01,Bob Pettit*,8,5,3,.625,8,5,3,.625,0,0,0,
piontda01,Dave Piontek*,7,5,2,.714,7,5,2,.714,0,0,0,
lovelcl01,Clyde Lovellette*,7,5,2,.714,7,5,2,.714,0,0,0,
phelaja02,Jim Phelan,3,1,2,.333,3,1,2,.333,0,0,0,
learha01,Hal Lear,3,1,2,.333,3,1,2,.333,0,0,0,
kerrre01,Red Kerr*,2,0,2,.000,2,0,2,.000,0,0,0,
barnedi01,Dick Barnett,2,0,2,.000,2,0,2,.000,0,0,0,
cableba01,Barney Cable*,2,0,2,.000,2,0,2,.000,0,0,0,
greerha01,Hal Greer,2,0,2,.000,2,0,2,.000,0,0,0,
schaydo01,Dolph Schayes*,2,0,2,.000,2,0,2,.000,0,0,0,
gambeda01,Dave Gambee*,2,0,2,.000,2,0,2,.000,0,0,0,
biancal01,Al Bianchi,2,0,2,.000,2,0,2,.000,0,0,0,
halbrsw01,Swede Halbrook,2,0,2,.000,2,0,2,.000,0,0,0,
radzira01,Ray Radziszewski,1,0,1,.000,1,0,1,.000,0,0,0,
roberjo01,Joe Roberts*,1,0,1,.000,1,0,1,.000,0,0,0,
grekino01,Norm Grekin,1,1,0,1.000,1,1,0,1.000,0,0,0,
