id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
kuberst01,Steve Kuberski,28,18,10,.643,25,17,8,.680,3,1,2,.333
nelsodo01,Don Nelson,28,18,10,.643,25,17,8,.680,3,1,2,.333
havlijo01,John Havlicek,28,18,10,.643,25,17,8,.680,3,1,2,.333
williar01,Art Williams*,28,18,10,.643,25,17,8,.680,3,1,2,.333
sandeto01,Tom Sanders*,28,18,10,.643,25,17,8,.680,3,1,2,.333
whitejo01,Jo Jo White*,27,17,10,.630,24,16,8,.667,3,1,2,.333
finkeha01,Hank Finkel*,27,18,9,.667,25,17,8,.680,2,1,1,.500
chanedo01,Don Chaney,27,17,10,.630,24,16,8,.667,3,1,2,.333
cowenda01,Dave Cowens,27,17,10,.630,24,16,8,.667,3,1,2,.333
morgare01,Rex Morgan,25,17,8,.680,22,16,6,.727,3,1,2,.333
smithga01,Garfield Smith,21,16,5,.762,18,15,3,.833,3,1,2,.333
