id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
hieldbu01,Buddy Hield,190,79,111,.416,190,79,111,.416,0,0,0,
barneha02,Harrison Barnes,98,40,58,.408,98,40,58,.408,0,0,0,
foxde01,De'Aaron Fox,91,39,52,.429,91,39,52,.429,0,0,0,
holmeri01,Richaun Holmes,82,36,46,.439,82,36,46,.439,0,0,0,
smithja04,Jalen Smith,70,31,39,.443,70,31,39,.443,0,0,0,
brissos01,Oshae Brissett*,65,27,38,.415,65,27,38,.415,0,0,0,
baglema01,Marvin Bagley III,62,25,37,.403,62,25,37,.403,0,0,0,
metuch01,Chimezie Metu,62,26,36,.419,62,26,36,.419,0,0,0,
mccontj01,T.J. McConnell*,58,27,31,.466,58,27,31,.466,0,0,0,
jacksis01,Isaiah Jackson,57,20,37,.351,57,20,37,.351,0,0,0,
mathube01,Bennedict Mathurin,56,28,28,.500,56,28,28,.500,0,0,0,
harklma01,Maurice Harkless,53,20,33,.377,53,20,33,.377,0,0,0,
nembhan01,Andrew Nembhard,51,26,25,.510,51,26,25,.510,0,0,0,
turnemy01,Myles Turner,48,26,22,.542,48,26,22,.542,0,0,0,
nesmiaa01,Aaron Nesmith*,48,23,25,.479,48,23,25,.479,0,0,0,
daviste02,Terence Davis,46,18,28,.391,46,18,28,.391,0,0,0,
mitchda01,Davion Mitchell,45,18,27,.400,45,18,27,.400,0,0,0,
taylote01,Terry Taylor,42,13,29,.310,42,13,29,.310,0,0,0,
duartch01,Chris Duarte,40,19,21,.475,40,19,21,.475,0,0,0,
jonesda03,Damian Jones,40,15,25,.375,40,15,25,.375,0,0,0,
josepco01,Cory Joseph,38,17,21,.447,38,17,21,.447,0,0,0,
bitadgo01,Goga Bitadze*,37,13,24,.351,37,13,24,.351,0,0,0,
whiteha01,Hassan Whiteside*,35,16,19,.457,35,16,19,.457,0,0,0,
thomptr01,Tristan Thompson*,33,12,21,.364,33,12,21,.364,0,0,0,
lenal01,Alex Len*,29,13,16,.448,29,13,16,.448,0,0,0,
jamesju01,Justin James,27,10,17,.370,27,10,17,.370,0,0,0,
washidu02,Duane Washington Jr.,24,6,18,.250,24,6,18,.250,0,0,0,
guyky01,Kyle Guy,22,6,16,.273,22,6,16,.273,0,0,0,
ramseja01,Jahmi'us Ramsey,22,3,19,.136,22,3,19,.136,0,0,0,
woodaro01,Robert Woodard II,21,3,18,.143,21,3,18,.143,0,0,0,
robingl02,Glenn Robinson III,21,9,12,.429,21,9,12,.429,0,0,0,
stephla01,Lance Stephenson,20,4,16,.200,20,4,16,.200,0,0,0,
bjeline01,Nemanja Bjelica,20,8,12,.400,20,8,12,.400,0,0,0,
wrighde01,Delon Wright*,19,7,12,.368,19,7,12,.368,0,0,0,
sykeske01,Keifer Sykes,14,3,11,.214,14,3,11,.214,0,0,0,
jeffrda01,DaQuan Jeffries,14,3,11,.214,14,3,11,.214,0,0,0,
anderju01,Justin Anderson,10,2,8,.200,10,2,8,.200,0,0,0,
johnsja01,James Johnson,10,5,5,.500,10,5,5,.500,0,0,0,
quetane01,Neemias Queta,10,2,8,.200,10,2,8,.200,0,0,0,
nworajo01,Jordan Nwora,10,5,5,.500,10,5,5,.500,0,0,0,
kinglo02,Louis King,9,2,7,.222,9,2,7,.222,0,0,0,
brogdma01,Malcolm Brogdon*,8,3,5,.375,8,3,5,.375,0,0,0,
theisda01,Daniel Theis,7,1,6,.143,7,1,6,.143,0,0,0,
silvach01,Chris Silva,4,2,2,.500,4,2,2,.500,0,0,0,
brownke03,Kendall Brown,4,0,4,.000,4,0,4,.000,0,0,0,
parkeja01,Jabari Parker,3,0,3,.000,3,0,3,.000,0,0,0,
robinju01,Justin Robinson,3,1,2,.333,3,1,2,.333,0,0,0,
yorkga01,Gabe York,2,0,2,.000,2,0,2,.000,0,0,0,
mudiaem01,Emmanuel Mudiay,2,0,2,.000,2,0,2,.000,0,0,0,
hillge01,George Hill,2,0,2,.000,2,0,2,.000,0,0,0,
murkead01,Ade Murkey,1,0,1,.000,1,0,1,.000,0,0,0,
pelleno01,Norvel Pelle,1,0,1,.000,1,0,1,.000,0,0,0,
