id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
malonka01,Karl Malone,369,262,107,.710,306,224,82,.732,63,38,25,.603
hornaje01,Jeff Hornacek,366,259,107,.708,303,221,82,.729,63,38,25,.603
wilkido01,Dominique Wilkins,361,207,154,.573,335,195,140,.582,26,12,14,.462
levincl01,Cliff Levingston,357,209,148,.585,331,197,134,.595,26,12,14,.462
stockjo01,John Stockton,351,251,100,.715,288,213,75,.740,63,38,25,.603
riverdo01,Doc Rivers,333,195,138,.586,308,184,124,.597,25,11,14,.440
russebr01,Bryon Russell,324,234,90,.722,264,198,66,.750,60,36,24,.600
keefead01,Adam Keefe,321,227,94,.707,277,204,73,.736,44,23,21,.523
willike02,Kevin Willis,283,155,128,.548,262,145,117,.553,21,10,11,.476
eisleho01,Howard Eisley,271,191,80,.705,213,155,58,.728,58,36,22,.621
webbsp01,Spud Webb,266,157,109,.590,241,145,96,.602,25,12,13,.480
fostegr01,Greg Foster,264,187,77,.708,212,154,58,.726,52,33,19,.635
battljo01,John Battle,252,157,95,.623,227,145,82,.639,25,12,13,.480
koncajo01,Jon Koncak,251,153,98,.610,238,147,91,.618,13,6,7,.462
ostergr01,Greg Ostertag,233,165,68,.708,179,130,49,.726,54,35,19,.648
morrich01,Chris Morris,231,166,65,.719,176,132,44,.750,55,34,21,.618
rollitr01,Tree Rollins,217,127,90,.585,196,117,79,.597,21,10,11,.476
wittmra01,Randy Wittman,206,119,87,.578,185,109,76,.589,21,10,11,.476
robinda01,David Robinson,183,110,73,.601,172,104,68,.605,11,6,5,.545
andersh01,Shandon Anderson,169,128,41,.757,131,104,27,.794,38,24,14,.632
benoida01,David Benoit,165,112,53,.679,146,102,44,.699,19,10,9,.526
hastisc01,Scott Hastings,158,84,74,.532,143,77,66,.538,15,7,8,.467
elliose01,Sean Elliott,152,89,63,.586,141,84,57,.596,11,5,6,.455
anderwi01,Willie Anderson,136,78,58,.574,125,72,53,.576,11,6,5,.545
delnevi01,Vinny Del Negro,134,68,66,.507,124,63,61,.508,10,5,5,.500
malonmo01,Moses Malone,125,72,53,.576,120,70,50,.583,5,2,3,.400
spencfe01,Felton Spencer,122,79,43,.648,104,69,35,.663,18,10,8,.556
ellisda01,Dale Ellis,111,66,45,.595,100,60,40,.600,11,6,5,.545
cummite01,Terry Cummings,109,60,49,.550,95,54,41,.568,14,6,8,.429
daniell01,Lloyd Daniels,102,58,44,.569,93,53,40,.570,9,5,4,.556
greensi02,Sidney Green,95,51,44,.537,92,51,41,.554,3,0,3,.000
reidjr01,J.R. Reid,94,57,37,.606,83,51,32,.614,11,6,5,.545
johnsav01,Avery Johnson,93,58,35,.624,85,53,32,.624,8,5,3,.625
watsoja01,Jamie Watson,88,65,23,.739,83,63,20,.759,5,2,3,.400
theusre01,Reggie Theus,83,52,31,.627,78,50,28,.641,5,2,3,.400
chambto01,Tom Chambers,82,60,22,.732,77,58,19,.753,5,2,3,.400
crottjo01,John Crotty,79,58,21,.734,76,57,19,.750,3,1,2,.333
mcgeemi01,Mike McGee,78,49,29,.628,70,45,25,.643,8,4,4,.500
sparrro01,Rory Sparrow,75,22,53,.293,75,22,53,.293,0,0,0,
simmoli01,Lionel Simmons,74,24,50,.324,74,24,50,.324,0,0,0,
causwdu01,Duane Causwell,73,24,49,.329,73,24,49,.329,0,0,0,
