id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
loganjo01,John Logan,61,37,24,.607,58,36,22,.621,3,1,2,.333
rouxgi01,Giff Roux*,60,37,23,.617,57,36,21,.632,3,1,2,.333
putnado01,Don Putman*,60,36,24,.600,57,35,22,.614,3,1,2,.333
dollbo01,Bob Doll,60,36,24,.600,57,35,22,.614,3,1,2,.333
baltihe01,Herschel Baltimore,59,35,24,.593,56,34,22,.607,3,1,2,.333
munroge01,George Munroe*,59,36,23,.610,56,35,21,.625,3,1,2,.333
hankice01,Cecil Hankins,55,36,19,.655,53,35,18,.660,2,1,1,.500
barrjo01,John Barr*,54,34,20,.630,54,34,20,.630,0,0,0,
martido01,Don Martin*,52,30,22,.577,49,29,20,.592,3,1,2,.333
smithde01,Deb Smith*,46,30,16,.652,45,29,16,.644,1,1,0,1.000
smawlbe01,Belus Smawley*,22,10,12,.455,19,9,10,.474,3,1,2,.333
jacobfr01,Fred Jacobs*,17,13,4,.765,17,13,4,.765,0,0,0,
siewera01,Ralph Siewert,7,4,3,.571,7,4,3,.571,0,0,0,
