id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
walkeda01,Darrell Walker,53,19,34,.358,53,19,34,.358,0,0,0,
orrlo01,Louis Orr,50,18,32,.360,50,18,32,.360,0,0,0,
sparrro01,Rory Sparrow,50,17,33,.340,50,17,33,.340,0,0,0,
tucketr01,Trent Tucker,49,15,34,.306,49,15,34,.306,0,0,0,
bannike01,Ken Bannister,46,18,28,.391,46,18,28,.391,0,0,0,
baileja01,James Bailey,45,16,29,.356,45,16,29,.356,0,0,0,
cartebu01,Butch Carter,45,18,27,.400,45,18,27,.400,0,0,0,
grunfer01,Ernie Grunfeld,42,17,25,.405,42,17,25,.405,0,0,0,
cummipa01,Pat Cummings,38,16,22,.421,38,16,22,.421,0,0,0,
wilkied01,Eddie Lee Wilkins,38,10,28,.263,38,10,28,.263,0,0,0,
kingbe01,Bernard King,34,14,20,.412,34,14,20,.412,0,0,0,
shackch01,Charles Shackleford,5,1,4,.200,5,1,4,.200,0,0,0,
connele01,Lester Conner,5,1,4,.200,5,1,4,.200,0,0,0,
willike01,Kevin Williams,5,1,4,.200,5,1,4,.200,0,0,0,
hinsoro01,Roy Hinson,5,1,4,.200,5,1,4,.200,0,0,0,
mcgeemi01,Mike McGee,5,1,4,.200,5,1,4,.200,0,0,0,
baglejo01,John Bagley,5,1,4,.200,5,1,4,.200,0,0,0,
willibu01,Buck Williams,5,1,4,.200,5,1,4,.200,0,0,0,
berrywa01,Walter Berry,4,1,3,.250,4,1,3,.250,0,0,0,
morrich01,Chris Morris,3,0,3,.000,3,0,3,.000,0,0,0,
hopsode01,Dennis Hopson,3,0,3,.000,3,0,3,.000,0,0,0,
carrojo01,Joe Barry Carroll,1,0,1,.000,1,0,1,.000,0,0,0,
leeke01,Keith Lee,1,0,1,.000,1,0,1,.000,0,0,0,
