id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
rascobo01,Bobby Rascoe,18,8,10,.444,18,8,10,.444,0,0,0,
ligongo01,Goose Ligon,18,8,10,.444,18,8,10,.444,0,0,0,
bayneho01,Howard Bayne*,18,8,10,.444,18,8,10,.444,0,0,0,
carrida01,Darel Carrier*,17,7,10,.412,17,7,10,.412,0,0,0,
dampilo01,Louie Dampier*,17,8,9,.471,17,8,9,.471,0,0,0,
mahafra01,Randy Mahaffey,17,8,9,.471,17,8,9,.471,0,0,0,
nashco01,Cotton Nash,16,6,10,.375,16,6,10,.375,0,0,0,
caldwji01,Jim Caldwell,14,7,7,.500,14,7,7,.500,0,0,0,
bradlbi02,Bill Bradley*,13,6,7,.462,13,6,7,.462,0,0,0,
rhineke01,Kendall Rhine,12,5,7,.417,12,5,7,.417,0,0,0,
russeru01,Rubin Russell*,7,2,5,.286,7,2,5,.286,0,0,0,
johnsst01,Stew Johnson*,4,1,3,.250,4,1,3,.250,0,0,0,
bowlior01,Orb Bowling*,1,1,0,1.000,1,1,0,1.000,0,0,0,
