id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
bayloel01,Elgin Baylor,703,426,277,.606,593,365,228,.616,110,61,49,.555
larusru01,Rudy LaRusso,526,302,224,.574,458,269,189,.587,68,33,35,.485
goodrga01,Gail Goodrich,468,304,164,.650,413,271,142,.656,55,33,22,.600
ellisle01,Leroy Ellis,413,272,141,.659,357,242,115,.678,56,30,26,.536
hawkito01,Tom Hawkins*,371,218,153,.588,316,186,130,.589,55,32,23,.582
chambwi01,Wilt Chamberlain,356,257,99,.722,288,214,74,.743,68,43,25,.632
countme01,Mel Counts,342,220,122,.643,277,181,96,.653,65,39,26,.600
selvyfr01,Frank Selvy*,312,185,127,.593,271,165,106,.609,41,20,21,.488
erickke01,Keith Erickson,309,213,96,.689,257,182,75,.708,52,31,21,.596
imhofda01,Darrall Imhoff,306,177,129,.578,265,155,110,.585,41,22,19,.537
krebsji01,Jim Krebs*,303,178,125,.587,263,158,105,.601,40,20,20,.500
wileyge01,Gene Wiley*,288,173,115,.601,260,162,98,.623,28,11,17,.393
hairsha01,Happy Hairston,279,203,76,.728,244,179,65,.734,35,24,11,.686
mcmilji01,Jim McMillian*,243,183,60,.753,211,162,49,.768,32,21,11,.656
kingji01,Jim King,227,133,94,.586,200,121,79,.605,27,12,15,.444
abdulma01,Walt Hazzard*,225,123,102,.547,203,115,88,.567,22,8,14,.364
hundlho01,Hot Rod Hundley*,224,130,94,.580,192,114,78,.594,32,16,16,.500
barnedi01,Dick Barnett,221,137,84,.620,193,124,69,.642,28,13,15,.464
rileypa01,Pat Riley,194,144,50,.742,171,127,44,.743,23,17,6,.739
felixra01,Ray Felix*,178,100,78,.562,153,87,66,.569,25,13,12,.520
eganjo01,Johnny Egan*,159,100,59,.629,125,80,45,.640,34,20,14,.588
jolifho01,Howie Jolliff*,144,86,58,.597,131,80,51,.611,13,6,7,.462
roberri01,Rick Roberson,127,82,45,.646,118,75,43,.636,9,7,2,.778
clarkar01,Archie Clark*,126,71,55,.563,110,61,49,.555,16,10,6,.625
nelsodo01,Don Nelson,122,66,56,.541,106,59,47,.557,16,7,9,.438
mccarwi01,Willie McCarter,105,64,41,.610,100,59,41,.590,5,5,0,1.000
crawffr01,Freddie Crawford,103,75,28,.728,83,61,22,.735,20,14,6,.700
bridgbi01,Bill Bridges,98,68,30,.694,80,58,22,.725,18,10,8,.556
