id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
schuldi01,Dick Schulz*,146,85,61,.582,123,70,53,.569,23,15,8,.652
mckinbo01,Bones McKinney,91,55,36,.604,79,49,30,.620,12,6,6,.500
hertzso01,Sonny Hertzberg*,91,55,36,.604,78,49,29,.628,13,6,7,.462
kudelfr01,Frank Kudelka*,84,44,40,.524,80,44,36,.550,4,0,4,.000
barnhle01,Leo Barnhorst,74,39,35,.527,71,39,32,.549,3,0,3,.000
norlajo01,Johnny Norlander*,71,44,27,.620,60,38,22,.633,11,6,5,.545
spearod01,Odie Spears*,69,38,31,.551,66,38,28,.576,3,0,3,.000
zasloma01,Max Zaslofsky*,69,38,31,.551,66,38,28,.576,3,0,3,.000
miasest01,Stan Miasek*,68,38,30,.559,66,38,28,.576,2,0,2,.000
rollike01,Kenny Rollins*,68,36,32,.529,65,36,29,.554,3,0,3,.000
phillan01,Andy Phillip*,66,37,29,.561,63,37,26,.587,3,0,3,.000
zunicma01,Matt Zunic,65,41,24,.631,56,37,19,.661,9,4,5,.444
katkale01,Leo Katkaveck*,62,40,22,.645,53,35,18,.660,9,5,4,.556
meinhca01,Carl Meinhold*,60,37,23,.617,48,28,20,.583,12,9,3,.750
okeefdi01,Dick O'Keefe*,60,36,24,.600,49,30,19,.612,11,6,5,.545
feeribo01,Bob Feerick*,59,39,20,.661,58,38,20,.655,1,1,0,1.000
reisech01,Chick Reiser*,59,36,23,.610,47,27,20,.574,12,9,3,.750
jeannbu01,Buddy Jeannette,58,37,21,.638,46,28,18,.609,12,9,3,.750
scolafr01,Fred Scolari*,57,35,22,.614,48,31,17,.646,9,4,5,.444
grabojo01,Joe Graboski*,55,29,26,.527,53,29,24,.547,2,0,2,.000
nichoja01,Jack Nichols*,51,26,25,.510,40,20,20,.500,11,6,5,.545
fuetshe01,Herm Fuetsch*,50,30,20,.600,41,24,17,.585,9,6,3,.667
hoffmpa01,Paul Hoffman*,49,32,17,.653,37,23,14,.622,12,9,3,.750
eddledi01,Dike Eddleman,48,18,30,.375,48,18,30,.375,0,0,0,
brianfr01,Frankie Brian,48,18,30,.375,48,18,30,.375,0,0,0,
todormi01,Mike Todorovich,47,17,30,.362,47,17,30,.362,0,0,0,
perkiwa01,Warren Perkins*,46,17,29,.370,46,17,29,.370,0,0,0,
chrisca01,Cal Christensen*,45,16,29,.356,45,16,29,.356,0,0,0,
bradljo01,Joe Bradley*,42,24,18,.571,41,24,17,.585,1,0,1,.000
nostrge01,George Nostrand,34,15,19,.441,33,15,18,.455,1,0,1,.000
bloommi01,Mike Bloom*,34,19,15,.559,34,19,15,.559,0,0,0,
lewisgr01,Grady Lewis*,33,22,11,.667,21,13,8,.619,12,9,3,.750
loganjo01,John Logan,30,14,16,.467,30,14,16,.467,0,0,0,
macaued01,Ed Macauley*,29,14,15,.483,27,14,13,.519,2,0,2,.000
harribo01,Bob Harris,29,14,15,.483,27,14,13,.519,2,0,2,.000
vancege01,Gene Vance*,29,15,14,.517,29,15,14,.517,0,0,0,
coopech01,Chuck Cooper,29,14,15,.483,27,14,13,.519,2,0,2,.000
cousybo01,Bob Cousy,29,14,15,.483,27,14,13,.519,2,0,2,.000
donhabo01,Bob Donham,29,14,15,.483,27,14,13,.519,2,0,2,.000
simmoco01,Connie Simmons*,26,19,7,.731,14,10,4,.714,12,9,3,.750
mogusle01,Leo Mogus*,25,11,14,.440,25,11,14,.440,0,0,0,
rotheir01,Irv Rothenberg*,25,12,13,.480,25,12,13,.480,0,0,0,
petered01,Ed Peterson*,23,9,14,.391,23,9,14,.391,0,0,0,
