id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
holidjr01,Jrue Holiday,13,8,5,.615,13,8,5,.615,0,0,0,
mooreet01,E'Twaun Moore,13,8,5,.615,13,8,5,.615,0,0,0,
milleda01,Darius Miller,13,8,5,.615,13,8,5,.615,0,0,0,
diallch01,Cheick Diallo,12,8,4,.667,12,8,4,.667,0,0,0,
davisan02,Anthony Davis*,12,8,4,.667,12,8,4,.667,0,0,0,
clarkia01,Ian Clark,11,7,4,.636,11,7,4,.636,0,0,0,
rondora01,Rajon Rondo*,11,7,4,.636,11,7,4,.636,0,0,0,
liggide01,DeAndre Liggins,6,5,1,.833,6,5,1,.833,0,0,0,
cunnida01,Dante Cunningham,6,3,3,.500,6,3,3,.500,0,0,0,
mirotni01,Nikola Mirotić,6,5,1,.833,6,5,1,.833,0,0,0,
couside01,DeMarcus Cousins,6,3,3,.500,6,3,3,.500,0,0,0,
okafoem01,Emeka Okafor,5,4,1,.800,5,4,1,.800,0,0,0,
nelsoja01,Jameer Nelson,5,3,2,.600,5,3,2,.600,0,0,0,
hillso01,Solomon Hill,4,3,1,.750,4,3,1,.750,0,0,0,
jonesja04,Jalen Jones,3,1,2,.333,3,1,2,.333,0,0,0,
asikom01,Ömer Aşık,2,0,2,.000,2,0,2,.000,0,0,0,
drewla02,Larry Drew II,2,1,1,.500,2,1,1,.500,0,0,0,
crawfjo02,Jordan Crawford,2,2,0,1.000,2,2,0,1.000,0,0,0,
smithjo03,Josh Smith,1,1,0,1.000,1,1,0,1.000,0,0,0,
allento01,Tony Allen,1,1,0,1.000,1,1,0,1.000,0,0,0,
jamesmi02,Mike James,1,0,1,.000,1,0,1,.000,0,0,0,
