id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
harpede01,Derek Harper,244,155,89,.635,220,144,76,.655,24,11,13,.458
donalja01,James Donaldson,239,153,86,.640,216,142,74,.657,23,11,12,.478
blackro01,Rolando Blackman,237,149,88,.629,213,138,75,.648,24,11,13,.458
davisbr01,Brad Davis,229,150,79,.655,208,139,69,.668,21,11,10,.524
perkisa01,Sam Perkins,228,148,80,.649,204,137,67,.672,24,11,13,.458
schrede01,Detlef Schrempf,183,118,65,.645,164,108,56,.659,19,10,9,.526
aguirma01,Mark Aguirre,182,119,63,.654,161,108,53,.671,21,11,10,.524
wennibi01,Bill Wennington,141,90,51,.638,128,87,41,.680,13,3,10,.231
blabuw01,Uwe Blab,108,72,36,.667,104,70,34,.673,4,2,2,.500
alforst01,Steve Alford,60,38,22,.633,53,36,17,.679,7,2,5,.286
willihe01,Herb Williams,56,35,21,.625,53,35,18,.660,3,0,3,.000
willilo01,Lorenzo Williams,55,26,29,.473,55,26,29,.473,0,0,0,
kiddja01,Jason Kidd,55,26,29,.473,55,26,29,.473,0,0,0,
jonespo01,Popeye Jones,53,25,28,.472,53,25,28,.472,0,0,0,
mashbja01,Jamal Mashburn,53,25,28,.472,53,25,28,.472,0,0,0,
harrilu01,Lucious Harris,53,24,29,.453,53,24,29,.453,0,0,0,
woodal01,Al Wood,47,32,15,.681,47,32,15,.681,0,0,0,
dumasto01,Tony Dumas,41,20,21,.488,41,20,21,.488,0,0,0,
smithdo03,Doug Smith,41,18,23,.439,41,18,23,.439,0,0,0,
jonesan01,Anthony Jones,40,26,14,.650,39,26,13,.667,1,0,1,.000
hodgedo01,Donald Hodge,34,14,20,.412,34,14,20,.412,0,0,0,
farmeji01,Jim Farmer,32,20,12,.625,29,19,10,.655,3,1,2,.333
wileymo01,Morlon Wiley,30,14,16,.467,30,14,16,.467,0,0,0,
brooksc01,Scott Brooks,29,15,14,.517,29,15,14,.517,0,0,0,
mccloge01,George McCloud,29,15,14,.517,29,15,14,.517,0,0,0,
whitera01,Randy White,28,17,11,.607,27,17,10,.630,1,0,1,.000
jacksji01,Jim Jackson,26,11,15,.423,26,11,15,.423,0,0,0,
daviste01,Terry Davis,26,11,15,.423,26,11,15,.423,0,0,0,
nuttde01,Dennis Nutt,26,19,7,.731,25,18,7,.720,1,1,0,1.000
dantlad01,Adrian Dantley,19,11,8,.579,19,11,8,.579,0,0,0,
tylerte01,Terry Tyler,11,7,4,.636,11,7,4,.636,0,0,0,
mccanbo01,Bob McCann,8,4,4,.500,8,4,4,.500,0,0,0,
jacksmy01,Myron Jackson,7,7,0,1.000,7,7,0,1.000,0,0,0,
englial01,Alex English,5,4,1,.800,5,4,1,.800,0,0,0,
mccraro01,Rodney McCray,5,4,1,.800,5,4,1,.800,0,0,0,
leverfa01,Fat Lever,4,3,1,.750,4,3,1,.750,0,0,0,
wadema01,Mark Wade,1,0,1,.000,1,0,1,.000,0,0,0,
shaskjo01,John Shasky,1,1,0,1.000,1,1,0,1.000,0,0,0,
