id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
roberfr01,Fred Roberts,58,33,25,.569,56,33,23,.589,2,0,2,.000
humphja01,Jay Humphries,57,34,23,.596,55,34,21,.618,2,0,2,.000
sikmaja01,Jack Sikma,54,34,20,.630,52,34,18,.654,2,0,2,.000
presspa01,Paul Pressey,51,32,19,.627,49,32,17,.653,2,0,2,.000
piercri01,Ricky Pierce,49,30,19,.612,47,30,17,.638,2,0,2,.000
grayeje01,Jeff Grayer,42,20,22,.476,40,20,20,.500,2,0,2,.000
brownto01,Tony Brown,38,19,19,.500,36,19,17,.528,2,0,2,.000
roberal01,Alvin Robertson,36,16,20,.444,34,16,18,.471,2,0,2,.000
kornefr01,Frank Kornet,33,14,19,.424,31,14,17,.452,2,0,2,.000
breuera01,Randy Breuer,31,19,12,.613,31,19,12,.613,0,0,0,
krystla01,Larry Krystkowiak,30,22,8,.733,30,22,8,.733,0,0,0,
cummite01,Terry Cummings,25,21,4,.840,25,21,4,.840,0,0,0,
andergr01,Greg Anderson,25,11,14,.440,23,11,12,.478,2,0,2,.000
lohaubr01,Brad Lohaus,25,12,13,.480,23,12,11,.522,2,0,2,.000
mokespa01,Paul Mokeski,24,20,4,.833,24,20,4,.833,0,0,0,
moncrsi01,Sidney Moncrief,19,15,4,.789,19,15,4,.789,0,0,0,
davisma01,Mark Davis,15,12,3,.800,15,12,3,.800,0,0,0,
colembe01,Ben Coleman,8,3,5,.375,8,3,5,.375,0,0,0,
hendege01,Gerald Henderson,5,2,3,.400,5,2,3,.400,0,0,0,
chapmre01,Rex Chapman,3,0,3,.000,3,0,3,.000,0,0,0,
butlemi02,Mitchell Butler,3,0,3,.000,3,0,3,.000,0,0,0,
guglito01,Tom Gugliotta,3,0,3,.000,3,0,3,.000,0,0,0,
adamsmi01,Michael Adams,3,0,3,.000,3,0,3,.000,0,0,0,
turnean01,Andre Turner,3,3,0,1.000,3,3,0,1.000,0,0,0,
macledo01,Don MacLean,3,0,3,.000,3,0,3,.000,0,0,0,
cheanca01,Calbert Cheaney,3,0,3,.000,3,0,3,.000,0,0,0,
duckwke01,Kevin Duckworth,3,0,3,.000,3,0,3,.000,0,0,0,
walkeke01,Kenny Walker,3,0,3,.000,3,0,3,.000,0,0,0,
dunlemi01,Mike Dunleavy,2,0,2,.000,2,0,2,.000,0,0,0,
greenri01,Rickey Green,2,2,0,1.000,2,2,0,1.000,0,0,0,
pricebr01,Brent Price,2,0,2,.000,2,0,2,.000,0,0,0,
overtdo01,Doug Overton,1,0,1,.000,1,0,1,.000,0,0,0,
smithla02,LaBradford Smith,1,0,1,.000,1,0,1,.000,0,0,0,
