id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
parkean01,Anthony Parker,5,5,0,1.000,5,5,0,1.000,0,0,0,
varejan01,Anderson Varejão,5,5,0,1.000,5,5,0,1.000,0,0,0,
greenda02,Danny Green,5,5,0,1.000,5,5,0,1.000,0,0,0,
hicksjj01,J.J. Hickson,5,5,0,1.000,5,5,0,1.000,0,0,0,
ilgauzy01,Zydrunas Ilgauskas,5,5,0,1.000,5,5,0,1.000,0,0,0,
gibsoda01,Daniel Gibson,5,5,0,1.000,5,5,0,1.000,0,0,0,
jamesle01,LeBron James*,5,5,0,1.000,5,5,0,1.000,0,0,0,
willija04,Jawad Williams,5,5,0,1.000,5,5,0,1.000,0,0,0,
onealsh01,Shaquille O'Neal,5,5,0,1.000,5,5,0,1.000,0,0,0,
singlja01,James Singleton,4,3,1,.750,4,3,1,.750,0,0,0,
mcgeeja01,JaVale McGee,4,3,1,.750,4,3,1,.750,0,0,0,
blatcan01,Andray Blatche,4,3,1,.750,4,3,1,.750,0,0,0,
youngni01,Nick Young,4,3,1,.750,4,3,1,.750,0,0,0,
martica01,Cartier Martin,4,3,1,.750,4,3,1,.750,0,0,0,
jacksda01,Darnell Jackson,4,4,0,1.000,4,4,0,1.000,0,0,0,
livinsh01,Shaun Livingston,4,3,1,.750,4,3,1,.750,0,0,0,
millemi01,Mike Miller,4,3,1,.750,4,3,1,.750,0,0,0,
moonja01,Jamario Moon,4,4,0,1.000,4,4,0,1.000,0,0,0,
obertfa01,Fabricio Oberto,4,3,1,.750,4,3,1,.750,0,0,0,
blairde01,DeJuan Blair,3,3,0,1.000,3,3,0,1.000,0,0,0,
hairsma01,Malik Hairston,3,3,0,1.000,3,3,0,1.000,0,0,0,
duncati01,Tim Duncan,3,3,0,1.000,3,3,0,1.000,0,0,0,
mcdyean01,Antonio McDyess,3,3,0,1.000,3,3,0,1.000,0,0,0,
jefferi01,Richard Jefferson,3,3,0,1.000,3,3,0,1.000,0,0,0,
mahinia01,Ian Mahinmi,3,3,0,1.000,3,3,0,1.000,0,0,0,
ginobma01,Manu Ginóbili,3,3,0,1.000,3,3,0,1.000,0,0,0,
boganke01,Keith Bogans,3,3,0,1.000,3,3,0,1.000,0,0,0,
masonro01,Roger Mason,3,3,0,1.000,3,3,0,1.000,0,0,0,
bonnema01,Matt Bonner,3,3,0,1.000,3,3,0,1.000,0,0,0,
hillge01,George Hill,3,3,0,1.000,3,3,0,1.000,0,0,0,
boykiea01,Earl Boykins,2,1,1,.500,2,1,1,.500,0,0,0,
thornal01,Al Thornton,2,1,1,.500,2,1,1,.500,0,0,0,
rossqu01,Quinton Ross,1,1,0,1.000,1,1,0,1.000,0,0,0,
